beta, gamma, t0 
0.0173744, 0.470333, 0.0755049
0.0318904, 0.505926, -1.25896
0.02826, 0.634487, -0.479284
0.0340965, 0.651039, -0.445566
0.0293507, 0.708404, -0.124007
0.0274468, 0.814632, -0.640155
0.0367463, 0.671963, -0.556329
0.0380636, 0.578795, -0.768399
0.0376111, 0.710578, -0.447302
0.0227844, 0.777404, -0.763257
0.0269665, 0.709955, -0.482419
0.0360092, 0.606799, 0.042662
0.0355282, 0.699044, -0.198872
0.0267686, 0.909655, -0.46301
0.034183, 0.754824, -0.429552
0.0265145, 0.724908, -0.21254
0.0421038, 0.572324, -0.460705
0.038422, 0.702161, -0.413157
0.0296542, 0.485058, -1.39363
0.0280448, 0.684469, -2.61205
0.0314431, 0.616214, -1.27832
0.027664, 0.752895, -0.783
0.0246996, 0.792183, -0.775869
0.0261616, 0.563901, -1.95449
0.0281617, 0.6831, -0.869751
0.0307851, 0.570983, -0.572697
0.0332494, 0.648643, -0.567946
0.0329035, 0.352048, -1.09998
0.0254177, 0.453431, -0.988065
0.0337717, 0.514896, -0.669651
0.0289711, 0.608488, -0.0669848
0.0246304, 0.925842, -0.261991
0.0381142, 0.775944, -0.402702
0.0337842, 0.963793, -0.285427
0.0312323, 0.72037, -0.565211
0.0360975, 0.735762, 0.0286377
0.0389625, 0.773169, -0.822164
0.0275044, 0.585354, -0.600042
0.0341938, 0.967624, -1.06865
0.0305881, 0.826121, -0.485013
0.0339256, 0.863241, -0.359467
0.0293784, 0.720533, 0.165507
0.0280851, 0.702102, -0.017624
0.0318974, 0.916869, -0.179599
0.0326848, 0.845239, 0.167355
0.0221486, 0.731707, 0.148613
0.0313976, 0.840419, -0.127529
0.0438665, 1.03665, -0.659625
0.0532488, 0.913589, -0.321616
0.0484018, 0.851542, 0.124322
0.034789, 1.18413, -0.174144
0.0426576, 1.00448, -0.049136
0.030487, 0.96491, 0.114951
0.0452478, 0.912355, -0.0475206
0.0488281, 0.923061, 0.049139
0.0435423, 0.768956, -0.642117
0.0365342, 0.73119, -0.414139
0.0384902, 0.917829, -0.224105
0.0328839, 1.14796, -0.238137
0.0301039, 0.70585, -0.31596
0.0326626, 0.900833, -0.389382
0.0234838, 0.990817, -0.358624
0.0339312, 0.90527, -0.342537
0.0370743, 0.557538, -0.448004
0.0345909, 0.666353, -1.57368
0.0259056, 0.588326, -1.48127
0.0262634, 0.621427, -4.19373
0.0238566, 0.712341, -2.18541
0.0292334, 0.704332, -1.39057
0.0273715, 0.860947, -0.619298
0.036945, 0.777852, -0.640704
0.0337795, 0.694473, -2.32717
0.0303749, 0.92105, -1.21418
0.0287665, 0.946664, -0.51482
0.0249629, 0.896624, -0.586621
0.029636, 0.607374, -0.772422
0.0199145, 0.875195, -0.558223
0.0300125, 0.475644, -1.92973
0.0282602, 0.667467, -0.566057
0.0303461, 0.62484, -0.795275
0.0277797, 0.71779, -0.87989
0.029502, 0.568719, -1.18032
0.0251958, 0.812585, -0.466211
0.0331936, 0.722185, -0.769569
0.0292481, 0.770637, -0.628635
0.0373907, 0.829912, 0.0207418
0.0363802, 1.00287, -0.328505
0.0295367, 0.842188, 0.0511785
0.0325086, 0.789016, -0.0184667
0.0329123, 0.905503, -0.159244
0.0371519, 0.612741, -0.268132
0.0331518, 0.773462, -0.199467
0.0363589, 0.811677, -0.143236
0.0321858, 0.675259, -0.270103
0.0325934, 0.919834, -0.0878804
0.0392367, 0.964047, -0.0633165
0.031403, 1.06598, 0.0927402
0.0587726, 1.23582, 0.273074
0.0392418, 1.48948, 0.365926
0.0486537, 1.35796, -0.49818
0.0535041, 1.349, 0.252442
0.0543551, 1.30432, 0.0198095
0.0627349, 1.56392, 0.253191
0.0560764, 1.50732, 0.100366
0.0509541, 1.5397, 0.249031
0.0709929, 1.17763, -0.0715446
0.0587193, 1.22384, 0.303002
0.0824481, 2.14731, 0.259375
0.0664988, 1.45185, 0.356938
0.0506366, 1.53399, 0.0535526
0.0484882, 1.50422, 0.431762
0.0592943, 0.775737, 0.306195
0.0659099, 1.76452, 0.235609
0.0516149, 1.19315, -0.0343409
0.0488908, 1.13141, -0.725673
0.0520305, 1.30884, 0.296165
0.0529233, 1.3233, 0.240829
0.0747075, 1.14314, -0.055475
0.0444627, 1.08298, 0.0119629
0.0339725, 1.1454, -0.0909299
0.0574943, 1.04644, -0.0548275
0.0503576, 0.936947, -0.0346961
0.0548636, 1.31911, -0.173196
0.052358, 1.07413, -0.8721
0.0401341, 1.51336, -0.121289
0.0388282, 1.60141, 0.509005
0.0581562, 1.08979, 0.370427
0.0565693, 1.34657, 0.513992
0.046928, 0.96225, 0.494409
0.0485446, 1.02986, 0.0738327
0.0409403, 1.04853, 0.283309
0.0390562, 1.12065, 0.296721
0.0362541, 1.15874, 0.134703
0.0639716, 1.08383, 0.234251
0.0370144, 0.833782, 0.042849
0.0505682, 1.05732, -0.661721
0.0401499, 1.03322, -0.036458
0.0400791, 1.00324, 0.337565
0.0520876, 0.974336, -0.028289
0.0479177, 0.972504, -0.552183
0.0336618, 0.970957, -1.22069
0.0342335, 0.991942, 0.00112106
0.0384522, 0.861757, -0.222725
0.0490923, 1.10266, 0.0359023
0.034176, 0.71902, -0.0727069
0.0407598, 1.02677, -0.547014
0.0335808, 0.977866, -0.42784
0.0379737, 1.11823, -0.748156
0.0459019, 1.08509, -0.0416114
0.0470956, 1.23468, -0.122044
0.0376088, 1.13341, -0.176654
0.0444483, 0.868889, -0.364447
0.0588044, 1.08053, -0.131224
0.0399379, 1.3266, -0.517151
0.0521602, 0.707623, -0.706192
0.052563, 0.790342, -0.0496405
0.0376042, 0.950769, 0.259685
0.0485086, 0.771206, 0.260299
0.0360642, 0.868743, 0.19815
0.0403881, 0.752758, 0.158205
0.037102, 0.965485, 0.244696
0.0424345, 0.990071, 0.227253
0.0472722, 0.841069, 0.0577555
0.0497496, 1.19411, 0.203567
0.0458693, 1.09993, 0.470569
0.0436868, 1.11834, 0.451952
0.0548006, 0.925841, 0.318708
0.0520695, 1.09767, -0.466198
0.0390867, 1.02128, 0.467963
0.0347724, 1.03666, 0.310497
0.0368367, 0.914498, 0.275992
0.0325547, 1.08159, 0.453773
0.055745, 1.08856, 0.443331
0.0500874, 0.839347, 0.292416
0.0391663, 0.983663, -0.671878
0.042187, 1.13902, 0.432546
0.0391108, 0.830144, 0.307155
0.0538639, 1.18015, 0.11922
0.0574186, 1.20001, 0.447748
0.0506193, 1.45218, 0.189979
0.0459807, 1.28066, 0.360525
0.0512715, 1.52317, 0.236972
0.0633396, 1.44704, 0.45232
0.0568828, 1.09112, 0.452545
0.0498212, 1.67292, 0.167126
0.0680392, 1.50949, 0.425525
0.0633203, 1.46469, 0.34555
0.0442612, 1.43172, 0.417105
0.0672136, 0.984207, 0.323204
0.0662704, 1.01014, 0.434442
0.0603613, 0.972593, 0.40447
0.0411795, 1.3767, 0.165451
0.0392272, 1.39854, 0.377369
