beta, gamma, t0 
0.0328256, 0.585077, -0.593413
0.0332039, 0.64803, -0.264554
0.0297121, 0.68403, -0.322512
0.0246781, 0.453636, -0.602488
0.027589, 0.723765, -1.6388
0.0225665, 0.416985, -0.638085
0.0307122, 0.593302, -0.766495
0.0262296, 0.660996, -0.0100115
0.0201578, 0.622386, -0.154568
0.0387291, 0.747964, -0.287947
0.0249295, 0.917009, -0.174312
0.0321721, 1.16301, -0.301952
0.0408305, 0.970386, -0.0275991
0.0539293, 1.15266, 0.0200197
0.0428417, 1.02078, 0.420885
0.0369054, 1.1525, 0.468834
0.0463134, 1.20163, 0.555556
0.0434038, 1.44916, 0.495527
0.0535103, 1.01384, 0.235941
0.0523918, 1.16687, -0.662897
0.0328159, 1.39486, 0.34141
0.0455411, 1.19193, 0.313663
0.0457807, 0.833457, 0.265182
0.0458399, 0.884567, -0.124271
0.0348077, 0.62978, 0.414275
0.0393563, 0.769762, 0.204921
0.0326507, 0.62896, 0.302424
0.028504, 0.518505, -0.291291
0.0279066, 0.469192, 0.145281
0.0387815, 0.591712, 0.366523
0.0362915, 0.798279, -0.316622
0.0333839, 1.14013, -0.358696
0.0375021, 0.675844, -0.00310802
0.0361037, 0.66277, -0.109177
0.0278615, 0.897823, -0.170286
0.0406507, 0.734808, -0.469347
0.0319987, 0.900296, 0.156061
0.0282008, 0.854505, -0.289296
0.034675, 0.708957, -0.161875
0.0293247, 1.06395, -0.148411
0.0357743, 0.590072, 0.13849
0.0404005, 0.651235, -0.011656
0.0379625, 0.751211, 0.142341
0.0393521, 0.584777, 0.137118
0.0433789, 0.978053, 0.0426706
0.0426808, 0.851639, -0.63804
0.0360464, 1.10804, -1.1224
0.0345294, 0.763103, -0.906977
0.0429628, 0.928745, -1.28074
0.0230616, 0.65532, -0.297181
0.0379056, 0.666078, -0.331382
0.0276908, 0.453462, -0.869616
0.0260729, 0.504729, -0.933805
0.0268248, 0.619969, -2.31372
0.0297834, 0.634195, -0.958551
0.0320926, 0.473004, -0.512979
0.0280243, 0.552357, -1.98923
0.0262244, 0.532472, -0.82867
0.017639, 0.400391, -0.96219
0.0221064, 0.420145, -1.26538
0.0205765, 0.476525, -1.08124
0.028108, 0.529589, -2.30836
0.0366961, 0.375719, -0.654941
0.025932, 0.453667, -0.792961
0.0311501, 0.545486, -0.236531
0.0262489, 0.564305, -0.448072
0.0280071, 0.63801, -0.169985
0.0255632, 0.727893, -0.187304
0.0212764, 0.714808, -0.49598
0.0372818, 0.526465, -0.0646082
0.0321652, 0.575056, -0.319132
0.028417, 0.48526, -0.77848
0.0293147, 0.586267, -0.681101
0.0368171, 0.656305, -0.46171
0.0352243, 0.736817, -0.53412
0.0274525, 0.700189, -2.0349
0.0178556, 0.692424, -2.06914
0.0249133, 0.645797, -1.83241
0.0258601, 0.678832, -0.671993
0.0314606, 0.713968, -1.25605
0.0314871, 0.738013, -1.26878
0.0257275, 0.981857, -0.682178
0.0348428, 0.909612, -0.986932
0.0408303, 0.846731, -0.307117
0.0416362, 0.801668, -0.348743
0.0452593, 0.717939, -0.677754
0.0382268, 0.769961, 0.12362
0.0388748, 0.926777, -0.63952
0.0378185, 0.956204, -0.113856
0.0410964, 0.826597, 0.48961
0.0371015, 0.964112, 0.233082
0.0346247, 1.04213, 0.225846
0.0420963, 0.894333, 0.0145958
0.0435753, 0.90106, -0.0777983
0.0351563, 1.02862, 0.260742
0.0455495, 1.16699, 0.0709281
0.0441105, 1.13016, 0.0121652
0.0284527, 0.865475, -0.184692
0.039832, 0.968851, -0.315076
0.037202, 0.982812, -0.261971
0.0491687, 1.26385, -0.139826
0.046551, 0.959881, 0.451469
0.0426249, 1.06717, 0.289955
0.0405492, 0.888196, 0.4234
0.0430962, 0.902006, 0.266844
0.0418753, 0.991446, 0.405118
0.0400771, 0.731926, 0.185332
0.0456655, 0.964562, -0.0217364
0.0350942, 0.85889, -0.136223
0.0475326, 0.630126, -0.288828
0.056693, 1.07966, -0.37365
0.037553, 0.944316, -0.0368284
0.0579456, 1.39698, 0.400362
0.0432795, 1.34087, 0.196939
0.0538112, 1.17527, -0.236315
0.0672184, 1.2967, 0.360114
0.0647207, 1.68221, 0.294925
0.0688668, 1.5752, 0.486647
0.0524885, 1.84809, 0.551761
0.0682331, 1.71815, 0.524958
0.0352233, 1.43914, -0.201105
0.0446743, 1.06896, 0.0726841
0.0424479, 1.09351, 0.1846
0.043301, 1.06111, 0.0865905
0.0414166, 1.0344, -0.36541
0.0522812, 0.870317, -0.266426
0.0364364, 1.12532, 0.369168
0.0355529, 1.22496, 0.168952
0.0430583, 0.926562, -0.330495
0.0435782, 1.06785, -0.191463
0.0389074, 0.86989, -0.186047
0.037575, 0.923656, -0.322306
0.034731, 0.845377, -0.0846541
0.0546281, 0.782454, -0.210182
0.0411449, 0.884597, -0.386351
0.0591281, 0.7817, -1.07931
0.0394015, 0.802354, -0.193174
0.0344905, 0.803746, -0.553182
0.0463893, 1.40159, -0.354572
0.0408612, 0.971836, -0.28022
0.0400124, 0.798175, -0.395251
0.0310468, 0.71906, -0.216372
0.0392289, 0.780364, -0.426349
0.0314438, 0.657143, -0.0808378
0.0398956, 0.64273, -0.251496
0.0318236, 0.892565, -0.604542
0.0242438, 0.71181, -0.823223
0.0359516, 0.719945, -0.397294
0.0375718, 0.975583, -0.559546
0.0338257, 0.770969, -0.953927
0.0319869, 1.03304, 0.271694
0.0351291, 0.90528, 0.466361
0.0456604, 0.637315, 0.247446
0.0500416, 0.946828, 0.432709
0.0558663, 0.987504, 0.229398
0.0371602, 1.0956, 0.197897
0.0383883, 1.21309, 0.0314602
0.0401743, 0.644809, -0.494845
0.0384171, 0.629124, -0.729973
0.0425266, 1.1303, 0.0808094
0.0402912, 0.755393, -0.431241
0.034632, 1.40759, 0.0549702
0.0378937, 1.08219, 0.168898
0.0441462, 0.891974, 0.179203
0.0370176, 1.18381, -0.0507463
0.0432345, 0.893149, 0.171086
0.0473514, 0.974767, 0.0810843
0.0515333, 0.88087, 0.3175
0.049181, 1.44565, 0.249367
0.0386124, 1.28346, 0.202882
0.0495696, 0.920801, 0.421792
0.0566244, 0.999402, 0.236743
0.0386059, 1.01183, 0.154164
0.0437592, 0.793833, 0.219263
0.0504011, 0.971422, 0.0591257
0.0436544, 0.628221, -0.846838
0.033379, 1.04635, -0.826504
0.0443026, 0.72379, -0.196762
0.0350352, 0.774979, 0.119659
0.0453855, 0.891373, 0.172611
0.0497211, 1.25295, 0.143036
0.0436152, 1.02264, 0.169592
0.0477688, 1.17794, 0.0300868
0.0408414, 1.05135, 0.0577898
0.0484019, 0.629286, -0.318819
0.0357204, 0.670138, -0.360199
0.0563755, 0.933666, 0.0159941
0.0481585, 1.15317, 0.21435
0.0442049, 1.33005, 0.394747
0.026237, 0.868184, -0.626403
0.0425455, 1.02881, 0.158803
0.0451212, 0.947981, 0.300098
0.0422977, 1.06936, 0.293032
0.0554828, 0.826399, 0.273848
0.0447751, 0.867711, 0.390978
0.0500945, 0.832318, 0.229448
0.0529621, 1.22108, 0.429204
0.0361165, 1.36463, 0.371621
0.0412766, 1.19662, -0.0633592
0.03775, 1.34328, 0.359205
0.0379928, 0.885095, 0.198593
0.0415422, 0.874001, 0.323667
0.0436765, 1.24864, 0.314925
0.038937, 0.937115, 0.368848
0.0447119, 0.79718, -0.114482
0.0358713, 1.00533, -0.151356
0.0352234, 0.742275, 0.185322
0.0303533, 0.827982, 0.0496721
0.0361046, 0.810532, 0.162468
0.0352296, 1.22218, 0.0140537
0.0265012, 0.953908, 0.251619
0.0423929, 1.07069, 0.0795842
0.0371193, 1.04869, -0.0357145
0.0441918, 0.8383, 0.193243
0.0512072, 0.966911, -0.47698
0.0512926, 1.10763, -0.355798
0.0357553, 0.777103, -0.0781902
0.0414409, 0.748828, -0.600634
0.0455813, 0.82352, -0.431436
0.038395, 1.14677, -0.754693
0.0481087, 0.971481, -0.492817
0.0378139, 1.08288, 0.0544136
0.0529094, 1.39673, -0.488549
0.0300676, 0.886038, 0.08143
0.0463303, 0.868465, 0.0603601
0.0391546, 1.09931, 0.150886
0.0539409, 1.16465, 0.334827
0.0388583, 1.68835, 0.304723
0.044914, 1.36357, 0.0465531
0.0404002, 0.84154, 0.104445
0.0418068, 0.874639, -0.530146
0.0404593, 0.961538, 0.174532
0.0366202, 0.956209, 0.289875
0.0333633, 0.818941, 0.330766
0.0398558, 0.968074, 0.32797
0.0316742, 0.621273, -0.287912
0.0418208, 0.845941, 0.29518
0.0467365, 1.11695, -0.102603
0.0392976, 0.688394, -0.175885
0.0529424, 0.737819, 0.12132
0.0346208, 0.991801, 0.0790753
0.0349302, 0.714696, -0.145543
0.0448652, 1.06685, 0.259036
0.0420963, 1.05138, 0.165364
0.0362625, 0.897533, 0.282545
0.047462, 1.19174, 0.110423
0.0331114, 0.954942, 0.208738
0.0403946, 1.11502, -0.446368
0.0458035, 0.781815, -0.337694
0.0427257, 1.10176, 0.202212
0.0326513, 1.343, 0.185074
0.0449447, 0.85467, 0.282524
0.0303152, 0.959423, -1.21929
0.0288805, 0.748037, -0.314527
0.0332729, 0.506154, -0.0016532
0.0357885, 0.894625, -0.124069
0.0317281, 0.617186, 0.0210843
0.0349376, 0.941013, -0.440887
0.03887, 0.797824, -0.14503
0.0303418, 0.723438, -0.388044
0.0270809, 0.717448, -0.321381
0.0398013, 0.78493, -0.0551091
0.0439984, 0.770768, -0.168787
0.0439842, 0.803186, 0.374248
0.0480066, 0.878831, 0.298545
0.0416587, 0.781536, 0.415929
0.0360985, 1.02094, 0.399124
0.0454643, 1.04567, 0.42241
0.0440428, 0.917778, 0.296802
0.0274398, 1.15407, 0.0720063
0.0297657, 0.803111, -0.276449
0.0543769, 0.852292, 0.0487302
