beta, gamma, t0 
0.0297313, 0.558768, -0.16178
0.0236663, 0.615441, -0.574009
0.0314707, 0.591457, -0.143715
0.0318961, 0.580315, -0.551323
0.0292032, 0.64914, -0.842455
0.030128, 0.63893, 0.144454
0.0362282, 0.681214, -0.70184
0.0249544, 0.705903, -0.869042
0.0308099, 0.723408, -0.163044
0.032371, 0.843027, -0.265669
0.0266446, 0.711737, -0.311565
0.0326393, 0.657332, -0.541471
0.0376358, 0.667817, -1.47642
0.0378724, 0.775645, -0.0885276
0.0353025, 0.769973, -0.0197443
0.0402415, 1.07958, 0.149519
0.0546884, 0.68129, 0.109969
0.0398124, 1.05348, -0.122205
0.0485486, 0.722108, 0.178733
0.0444555, 0.748861, 0.298074
0.0410312, 0.945676, 0.333501
0.0501712, 1.10285, 0.295697
0.0370523, 1.1339, -0.101511
0.047015, 1.32067, 0.0093153
0.0477818, 1.02312, 0.000107958
0.047639, 0.737737, -0.0654142
0.0427499, 0.681038, 0.201815
0.0374143, 0.661849, -0.341371
0.0259143, 0.637626, 0.273994
0.033334, 0.81285, 0.281779
0.0348412, 0.808877, -0.266238
0.0403256, 0.854014, 0.235059
0.0390186, 0.878188, 0.097908
0.039411, 0.696547, 0.0978809
0.0364868, 0.992693, -0.00541739
0.0412157, 0.950094, 0.0754991
0.0436602, 1.02316, -0.116711
0.043469, 0.938247, -0.0259949
0.0406376, 0.923743, 0.2839
0.0410975, 0.825785, 0.173577
0.0336454, 0.714488, 0.311019
0.0428489, 0.830204, -0.0998987
0.0326269, 0.864626, -0.215675
0.0421975, 0.686241, 0.0445195
0.0273945, 0.575702, 0.515617
0.0285481, 0.516638, 0.425871
0.026357, 0.923452, -0.00309405
0.0325974, 0.745501, 0.247402
0.0375655, 0.690021, -0.204364
0.0401548, 0.818486, 0.106467
0.0335974, 0.958534, -0.114264
0.0339721, 0.795354, -0.0612049
0.0331677, 0.851316, -0.297563
0.0392904, 0.870661, 0.370254
0.038726, 0.805457, 0.0627273
0.0306555, 0.878423, 0.237039
0.0393184, 0.997027, 0.384595
0.0546565, 0.742062, 0.350633
0.0349665, 0.86541, 0.00429188
0.0372251, 1.08627, 0.156542
0.0327511, 1.0629, 0.188026
0.0334893, 0.824217, 0.300974
0.0460927, 0.834947, -0.104369
0.0376938, 1.18347, -0.323621
0.0380653, 0.921467, -0.735652
0.057151, 0.703351, -0.0292596
0.0370055, 1.00649, 0.00209694
0.0359749, 1.14269, 0.336332
0.0439726, 1.22858, 0.305142
0.0454343, 1.26587, 0.116939
0.0406531, 0.858999, 0.440551
0.0331626, 0.855088, 0.0268461
0.0317796, 0.87119, -0.21417
0.0227384, 0.846712, -0.0752701
0.033862, 1.05961, 0.291
0.033715, 0.585886, -0.756732
0.0359071, 0.637251, -0.370278
0.0289568, 0.657832, -0.505336
0.0292691, 1.02474, -0.459725
0.0336062, 1.08636, -0.0361837
0.0451225, 0.847344, -0.270448
0.0369541, 1.34906, -1.2745
0.0410484, 1.00675, -0.0369787
0.0406625, 1.32683, -0.0239253
0.0449396, 1.22091, -0.0130689
0.052067, 0.915919, -0.27289
0.0360388, 0.877982, -0.452501
0.0373633, 0.974294, -1.14575
0.0368716, 0.887563, -0.644762
0.0280773, 0.733015, -0.275588
0.0288059, 0.854845, -0.215571
0.0352653, 0.892567, -0.773988
0.0265343, 0.645302, -1.58997
0.0332165, 0.643616, -0.533366
0.0300194, 0.507044, -0.796573
0.0224958, 0.567126, -0.984156
0.0279858, 0.547572, -1.74186
0.0266579, 0.80435, -0.850886
0.0330103, 0.918346, -0.448598
0.0381278, 0.725881, 0.0825804
0.0353128, 0.620816, 0.136606
0.0362602, 0.754969, -0.23382
0.048098, 0.892218, 0.0761243
0.049114, 0.798357, 0.0856206
0.0388716, 0.696357, 0.0376072
0.0228512, 0.568998, -0.563123
0.0312503, 0.765155, 0.102045
0.0262336, 0.855632, -1.30326
0.0319148, 0.742799, -0.205188
0.031819, 0.761831, -0.149503
0.0481782, 0.609901, -0.323235
0.033201, 0.67085, 0.0258625
0.0395634, 1.27979, 0.126525
0.0260597, 0.790405, -0.057147
0.0418348, 0.877956, 0.0263758
0.0417095, 0.983745, -0.0864674
0.0444844, 0.690393, 0.0685323
0.0412372, 1.06322, -0.016805
0.0416874, 0.902122, -0.0593044
0.0340689, 0.730894, -0.0778304
0.0389057, 0.742743, -0.232083
0.0410018, 0.800161, -0.748971
0.035093, 1.07815, -0.514849
0.0340942, 0.911299, 0.137786
0.0395609, 0.891298, -0.0196095
0.0355926, 0.862898, -0.250135
0.0312127, 1.24219, 0.149779
0.0413604, 0.845797, 0.0234538
0.0343459, 0.788968, -0.301852
0.0325826, 0.769011, -0.49037
0.0377179, 0.816212, -0.553262
0.0377645, 0.723265, -0.00428156
0.0324993, 0.528169, -0.640018
0.0269792, 0.70219, -1.09628
0.0302119, 0.726684, -0.799392
0.0248298, 0.565843, -0.672003
0.0312329, 0.598034, -0.901553
0.0251838, 0.756809, -1.08374
0.0291155, 0.53507, -0.985849
0.0289962, 0.651026, -0.74791
0.02321, 0.80442, -0.776106
0.0312019, 0.668255, -0.205048
0.0320539, 0.684142, -0.0840712
0.0240336, 0.843481, -0.432521
0.0340716, 0.815611, -0.223209
0.0296161, 0.602523, -0.868969
0.0290881, 0.590608, -0.197151
0.0307912, 0.615091, -0.771941
0.0267388, 0.664792, -0.300931
0.026779, 0.687219, -0.267594
0.0216716, 0.579386, -0.329624
0.0250235, 0.571435, -0.863358
0.0317334, 0.610898, -0.586972
0.023374, 0.508034, -0.832684
0.0311549, 0.779361, -0.512481
0.0226849, 0.539224, -1.08465
0.021816, 0.782942, -0.814986
0.0276053, 0.497238, -1.23334
0.0251736, 0.73829, -0.640399
0.0203915, 0.840518, -0.630118
0.01982, 0.836593, -1.10397
0.0240928, 0.784169, -1.20607
0.0344507, 0.758708, -1.57189
0.0315579, 0.747328, -3.24846
0.028026, 0.677072, -0.35599
0.0273649, 0.738881, -1.45163
0.0327901, 0.738346, -0.22309
0.044318, 0.786218, 0.051848
0.0394649, 0.784745, 0.0478917
0.0296866, 0.816226, -1.57041
0.0260874, 0.792658, -0.0852817
0.0307187, 1.02895, -0.820079
0.0363293, 0.864277, -0.150106
0.0408495, 0.824579, -0.207146
0.0351573, 0.818358, -0.188138
0.0290402, 1.25632, -0.254311
0.0324334, 0.97608, 0.184148
0.0402803, 1.15078, 0.0744829
0.0347351, 1.04577, 0.03071
0.0434478, 1.04914, 0.542373
0.0577655, 1.22277, 0.610975
0.0766469, 1.24681, 0.505601
0.0500205, 1.44615, 0.521426
0.0504521, 1.38826, 0.608183
0.071344, 1.3006, 0.521185
0.0451457, 1.02714, -0.676359
0.0537674, 1.29712, 0.494356
0.0454399, 1.29091, 0.552274
0.0614857, 1.30702, 0.319103
0.065787, 1.24767, 0.589506
0.040679, 1.40544, -0.179845
0.0502047, 1.25239, -0.706822
0.0393223, 0.887637, -0.703432
0.0420787, 1.0512, -0.316547
0.0426748, 0.788211, -1.3248
0.0243462, 0.959186, -0.525116
0.0338059, 0.951417, -0.700011
0.0401684, 1.11038, -0.013201
0.0389035, 1.18456, -0.085761
0.0417463, 1.31677, 0.0491942
0.0306567, 1.06312, 0.00661647
0.0422241, 0.942069, -0.512657
0.0422741, 0.831598, -0.207023
0.0441929, 1.06985, 0.00425059
0.0381248, 0.889143, -0.506015
0.0357371, 0.606704, -0.232484
0.0283972, 0.977343, -0.257242
0.0386421, 0.646003, -0.605277
0.0328532, 0.601039, -0.281058
0.042576, 0.809285, -0.165438
0.0366766, 0.740341, -0.724784
0.0330233, 0.759638, -0.529506
0.0322257, 0.612835, -0.637813
