beta, gamma, t0 
0.0191578, 0.75074, -1.14086
0.0236995, 0.408138, -1.38028
0.0268487, 0.465366, -0.807216
0.0245484, 0.548192, -0.795023
0.0226145, 0.700623, -0.637935
0.0285444, 0.496059, -0.213206
0.0327034, 0.650771, -0.234339
0.0407818, 0.752796, -0.100843
0.027492, 0.642675, -1.06695
0.0304733, 0.807732, -1.32885
0.0217269, 0.824124, -2.04151
0.0278218, 0.540929, -1.22116
0.0273878, 0.666873, -0.749351
0.0279152, 0.710801, -0.699346
0.0273258, 0.558204, -0.969798
0.0254396, 0.882244, -0.52155
0.0349858, 0.897828, -0.011065
0.0266897, 0.677759, -0.525176
0.0394226, 1.0111, -0.101144
0.0400257, 0.668299, -0.238451
0.0401153, 0.865604, -0.463242
0.0357522, 0.658878, -0.682555
0.033615, 0.637576, -0.289147
0.030435, 0.525704, -0.902071
0.0319952, 0.6298, -0.224032
0.0323908, 0.733661, -0.119694
0.0551352, 0.960471, -0.0815117
0.0417329, 0.806719, -0.430888
0.0285182, 1.15455, -0.386535
0.031885, 1.0428, -1.29918
0.044942, 0.671321, -1.52055
0.0329019, 0.836009, -0.157882
0.0481553, 0.761496, -1.15967
0.033492, 0.713937, -0.858172
0.0342979, 0.607852, -1.07586
0.0246683, 0.590314, -1.54758
0.0340935, 0.631895, -0.776933
0.0275215, 0.668814, 0.257584
0.0338512, 0.445652, -0.211832
0.031413, 0.645189, -0.264297
0.0310946, 0.999578, -0.182623
0.0305586, 0.684103, -0.368981
0.0357566, 0.787501, -0.236078
0.0340914, 0.776485, -0.0746542
0.0295981, 0.840594, -0.237529
0.0274525, 0.754718, -0.133824
0.0235085, 0.540825, -1.07476
0.0285414, 0.621405, -0.371388
0.0374778, 0.678534, -0.428672
0.0274702, 0.628484, -0.63237
0.0303211, 0.678318, -0.230118
0.0355327, 0.599202, -0.0371103
0.040091, 0.677188, -0.687184
0.0264894, 0.885514, -0.811056
0.039636, 0.719062, -0.504736
0.0365616, 0.711179, -0.0611501
0.0325631, 0.919059, -0.45449
0.0331062, 0.945363, -0.878154
0.0334383, 0.889616, -1.99496
0.0302743, 0.768233, 0.178579
0.0394893, 1.06819, 0.179215
0.0439775, 0.994549, 0.0443309
0.039479, 0.96363, -0.269199
0.0341369, 0.989968, -0.238494
0.0329916, 0.671353, -1.43998
0.0367522, 0.685177, -0.466463
0.0338534, 0.756079, -0.18188
0.0324651, 0.952445, -0.286738
0.0454841, 0.696476, 0.171293
0.0369534, 0.898362, 0.150882
0.0440942, 0.74828, 0.48336
0.0404206, 0.908973, 0.200183
0.0556439, 0.771813, 0.483354
0.0525843, 0.621148, 0.230499
0.0378243, 1.1188, 0.30188
0.026852, 0.779692, -0.304582
0.0315933, 0.736426, -0.290505
0.0458745, 1.06615, 0.188231
0.0321956, 0.836071, -0.0807035
0.0340047, 0.739886, -1.42787
0.0268207, 1.03743, -0.363171
0.033343, 0.90775, -0.617604
0.0327319, 0.772105, -0.578263
0.0320546, 0.613598, -1.36635
0.0273826, 0.790772, -1.0532
0.0256269, 0.698192, -1.08464
0.0305426, 0.684958, -1.48553
0.0227659, 0.538662, -0.741188
0.0348082, 0.537858, -0.893914
0.0292195, 0.678529, -1.08493
0.0385003, 0.785376, -1.26842
0.0406851, 1.02319, -0.399525
0.0292854, 0.830783, -0.0804708
0.0487912, 0.916719, -0.13577
0.05036, 1.20622, 0.157247
0.0386628, 1.05469, 0.131961
0.0478722, 1.01229, 0.166824
0.0497554, 0.989707, 0.310764
0.0465299, 1.12151, 0.260831
0.0487684, 1.10252, 0.36785
0.0385568, 1.08127, 0.509361
0.0344153, 0.910065, 0.244435
0.0397613, 0.76663, -0.500602
0.0303764, 0.964028, 0.0945727
0.0397473, 0.655031, -0.21446
0.0383924, 0.704059, 0.213448
0.0285207, 0.595878, 0.214013
0.0425996, 0.703956, -0.100055
0.0325138, 0.538859, -1.45171
0.0331561, 0.742534, -0.0719198
0.0294604, 0.724467, -0.0140386
0.0323729, 0.661052, 0.00606281
0.043097, 0.764544, 0.181204
0.0430533, 0.711451, -0.0122539
0.0412473, 0.851826, 0.335061
0.0451314, 0.761387, 0.274727
0.0487178, 1.05559, 0.40715
0.0500598, 1.2384, 0.122063
0.0456641, 0.727769, 0.181733
0.0507806, 1.18793, 0.166256
0.0386825, 1.19475, 0.326739
0.0398834, 1.5991, 0.389339
0.052907, 1.30629, 0.44629
0.0654851, 1.15668, 0.232419
0.0418636, 1.00281, 0.420195
0.0499307, 0.669827, 0.371881
0.0307423, 1.15804, 0.161258
0.0558274, 1.13443, 0.345855
0.0502519, 1.40665, 0.32507
0.0658941, 1.11693, 0.29002
0.058029, 1.1179, -0.119843
0.0416333, 0.970736, 0.342341
0.038118, 1.05839, 0.0581056
0.0494931, 1.35668, 0.191602
0.036683, 0.928746, -0.0353684
0.0383569, 1.18664, -0.227978
0.0544049, 1.0944, 0.0698799
0.0574376, 1.19695, -0.0175289
0.044168, 1.18035, -0.121984
0.0475755, 1.25605, 0.383371
0.0652073, 1.43223, -0.173057
0.0605992, 1.181, 0.124138
0.0651957, 1.09172, 0.184035
0.0547954, 0.74419, -0.582857
0.048514, 0.798609, -0.0387615
0.0427695, 0.81946, 0.164001
0.0546545, 0.733631, -0.017848
0.0409457, 1.08031, -0.053962
0.042183, 0.959885, 0.454568
0.0457702, 1.03659, 0.519089
0.0455505, 0.858292, -0.443641
0.0405374, 0.935415, 0.120087
0.0303644, 0.944076, -0.734052
0.0388981, 0.610088, -0.411862
0.042072, 0.619667, 0.403487
0.0464077, 1.08478, 0.123649
0.0399758, 0.975055, 0.247243
0.047938, 0.9409, 0.473103
0.0480411, 1.1182, 0.267475
0.0415679, 0.97262, 0.415299
0.0526128, 0.916051, 0.496164
0.0449267, 1.12353, 0.288546
0.0527032, 1.02023, 0.289617
0.0452019, 0.673686, 0.0130069
0.0391937, 0.805205, 0.416581
0.031069, 0.930679, -0.270208
0.0262348, 0.761089, -0.168305
0.0268378, 0.574192, -0.19066
0.0282048, 0.737876, -0.43495
0.046799, 0.589292, -0.480909
0.0282031, 0.636864, -0.35332
