beta, gamma, t0 
0.032519, 0.35111, -0.925078
0.0240396, 0.376046, -0.349784
0.0235618, 0.330326, -0.540391
0.0201756, 0.550435, -1.2381
0.0239274, 0.668363, -0.333654
0.0126013, 0.462004, -1.25342
0.0304721, 0.468811, -2.87935
0.0219941, 0.476944, -0.639684
0.0290695, 0.439441, -2.13171
0.0231653, 0.524727, -2.65852
0.017114, 0.357206, -2.53806
0.0151696, 0.399788, -2.5647
0.0179639, 0.369275, -3.85192
0.0167596, 0.394472, -2.52291
0.0152962, 0.474048, -2.78596
0.0144531, 0.509343, -3.81198
0.0241071, 0.387403, -2.28357
0.0190031, 0.394376, -2.98754
0.0191771, 0.39876, -1.97933
0.0244795, 0.423731, -3.16638
0.019006, 0.574012, -2.39543
0.0170111, 0.560347, -2.27667
0.0238635, 0.538151, -1.45669
0.0280246, 0.387513, -0.715076
0.0210126, 0.393952, -0.756266
0.0255219, 0.380849, -2.75989
0.0244724, 0.498368, -2.96055
0.024746, 0.455369, -0.888937
0.0181713, 0.691268, -1.51108
0.0207655, 0.651845, -1.58603
0.0201523, 0.594335, -0.455201
0.0282042, 0.487926, -0.579699
0.0208688, 0.546443, -1.39872
0.0255378, 0.564488, -1.46528
0.0285725, 0.580902, -0.966981
0.0198197, 0.459839, -1.53883
0.0283785, 0.588629, -2.97076
0.0290541, 0.685192, -1.90386
0.024167, 0.530885, -0.875746
0.0290401, 0.590371, -0.689608
0.0246502, 0.66392, -1.13346
0.031398, 0.662055, -0.795849
0.0391492, 0.64579, -0.748572
0.0283843, 0.83893, -0.274953
0.0276073, 0.891562, -1.15269
0.0403164, 0.793909, -0.880247
0.0302818, 0.98738, -1.34387
0.0307859, 0.771548, -0.771225
0.0358057, 0.961655, -0.325932
0.0368793, 0.946313, -0.704997
0.0218943, 0.612004, -0.333398
0.0374076, 0.707129, -0.457277
0.0362572, 0.599785, -0.566109
0.0366049, 0.604882, -0.283295
0.0354261, 0.775384, 0.446531
0.039378, 0.816965, -0.0281108
0.0412462, 0.918089, 0.424386
0.0433377, 0.907234, 0.460748
0.0372369, 0.864661, 0.112705
0.0437661, 0.91751, 0.416904
0.0286211, 0.827844, -0.330818
0.0420677, 0.741905, 0.37381
0.034719, 0.733304, -0.574775
0.0383108, 0.656439, -0.934771
0.0381895, 0.775552, -0.274571
0.0320581, 0.55368, -0.613348
0.0309563, 0.823496, -0.318567
0.0302773, 0.995162, -0.962671
0.0386176, 0.785911, -0.448235
0.03678, 0.724904, -0.448357
0.0284121, 0.742223, -1.17888
0.0412949, 0.928286, -0.0776678
0.0409869, 1.0075, 0.333091
0.036747, 0.96946, 0.274252
0.0540195, 1.04533, 0.43082
0.0653628, 0.948253, 0.415348
0.0380528, 1.31071, 0.166285
0.057555, 1.1924, 0.326561
0.0541166, 1.02571, 0.235719
0.0490268, 0.902416, 0.236508
0.0536168, 1.08365, 0.372029
0.0377683, 1.12741, 0.151387
0.0377319, 1.26786, -0.634333
0.061051, 0.965546, 0.316759
0.0660571, 0.878892, -0.383258
0.0600392, 1.40456, -0.0663834
0.067442, 1.2472, 0.0977794
0.0640362, 1.2955, 0.0959987
0.041336, 1.35531, -0.577612
0.0462067, 0.922551, -0.155834
0.032023, 1.16986, -0.136639
0.0361097, 1.04534, -0.150032
0.0475376, 1.05185, -0.570842
0.0353307, 0.940472, 0.0779286
0.0355417, 0.802237, -0.0916398
0.0368065, 0.646077, -0.569551
0.0365977, 0.902482, -0.502861
0.0316346, 0.62642, -0.148493
0.0304433, 0.689052, -0.355854
0.0384213, 0.707409, -0.708943
0.0373288, 1.07301, -0.0160239
0.0372828, 0.904828, -0.556479
0.0384874, 0.810366, -0.70148
0.0446441, 1.23942, -0.496603
0.0286274, 1.02666, -0.104608
0.0357563, 0.736857, -0.253741
0.0311256, 0.855039, -0.268309
0.0403038, 0.907815, -0.425236
0.0426857, 1.05438, -0.322579
0.039433, 0.736333, -0.0783527
0.0342319, 0.925453, -0.192621
0.0267284, 1.01135, -0.286968
0.0330246, 0.970819, -0.808593
0.0353564, 0.932918, -1.0416
0.0364784, 0.908965, -0.326201
0.0357759, 0.900209, -0.764574
0.0359059, 1.00133, -0.490843
0.041957, 1.06292, -0.660682
0.0379793, 1.00178, 0.188792
0.0316501, 0.857518, -0.475102
0.0298432, 0.907035, 0.153496
0.0358801, 0.927356, 0.244586
0.0258792, 0.786614, -0.0626474
0.0386861, 1.06234, 0.212544
0.0305255, 0.802891, 0.219333
0.0301623, 0.957761, 0.206114
0.0335813, 1.05791, 0.311252
0.04563, 0.702799, 0.3552
0.0365005, 1.18806, -0.550096
0.0362665, 0.834036, 0.40503
0.0312251, 0.606103, 0.260138
0.0379237, 0.733671, -0.851282
0.0352067, 1.03294, -1.00865
0.0250746, 1.06346, 0.0454255
0.0500532, 1.09545, -0.372575
0.048719, 0.981696, -0.336272
0.0449115, 0.953516, 0.0593402
0.034186, 0.754404, -0.138552
0.0372553, 0.746419, -1.14272
0.0450742, 0.890195, -0.212661
0.0393932, 0.856027, -0.239865
0.0338113, 0.896908, -0.18819
0.0354121, 1.00068, -0.172291
0.0385667, 0.880852, 0.243517
0.0366098, 1.02366, -0.356911
