beta, gamma, t0 
0.0201413, 0.580598, -0.125049
0.0293822, 0.535612, 0.0282778
0.0258077, 0.564985, -0.111999
0.0246039, 0.595982, -0.552445
0.0375068, 0.721304, -0.868597
0.0200318, 0.650608, -2.10753
0.0345684, 0.56501, -0.407612
0.0299376, 0.808614, -0.94493
0.0388068, 0.672242, 0.189724
0.0457582, 0.902304, -0.0847645
0.0302119, 0.846082, 0.0893726
0.0417634, 1.16075, -0.183651
0.0394277, 0.862012, -1.16313
0.030452, 1.04083, -0.393789
0.0376163, 0.901794, -0.194263
0.0337769, 0.771184, -0.0553335
0.0415706, 1.05423, 0.42391
0.0374929, 1.12159, 0.202326
0.0381558, 0.769431, 0.551247
0.0469946, 1.27155, 0.601941
0.0381899, 1.33712, 0.397663
0.0373783, 1.62215, 0.408073
0.045772, 0.903168, -1.17681
0.0371463, 0.981898, -1.189
0.047654, 0.954606, -1.00008
0.037828, 0.98321, -0.92711
0.0367667, 0.868947, -0.250222
0.0398301, 0.984245, 0.0607165
0.0527145, 1.02833, 0.10039
0.0426746, 1.15546, -0.25298
0.04479, 1.26836, 0.0595456
0.04793, 1.01964, -0.062776
0.0492449, 1.08712, 0.191753
0.0409056, 1.25142, 0.431423
0.0467472, 1.12802, 0.234833
0.0364972, 1.14178, 0.352057
0.0360436, 1.00902, 0.253058
0.0488447, 1.23717, 0.269267
0.0440356, 1.12751, -1.07793
0.0476817, 0.889915, -0.0746177
0.0273175, 1.12127, -0.344589
0.0521886, 1.4375, -0.102864
0.0501434, 1.28806, -0.403195
0.0688413, 1.15231, -0.36541
0.0644584, 1.16327, 0.0469628
0.0530398, 1.59114, -0.265765
0.0540989, 1.37658, 0.195549
0.0418609, 1.35319, -0.19971
0.0351535, 0.887595, 0.367721
0.0444313, 0.848486, 0.346877
0.0410422, 0.689051, 0.337762
0.0495808, 0.690577, -0.0196063
0.0400093, 1.204, -0.274017
0.0521131, 1.21246, 0.141814
0.0573244, 1.19134, -0.0778389
0.051986, 1.30928, 0.225526
0.0478781, 0.84281, -0.35095
0.0527676, 0.703292, -0.467498
0.0377406, 0.830503, 0.266368
0.0361513, 1.18994, 0.219453
0.0456273, 0.990946, -0.958177
0.0407562, 0.875379, -0.909878
0.0303346, 0.960158, -0.335812
0.0298202, 1.01353, -0.425284
0.0340005, 1.00837, 0.0578068
0.044749, 0.601344, -1.78167
0.0325114, 0.746134, -0.176265
0.0222176, 0.669237, 0.146424
0.0392774, 0.683999, -0.240053
0.0332847, 0.684335, -0.0554022
0.03219, 0.923487, 0.221998
0.0202831, 0.782004, -1.06955
0.0341773, 0.719927, -0.0640406
0.0275082, 0.630472, -0.698135
0.028914, 0.603847, -0.117087
0.0212736, 0.698717, -1.03803
0.0308067, 0.689976, -0.0514162
0.0314101, 0.820257, -0.00774188
0.0298354, 0.683041, -0.281087
0.032953, 0.795401, -0.0850754
0.0318013, 0.673222, -0.0526292
0.0301688, 0.652561, -0.15434
0.0423983, 0.807173, -0.260983
0.0356941, 0.893634, -1.28594
0.0323531, 1.1311, -0.893736
0.0261533, 0.890698, -0.509611
0.0345916, 0.805327, -0.942667
0.0321429, 0.665435, -0.454239
0.0375203, 0.648069, -0.19354
0.0333971, 0.621935, -0.391545
0.0294253, 0.707638, -0.217208
0.0332827, 0.637356, -0.149914
0.0309791, 0.61721, -0.122489
0.0353455, 0.759081, -0.121064
0.040984, 0.808301, -0.318482
0.0316526, 1.21192, -0.300909
0.0521508, 0.609109, -0.283503
0.0354569, 0.68781, -0.636096
0.046397, 0.703895, 0.401463
0.0401428, 0.694479, 0.445205
0.0327405, 0.795042, 0.411584
0.0403495, 1.00389, -1.71214
0.0391198, 0.895436, 0.489789
0.0359867, 0.937149, -0.178547
0.0410384, 1.17138, 0.414806
0.0352101, 0.67153, 0.0213221
0.032457, 1.06153, 0.359764
0.0374125, 0.807669, 0.370532
0.0331358, 0.681605, 0.114844
0.0456441, 0.691524, -0.205244
0.0336007, 0.871801, -1.08993
0.0322511, 0.871409, -0.754663
0.0328367, 0.771632, -0.901397
0.0307092, 0.482891, -1.19514
0.022323, 0.655809, -0.651323
0.0289805, 0.593708, -0.964697
0.0168531, 0.647019, -3.1155
0.0239563, 0.654061, -1.38644
0.0355133, 0.756015, -0.108299
0.0284911, 0.926363, 0.114887
0.0361459, 0.96334, -0.145242
0.0446047, 0.765993, 0.0414948
0.0348301, 0.974374, -0.0106494
0.0438175, 1.34593, -0.600991
0.0301055, 1.02591, -2.96633
0.0395952, 0.926263, -0.29136
0.0446072, 0.834677, -0.744801
0.0314443, 0.826997, -0.215994
0.0362729, 0.845989, -0.298154
0.0310584, 0.7973, -0.0984113
0.0406266, 0.756389, -1.4754
0.0374746, 0.910917, -0.335964
0.0256986, 0.649873, -0.0123822
0.0286478, 0.71461, 0.254258
0.0328317, 0.794119, 0.0754542
0.0358396, 1.01067, 0.369919
0.0332996, 0.917384, 0.318472
0.0381378, 0.689175, 0.275116
0.0373621, 0.844842, 0.223608
0.0434848, 0.854682, 0.275888
0.0447222, 0.731048, 0.41808
0.0269661, 0.940517, -0.0231055
0.0345691, 0.760212, -0.0341559
0.040061, 0.78443, -0.0533838
0.0286189, 0.577201, -0.3516
0.0334642, 0.821654, -0.629311
0.0326204, 0.674034, -1.17487
0.0351589, 1.27212, 0.0641343
0.0353969, 0.867158, -0.264561
0.0272391, 0.884361, -0.262162
0.0297803, 0.619727, -0.727966
0.0357372, 0.710456, -0.128039
0.0289133, 0.77273, 0.081612
0.0207222, 0.973913, -0.411302
0.0280186, 1.00173, -0.694384
0.0256497, 0.923309, -0.728785
0.0366275, 0.889422, -0.994732
0.0341778, 0.931192, -0.553007
0.0422842, 0.834096, -0.660488
0.0349306, 0.737042, -0.164938
0.0492408, 0.878187, -0.267388
0.0298386, 1.1895, 0.0973728
0.0528591, 1.22567, 0.259584
0.0557946, 1.76575, 0.508592
0.0707776, 1.60082, 0.55334
0.0456619, 1.71029, 0.368172
0.0501365, 1.03587, 0.403002
0.0387445, 0.669884, 0.403565
0.0371409, 0.739756, 0.511003
0.0422183, 0.826172, 0.282563
0.0386249, 0.843764, -0.184179
0.0306938, 0.972573, 0.0322366
0.0332354, 0.802841, -0.678834
0.0281854, 0.762759, 0.0716694
0.0430846, 0.948568, 0.085395
0.0362563, 0.98201, -0.160488
0.0497796, 0.805867, 0.0248689
0.0369134, 0.789823, 0.211302
0.0399518, 0.89799, 0.368152
0.0345616, 1.12693, -0.0396462
0.0364869, 0.812265, 0.277091
0.0355534, 0.927174, 0.199052
0.0404631, 1.12078, -0.382661
0.0521849, 0.88043, 0.176569
0.0396094, 0.763665, 0.146272
0.0402924, 1.42992, 0.343031
0.0415625, 1.0549, 0.394906
0.0468948, 0.97574, 0.21119
0.039963, 0.914142, 0.0473755
0.0435188, 1.07457, 0.255917
0.0344811, 1.00285, 0.355779
0.0340632, 0.806102, 0.138897
0.0389644, 0.851265, 0.187242
0.0388508, 0.774287, 0.219827
0.0378995, 0.880358, 0.351344
0.0367471, 0.953711, 0.295418
0.0414176, 0.946864, 0.272288
0.0433681, 0.949341, -0.120877
0.033798, 1.35091, 0.296316
0.0403413, 0.953278, 0.276253
0.0340668, 1.01404, 0.0497328
0.0456627, 0.942537, 0.295469
0.0427238, 1.10987, 0.201949
0.0430744, 1.12473, 0.150077
0.0477507, 0.89025, 0.0578821
0.0383433, 0.986048, -0.955688
0.0381911, 1.11835, -0.704538
0.0316247, 1.00412, -1.37354
0.0324142, 0.792424, -0.684758
0.0330978, 0.573575, -0.246153
0.0292767, 0.737403, -0.0816976
0.035575, 0.644079, -0.681929
0.0346848, 0.724177, -0.444193
0.0397326, 0.760209, -0.187394
0.0485459, 0.653414, 0.214501
0.0348905, 0.719217, 0.115662
0.0343211, 0.645982, 0.111611
0.0317799, 0.728365, -0.745974
0.0258364, 0.594149, -1.02444
0.0291226, 0.650887, -0.0961205
0.0233868, 0.629458, -0.160979
0.0345061, 0.738305, -0.0836656
0.0347276, 0.448212, -0.263335
0.0311461, 0.685419, -0.56678
0.0333458, 0.921021, -0.599592
0.0210788, 0.802279, -0.0368683
0.0349475, 0.680905, -0.142381
0.0402061, 0.880062, -0.0876772
0.0347767, 0.839452, -0.94216
0.0273055, 1.0204, -0.414538
0.0597658, 1.4089, -0.326001
0.0397403, 1.24323, -0.067869
0.0294345, 0.775496, -0.0546972
0.0412763, 1.02142, -0.233075
0.0273047, 1.03224, -1.69138
0.0353836, 0.862296, -0.298035
0.0298195, 0.87469, 0.0730426
0.0346451, 0.764419, 0.222729
0.0334647, 0.736927, -0.695302
0.0348336, 0.71046, -0.162961
0.0277408, 0.669613, -0.0931006
0.0309337, 0.753438, -0.383617
0.025558, 0.551834, 0.140497
0.0416342, 0.836405, 0.0885033
0.0435061, 0.679374, -0.903505
0.0325225, 0.554077, -0.862791
0.0372382, 0.680015, -0.321015
0.0329585, 0.886005, -0.822742
0.0373939, 0.736511, -1.83707
0.0207918, 0.871223, -0.897706
0.028419, 0.710059, -0.593167
0.0321484, 0.767605, -0.301071
0.033951, 0.629514, -0.0792267
0.0317089, 0.872203, -0.110824
0.0330171, 0.786356, -1.73066
0.0249944, 0.835193, -1.03744
0.0348397, 0.672599, -2.1352
0.0324285, 0.755229, -0.0483989
0.0378578, 0.723467, -0.102237
0.0397408, 0.806001, -0.105645
0.0283719, 0.730235, -1.08465
0.0340916, 0.827686, -0.845846
0.0356772, 0.702742, -1.0686
0.0443486, 0.623563, -0.500149
0.0371091, 0.87216, -0.403657
0.0304636, 0.844627, -0.549517
0.0379364, 0.830326, -0.0937238
0.0375133, 0.824296, 0.153556
0.0264468, 1.11367, -0.119276
0.0335384, 0.739584, -0.126729
0.0386063, 0.837977, -0.706798
0.033165, 0.727596, -2.21329
0.0227428, 0.626259, -1.47566
0.034285, 0.765524, -0.4291
0.0412691, 0.882766, -0.118949
0.0360947, 0.858883, 0.050996
0.0315156, 1.013, -0.441996
0.0356007, 0.840896, -1.52723
0.0341023, 0.777019, -0.775399
0.0359991, 0.852023, -0.933559
0.0332578, 0.770727, -0.759416
0.038919, 0.707394, 0.210071
0.0397371, 0.778012, -0.100806
0.0384176, 0.8039, 0.0022913
0.035291, 0.82397, -0.810326
0.0301647, 0.787989, 0.261865
0.0352403, 0.899703, -0.680915
0.026445, 0.73231, -0.253519
0.0358798, 0.945383, -0.287982
0.0248463, 0.678812, -0.971433
0.0281743, 0.689266, -0.361687
0.0272817, 0.457314, -0.495767
0.0271499, 0.788492, -1.34818
0.0259042, 0.718275, -1.58406
0.033288, 0.703281, -0.334205
0.0409917, 0.725373, -0.367056
0.0275107, 0.666992, -0.553149
0.0224458, 0.658371, -0.259473
0.0207661, 0.577062, -0.190986
0.0301932, 0.623675, -0.88969
0.0293432, 0.52946, -0.853589
0.0250837, 0.657685, -0.541508
0.0313124, 0.58703, -0.213626
0.0261169, 0.488611, -1.76529
0.0299039, 0.378432, -0.267322
0.0246945, 0.637248, -0.270843
0.0334717, 0.52733, -0.496229
0.0331153, 0.618685, -0.830256
0.0314152, 0.845189, -0.788455
0.0409253, 0.508971, -0.399892
0.0325163, 0.744484, -0.0434594
0.0338132, 0.833323, -0.955286
0.0289633, 0.586865, 0.109472
0.0364434, 0.67712, 0.192586
0.0380731, 0.807447, -0.525515
0.0353377, 0.92805, -0.0294282
0.0337038, 0.920242, 0.192459
0.0388465, 0.995027, 0.053263
0.0350953, 1.11631, 0.174716
0.0394527, 0.934502, 0.147762
0.0409928, 1.04126, -0.443304
0.034678, 0.980626, -0.714742
0.0322425, 0.951099, -0.729512
0.0358478, 0.842215, -0.270712
0.0338733, 0.931455, 0.102437
0.0355294, 0.808608, -1.25161
0.0327672, 0.890125, 0.238841
0.0433796, 1.02186, 0.387282
0.0413801, 0.952022, 0.483214
0.0394454, 1.02308, 0.325403
0.0407511, 1.2321, 0.417285
0.0426759, 0.874144, -0.0146255
0.0487786, 1.09855, 0.174235
0.0423659, 0.665721, -0.117985
0.0454006, 0.845981, -0.406387
0.0302204, 0.906963, -0.756259
0.0470277, 0.915726, -0.184688
0.0457441, 1.03764, -0.0690325
0.0582218, 1.24983, 0.160122
0.0500856, 0.884841, 0.162417
0.0409053, 1.15658, 0.10022
0.0456969, 1.07312, -0.00388719
0.0422965, 1.08144, 0.0313945
0.0384026, 0.898512, -0.0619418
0.037236, 0.877251, -0.715206
0.0336109, 0.990419, -0.727376
0.037128, 0.930028, -0.173204
0.0313104, 0.830043, 0.0117858
0.0393154, 0.852554, -0.778579
0.0423525, 1.04742, -0.442904
0.0322344, 0.859497, -0.35694
0.0326756, 0.774133, -0.0100057
0.0319533, 0.818049, -0.748149
0.0444152, 0.876502, 0.367496
0.0456669, 0.77044, 0.240207
0.0294939, 0.764288, 0.193617
0.0287981, 0.618651, 0.222233
0.034737, 0.777367, -0.0929349
0.036257, 1.04339, 0.24792
0.040813, 0.917612, 0.133421
0.0356446, 0.881461, -1.07341
0.0302148, 0.927954, -0.997261
0.030736, 0.610476, 0.226411
0.0358311, 0.803369, -0.2866
0.0286212, 0.845799, 0.105386
0.0278405, 1.00339, -0.0904727
0.037199, 0.613887, -0.204745
0.0330864, 0.922227, -0.0958425
0.0325741, 0.641699, 0.015029
0.0240457, 0.777373, -0.0245301
0.0373491, 0.667367, 0.219234
0.0350958, 0.9024, -0.0186862
0.037559, 0.880283, 0.000155037
0.0438758, 0.704356, -0.133389
0.0331127, 0.800539, -0.700267
0.0407697, 0.746234, -0.959015
0.0306522, 0.644678, -0.387759
0.0321037, 0.922067, -0.186157
0.0326354, 0.530331, -0.124152
0.0353881, 0.747743, -0.206911
0.0365853, 0.857933, -0.694652
0.0409046, 1.04635, -0.546177
0.0366012, 0.775579, -0.143233
0.0281291, 0.682689, -0.0391917
0.0377502, 0.636255, -0.025668
0.0398912, 1.04622, 0.161809
0.037572, 0.71757, 0.0259182
0.0351307, 0.876345, -0.738762
0.0369275, 0.986587, 0.0528416
0.0401164, 0.887576, -0.209798
0.0410759, 0.834745, -0.871393
0.0291529, 0.887341, -1.99627
0.0356658, 0.885678, 0.044316
0.041578, 0.811895, -0.0700287
0.0354945, 0.778414, -0.243422
0.0278318, 0.883388, -0.854371
0.0362823, 0.697569, -1.47244
0.031404, 0.852317, -0.604285
0.0429241, 1.05016, -0.156708
0.0319972, 1.05296, -0.0821032
0.0357402, 0.636477, 0.0845502
0.0354998, 0.860312, 0.113821
0.0503643, 0.676133, -1.23136
0.0359693, 0.762304, 0.275648
0.0402816, 0.882099, 0.462866
0.0312727, 0.666742, 0.267487
0.026694, 0.818075, 0.421286
0.0272757, 0.680068, -0.201692
0.034307, 0.738361, 0.440049
0.0378284, 0.719635, -0.168539
0.0488618, 0.960986, 0.459608
0.0472929, 0.842945, -0.0658625
0.0431062, 0.724792, -1.08922
0.0267012, 1.20475, -0.98447
0.0367852, 1.16714, -0.662541
0.045844, 0.783731, -0.622732
0.037827, 0.963803, -0.680208
0.0384029, 0.720042, -0.554782
0.0417813, 1.06491, -0.382082
0.0324251, 0.863531, -0.0137039
0.0245912, 0.700618, -0.0936171
0.0371975, 0.48912, -1.03164
0.0251648, 0.716727, -0.777757
0.0270421, 0.600851, -0.284528
0.0345028, 0.560919, -0.343922
0.0324925, 0.774706, -0.563399
0.0293966, 0.632144, -0.093128
0.0277766, 0.743007, -0.811599
0.0252243, 0.845823, -0.63986
0.041564, 0.906644, 0.0639222
0.0419437, 0.808508, 0.18776
0.063438, 0.968668, 0.0120055
0.0473583, 1.01888, 0.0353294
0.0414476, 0.761912, 0.231242
0.0309218, 1.02378, 0.207496
0.0498472, 1.16383, 0.245299
0.0335809, 1.26709, 0.300508
0.0424522, 1.14823, 0.290016
0.036326, 0.688261, 0.265772
0.0224932, 0.761032, -0.349241
0.0412911, 0.590664, -0.428232
0.0258496, 0.765287, -0.675836
0.0211232, 0.603445, -0.97491
0.0325591, 0.61314, 0.12429
0.0268186, 0.646367, 0.308239
0.0284011, 0.749057, 0.113473
0.0324593, 0.565213, -0.278822
0.0267633, 0.562588, -0.60803
0.029974, 0.650277, -0.0161688
0.0262583, 0.536057, -0.176601
0.0357461, 0.711188, -0.659548
0.0275973, 1.04452, -1.37444
0.0351781, 0.711024, -0.0875167
0.0373867, 0.879997, -0.246288
0.0427762, 1.08363, -0.285485
0.0371466, 0.920362, 0.126285
0.0508904, 1.29884, 0.420409
0.0445131, 1.70853, 0.184198
0.050987, 1.16794, 0.134753
0.0654815, 1.47308, 0.0362103
0.0358161, 1.42748, -0.160881
0.0480412, 1.41235, -0.372151
0.046023, 0.915632, -0.42373
0.033949, 0.971809, 0.056344
0.033978, 1.18019, -1.20962
0.0359057, 1.18232, -0.76302
0.0417284, 1.3073, -0.543029
0.0493894, 0.820351, -0.311925
0.0374132, 1.04928, 0.0237686
0.0264575, 0.981658, -0.528922
0.0366583, 1.20819, -0.000720298
0.042014, 0.890166, -1.48334
0.0315288, 0.751848, -0.0374189
0.0456791, 0.827163, -0.702611
0.034301, 1.16575, -0.01354
0.0387188, 0.745286, 0.0323705
0.0334059, 0.710383, -0.310411
0.032719, 0.77624, -0.0841309
0.0388673, 0.70639, -0.478346
0.0347144, 0.659119, -0.430931
0.0266889, 0.73591, -0.142394
0.0363148, 0.849037, -1.1187
0.0332129, 0.925032, -0.330533
0.0397069, 1.11598, -0.169064
0.0284608, 0.597921, -0.172981
0.0371129, 0.728043, -0.0624389
0.0390102, 0.613156, -0.825628
0.0294188, 0.647863, -0.810318
0.0459515, 0.758314, -1.07522
0.0348063, 0.991257, -0.169471
0.0435751, 1.03507, -0.14086
0.0294759, 1.00363, -0.316404
0.0332952, 0.948284, -1.29043
0.0464416, 0.940349, -0.666048
0.044315, 1.03236, 0.270911
0.0592723, 0.906646, 0.25295
0.0360665, 0.98473, 0.251919
0.027387, 0.856483, -0.110494
0.0291807, 0.898393, -0.254584
0.0358039, 0.729138, 0.132713
0.0357813, 0.789801, -0.385663
0.0355929, 0.721129, -0.415698
0.0327537, 0.747632, -0.381403
0.0351218, 0.615198, 0.0440947
0.0264024, 0.742061, -1.4529
0.0299313, 0.697164, -0.606511
0.0315221, 0.838844, -0.0615331
0.0395676, 0.679895, -0.919614
0.0344604, 0.744889, -0.278657
0.0346957, 0.89076, -0.440194
0.0319998, 0.832622, -0.579638
0.0320785, 0.645364, -0.472625
0.0272506, 0.700844, -0.657105
0.023897, 0.664632, -0.419588
0.0270745, 1.02974, -0.162654
0.035526, 0.919474, -0.951371
0.0293429, 0.962118, -0.148521
0.0455874, 0.681207, -0.133053
0.0325183, 0.608157, -0.603896
0.0346623, 0.84639, -0.0424959
0.0309001, 0.54884, -0.798581
0.0322807, 0.979208, -0.997616
0.0354584, 0.915316, -0.602727
0.0295943, 0.861347, -0.80712
0.0415721, 0.559225, -0.546592
0.0349979, 1.0438, -0.609363
0.0310292, 0.953818, -0.689234
0.0331132, 0.781494, 0.0365416
0.0341966, 0.833563, -0.540882
0.0410878, 1.00763, 0.195224
0.0471682, 0.788984, 0.183086
0.049403, 0.834647, 0.31219
0.0321342, 1.04848, -0.643019
0.0364411, 0.776355, -0.288368
0.0293498, 0.718403, -2.32535
0.0387378, 0.988673, -0.973842
0.0406391, 0.832796, 0.168348
0.046196, 0.996996, 0.0801819
0.0456077, 1.20629, -0.0125719
0.0377862, 1.02575, 0.256691
0.0492699, 1.15133, 0.206699
0.0469399, 1.32565, 0.0877728
0.0516814, 1.25681, 0.241024
0.0651249, 1.14758, 0.241243
0.0582386, 1.67311, 0.161778
0.0814771, 1.75396, 0.34705
0.0742783, 1.60565, 0.20826
0.0533498, 1.5559, -0.192395
0.0482576, 1.49966, 0.269783
0.0574776, 1.61353, 0.331538
0.0505659, 1.58719, 0.273455
0.0578068, 1.46686, 0.46403
0.0512337, 1.29808, 0.360941
0.0424556, 0.985082, 0.0323703
0.0541291, 1.07129, 0.453388
0.0574485, 1.36842, 0.488658
0.0650274, 1.21319, 0.444845
0.0459964, 1.09099, 0.261481
0.044778, 1.36362, -0.522138
0.0336665, 1.29796, -0.771636
0.0477584, 0.935053, 0.0754567
0.0461858, 1.06474, 0.0792482
0.0468947, 1.00083, 0.216314
