beta, gamma, t0 
0.029416, 0.365299, -0.401122
0.0237261, 0.572197, -0.98478
0.0372395, 0.620431, 0.0839409
0.0290865, 0.598999, 0.153423
0.0348013, 0.658989, -0.5074
0.0405181, 0.726048, 0.0823479
0.0237513, 0.664445, -0.275515
0.0323593, 0.579281, -0.0594724
0.0304854, 0.598166, -2.19308
0.0299445, 0.761234, -0.580208
0.0306366, 0.824796, 0.0423435
0.0306552, 0.681462, -0.761129
0.0274953, 0.827066, -0.609675
0.0339265, 0.894319, -0.804757
0.0379662, 0.746638, -0.753293
0.03956, 1.03655, -0.117501
0.0274533, 0.582835, 0.0959172
0.0346465, 0.531436, -0.518317
0.0293018, 0.73214, 0.432343
0.0407154, 0.827352, 0.198268
0.0464295, 0.733659, 0.241467
0.0421394, 0.852014, 0.497563
0.0370162, 0.761066, 0.427652
0.0316266, 1.24396, 0.479067
0.0438108, 0.931959, 0.323907
0.0359903, 1.46227, 0.290725
0.043455, 1.33146, 0.504892
0.0424027, 1.40936, -0.0219388
0.0515803, 0.929077, 0.523041
0.0427659, 1.38498, 0.44424
0.0510255, 0.946715, -0.0469067
0.0527356, 0.851185, 0.132516
0.0541729, 1.18622, 0.495482
0.0510213, 1.05483, 0.537648
0.076784, 1.4, 0.532593
0.0674926, 1.29074, 0.370882
0.0500144, 1.42163, -0.232112
0.0454413, 1.29918, 0.172468
0.0556502, 0.969204, 0.588598
0.041236, 1.04912, 0.502622
0.0526956, 1.18781, 0.402449
0.0745712, 1.14078, 0.0318531
0.0489854, 1.08391, 0.261385
0.0633629, 0.965919, 0.498003
0.0394007, 1.20017, -0.175042
0.033613, 0.873476, -0.0855606
0.0336988, 0.898378, -0.0698553
0.0395463, 0.798489, -0.00909284
0.038152, 0.951818, 0.150345
0.0224017, 0.924587, 0.168876
0.0614733, 0.787203, 0.261757
0.0250812, 0.78956, 0.241866
0.0354093, 0.990814, 0.432413
0.0333378, 0.960517, 0.465806
0.0390852, 0.845085, 0.119308
0.0412929, 0.788008, -0.404488
0.035444, 0.698636, -0.020155
0.0318486, 0.715289, -0.200979
0.0381999, 0.94445, -0.462012
0.0410406, 0.669338, -0.168688
0.0211199, 0.614876, -0.439745
0.035121, 0.482096, -0.506628
0.0268826, 0.686355, 0.0668826
0.0282341, 0.518771, -0.231358
0.0289123, 0.503754, -0.561276
0.0232209, 0.55344, -3.04045
0.029169, 0.609508, -1.07194
0.0233722, 0.460355, -1.15693
0.0231699, 0.719819, -0.417349
0.0338751, 0.905843, -0.0371072
0.0341918, 0.699118, -0.977289
0.0376878, 0.808938, -0.270171
0.0262589, 1.08074, -0.734796
0.0303094, 0.766678, -0.627484
0.0381935, 0.795214, -0.200502
0.0330172, 0.720308, -0.198769
0.029344, 0.859067, -0.6809
0.0432978, 0.82898, -0.980315
0.0394121, 1.09281, -0.184728
0.0445362, 0.972493, -0.125287
0.0605657, 1.13994, 0.190291
0.0472518, 1.39847, -0.106618
0.0521926, 1.18506, -0.0833098
0.0640448, 1.34403, -0.036313
0.0457513, 1.35076, -0.0749426
0.0486838, 1.58186, 0.0869175
0.0349167, 1.02869, -0.00641886
0.041595, 1.04251, 0.083746
0.050068, 1.13252, 0.156407
0.040498, 1.33034, -0.222193
0.0589782, 1.06528, 0.26854
0.0484342, 1.45607, 0.335637
0.0492944, 1.27636, 0.464631
0.0409353, 1.3553, 0.272993
0.0409356, 1.16209, 0.370775
0.045582, 1.09485, 0.460507
0.0404073, 0.977708, 0.459067
0.0394573, 0.893995, 0.245065
0.0383268, 1.21417, -0.135648
0.0423781, 0.919479, 0.46262
0.0448309, 0.785054, 0.296697
0.0440072, 0.853491, -0.264407
0.0414539, 0.847769, -1.23303
0.0397887, 0.903473, -1.47618
0.0381165, 0.680747, -0.514521
0.0318875, 0.712548, -0.459435
0.0303064, 0.818753, -0.421056
0.0323363, 0.788089, -0.533088
0.0275595, 0.657406, -0.309667
0.0396918, 0.720186, -0.425682
0.0264558, 0.618857, 0.276289
0.0355267, 0.952357, -0.32072
0.043576, 0.843607, -0.69674
0.0313179, 0.937238, -2.77816
0.0224336, 0.741126, -0.705002
0.0272723, 0.739615, -1.96011
0.0328186, 0.63292, -2.16485
0.023031, 0.623203, -0.420085
0.0321664, 0.809037, 0.0178418
0.0395148, 0.639021, -0.817544
0.0329508, 0.684628, 0.26086
0.03395, 0.775636, 0.111173
0.0297574, 0.49686, 0.109965
0.0291819, 0.765576, 0.284428
0.0395493, 0.74209, 0.00360529
0.027618, 0.768318, 0.0391261
0.0288069, 1.07551, -1.81174
0.0364878, 0.950366, 0.383393
0.0460947, 1.06781, 0.228175
0.0411683, 1.17696, 0.205937
0.0376, 0.957714, -0.107022
0.0463966, 1.32069, 0.111885
0.0420755, 0.949847, 0.227618
0.0336983, 0.911897, -1.16127
0.037306, 0.786097, -0.628318
0.0322092, 1.08763, 0.118439
0.0422492, 0.845367, -0.466604
0.029422, 0.961823, -1.23821
0.0407165, 0.889887, -0.425816
0.0408342, 0.873976, 0.186978
0.0666778, 1.16388, 0.239511
0.0499766, 1.23717, 0.138363
0.0604053, 1.24891, 0.301529
0.056049, 1.6507, 0.052517
0.0537231, 1.16793, -0.219524
0.0514464, 1.23588, 0.205691
0.048387, 1.59432, 0.0029358
0.0551573, 1.21513, 0.395285
0.0461633, 1.08666, 0.405092
0.0503878, 1.3732, 0.42965
0.0468669, 1.13883, -0.221499
0.0584172, 1.44905, 0.310781
0.0538713, 1.4863, 0.44497
0.0459383, 1.0389, 0.392275
0.0578238, 1.10845, 0.138483
0.0437552, 1.06071, 0.485266
0.0424257, 1.25454, -0.145225
0.03549, 1.02497, -0.428369
0.0345497, 1.37754, 0.0473588
0.0483513, 0.596963, 0.163206
0.0451138, 0.77752, 0.0575729
0.0443587, 0.999377, 0.0550162
0.0508182, 1.17139, 0.00839174
0.0419091, 1.02639, 0.0375829
0.0459309, 0.961286, 0.00217239
0.054555, 1.50927, 0.281724
0.0455651, 1.28903, 0.394942
0.0694074, 1.17235, 0.328434
0.0563492, 1.04326, 0.29736
0.0436388, 1.01866, 0.343494
0.0342155, 1.28376, -0.0204297
0.0576417, 1.24879, -0.0186039
0.053999, 1.48301, 0.305708
0.0384304, 0.955312, 0.407408
0.0526846, 1.22472, -0.114875
0.0486503, 1.0149, 0.0677262
0.0515272, 1.11586, 0.367048
0.0468101, 1.13997, -0.292086
0.0409164, 1.03812, 0.333539
0.0540181, 0.891829, -0.0762302
0.042463, 1.00629, -0.120852
0.0570563, 1.12806, 0.117143
0.0712306, 0.881286, 0.152014
0.0447654, 0.846144, -0.280223
0.0488729, 0.915348, 0.0500725
0.0419029, 1.17872, -0.351436
0.0458692, 0.911335, 0.0758066
0.0407398, 0.961051, -0.317778
0.0540142, 1.35338, -0.287862
0.0506958, 1.16369, 0.234506
0.0429022, 0.918246, 0.158364
0.031598, 1.02287, 0.316002
0.0528568, 0.792421, -0.885208
0.0300795, 0.769137, 0.228505
0.0373893, 0.720005, -0.0988939
0.0370385, 0.965276, -0.398837
0.0413076, 1.03568, 0.0215484
0.0569849, 1.27039, 0.417498
0.0421825, 1.22506, -0.611647
0.0382303, 0.934315, 0.147785
0.045178, 0.77796, 0.398897
0.0404545, 0.848608, 0.230745
0.0312204, 0.981091, -0.143632
0.0378458, 0.873282, -0.499798
0.0380074, 0.945908, -0.698036
0.0426458, 0.691416, -2.01516
0.0241133, 0.705771, 0.382739
0.0374712, 0.964661, 0.0446333
0.0282725, 0.978211, -0.928237
0.024028, 0.991853, -0.879348
0.0415464, 0.949638, -0.759587
0.0382606, 0.991901, -1.08075
0.034818, 1.04727, 0.0613841
0.0392206, 0.966697, 0.351649
0.0355061, 0.907106, 0.266324
0.026367, 0.852115, -0.388812
0.0447854, 0.988204, -0.530545
0.0408097, 0.883902, 0.333687
0.0336507, 1.01389, 0.280679
0.0587828, 1.02098, 0.042809
0.0431879, 0.584755, 0.376381
0.0454464, 1.07003, 0.346766
0.0363663, 0.771552, -0.0403663
0.037915, 0.962492, 0.014919
0.0323856, 0.774434, -0.68917
0.0250007, 0.587486, -0.651323
0.0341144, 0.699749, -0.796492
0.038167, 0.591244, -0.0671103
0.0347131, 0.612169, -1.15993
0.026753, 0.574095, -1.04909
0.0299942, 0.588403, -0.703164
0.0329295, 0.60173, -0.653458
0.0296279, 0.64732, -0.10905
0.0398539, 0.603656, -0.516051
0.0309392, 0.599829, -1.71976
0.023802, 0.538818, -0.694941
0.0346796, 0.619256, -0.0778267
0.029301, 0.619416, -0.366378
0.02308, 0.555779, -0.437944
0.0301997, 0.635896, -0.995385
0.0302129, 0.621702, -1.35179
0.0269481, 0.642216, -0.0746331
0.0302634, 0.695385, -0.129776
0.0330832, 0.967379, -0.083259
0.0297419, 0.594108, -0.196084
0.0327874, 0.555667, -0.367754
0.032922, 0.572809, -0.432446
0.0330985, 0.700572, -1.60216
0.0258404, 0.777869, -0.675427
0.0279858, 0.66676, -0.390399
0.0366193, 0.846168, -0.375863
0.0337022, 0.645413, -0.393412
0.0214789, 0.679204, 0.377831
0.0353524, 0.772525, 0.148678
0.0327195, 0.526328, -0.0616888
0.0289863, 0.562064, -0.268421
0.031433, 0.623403, 0.149851
0.0304966, 0.735859, 0.0567999
0.0398179, 0.783413, -0.0403302
0.0345261, 0.915904, -0.182695
0.0257821, 0.930903, -0.0637908
0.0467671, 0.992993, 0.189147
0.0513281, 0.916835, 0.125727
0.0466551, 1.27414, 0.32506
0.0455699, 0.877075, -0.133827
0.0462699, 1.04293, -0.079429
0.0477761, 0.794123, -0.0633027
0.0311183, 0.941335, 0.226679
0.0358261, 0.9839, 0.211808
0.0438806, 0.718663, 0.222943
0.0293247, 0.905787, 0.107717
0.0424398, 1.11401, 0.105998
0.0403089, 1.11328, 0.29082
0.0382703, 1.35778, 0.0583409
0.0409834, 0.985902, 0.198491
0.0375875, 0.722386, -0.430633
0.0497214, 0.765749, -0.611799
0.0479018, 0.648376, 0.0272257
0.0357086, 0.869168, -0.498841
0.0379377, 1.19339, -0.101656
0.0314885, 1.24927, -1.4671
0.0452563, 1.25318, -0.724957
0.0491934, 1.34227, -0.485089
0.0432433, 1.09105, -0.13518
0.0407648, 1.08805, -0.120469
0.0385509, 1.52274, -0.16807
0.052105, 1.17661, -0.200467
0.0447419, 1.10335, 0.0719239
0.0588859, 1.09768, 0.0204987
0.0423657, 1.002, 0.422388
0.0279312, 1.12205, 0.300467
0.0449583, 0.701448, -0.0585937
0.0461832, 0.980639, 0.131643
0.046239, 0.951957, 0.126428
0.0397938, 1.01219, 0.16646
0.03781, 0.800232, -0.0211273
0.030897, 1.06788, 0.102381
0.0293745, 0.990895, -0.0152534
0.0354097, 0.984046, 0.533925
0.0372623, 1.1639, 0.491943
0.0360358, 0.827773, 0.400546
0.0435461, 0.817714, 0.277627
0.0365815, 1.03922, 0.395983
0.0393105, 0.857425, 0.448818
0.0393149, 0.845143, -1.07106
0.0308723, 0.971783, 0.0856147
0.0463039, 0.943762, -0.392972
0.0383331, 1.27769, 0.357071
0.0370252, 1.18431, 0.0903834
0.0445959, 0.925255, 0.479216
0.043625, 0.789248, 0.361968
0.0431508, 0.947766, 0.497338
0.0451068, 1.00393, -0.893621
0.0344289, 0.82591, 0.444144
0.028892, 0.652174, 0.190226
0.0284821, 0.48403, -0.574797
0.0336958, 0.674421, -0.577943
0.0288747, 0.609055, -0.219974
0.0245804, 0.57169, -0.406903
0.0299229, 0.783032, -0.218867
0.0332534, 0.944157, -0.186645
0.0282432, 0.695229, -0.127858
0.0432146, 0.866681, -0.134807
0.0499336, 0.789467, -0.0355356
0.0427587, 0.862668, -1.69254
0.0448247, 1.04807, -0.204764
0.0335742, 0.674236, -0.282332
0.0308935, 0.936234, -0.106826
0.0347655, 0.738371, -0.000770065
0.0428334, 0.783567, -0.177328
0.0338424, 0.860147, -0.642211
0.0391324, 0.806039, -0.578642
0.0244307, 0.736287, -0.364197
0.03277, 0.891885, -0.0364285
0.0421184, 0.990862, 0.0383802
0.0337056, 0.93074, -0.213673
0.0301991, 1.3191, -0.151778
0.0338995, 0.803133, -0.034551
0.0284077, 0.813238, -0.09064
0.0377006, 0.77806, -0.238196
0.0293997, 0.623694, -0.151917
0.0318368, 0.809763, -0.552638
0.038869, 1.05045, -0.659734
0.0294419, 0.87594, -0.231913
0.0286052, 0.732709, -0.237999
0.0278383, 0.677559, -0.166053
0.0317317, 0.731119, -0.681082
0.0314972, 0.524497, -0.779274
0.0233142, 0.594701, -0.250554
0.0345918, 0.498439, -1.25002
0.0276937, 0.552301, -0.895857
0.030671, 0.85514, -0.407436
0.0245111, 0.846981, -0.314953
