beta, gamma, t0 
0.0285454, 0.40481, -0.243607
0.0279158, 0.604472, -0.266853
0.0282966, 0.709689, -0.335145
0.0266997, 0.576188, -0.460861
0.037594, 0.823021, -1.65513
0.0392512, 0.665125, 0.15952
0.0430155, 0.558275, -0.458939
0.0286652, 0.726174, 0.251857
0.0273915, 0.634361, 0.236947
0.0364081, 0.798605, 0.297437
0.0400475, 0.80037, 0.205878
0.0274379, 0.796119, -0.109277
0.0325546, 0.830556, 0.356557
0.0343445, 0.939108, -0.460656
0.0408204, 0.809123, 0.0249754
0.0329243, 0.867946, 0.0616732
0.0325828, 0.84845, -0.0847329
0.028691, 0.975868, 0.13267
0.0340759, 0.825073, 0.324958
0.0316427, 0.664282, 0.0357793
0.0431107, 1.00603, -0.164523
0.0454193, 0.794248, 0.136913
0.0297206, 0.553822, -0.768403
0.0410325, 0.692454, -0.143042
0.0340503, 0.860567, -0.0855609
0.029594, 0.613967, 0.133542
0.0361031, 0.592079, -0.0286931
0.0374531, 0.724705, 0.0764284
0.0329319, 0.800473, 0.00155468
0.0294174, 0.927936, -0.275571
0.035625, 0.796839, 0.0995486
0.0316248, 0.783536, -0.538609
0.0280785, 0.762453, 0.1114
0.0336606, 1.05057, -0.451974
0.0388648, 0.860101, -0.44642
0.0315146, 0.720218, 0.22647
0.0440505, 0.911634, 0.237055
0.0392997, 0.817639, 0.290031
0.0253552, 0.913626, 0.256522
0.0352748, 1.12684, -0.0320265
0.0315202, 0.79964, 0.350803
0.041313, 0.981601, 0.359529
0.0417808, 0.797102, 0.0394336
0.036474, 1.25307, -0.104652
0.0453851, 1.07713, -0.120293
0.0407069, 1.04444, -0.397755
0.030754, 0.841378, 0.045456
0.0338597, 0.936678, 0.248889
0.0511404, 1.16932, -0.491411
0.0439373, 1.46861, -0.185578
0.0463716, 1.20405, -0.00543383
0.0418488, 1.15316, 0.375836
0.0455707, 1.21838, 0.102698
0.0457054, 1.27815, 0.409309
0.0425117, 1.04883, -0.142508
0.0419118, 0.765963, 0.0156584
0.0673934, 0.963524, 0.0933852
0.0343886, 0.997299, -0.115284
0.0394475, 0.967626, 0.00819753
0.0391996, 0.976137, 0.171296
0.0316227, 0.990404, -0.067539
0.038808, 0.708731, 0.175594
0.0510743, 0.972527, -0.0851843
0.0472106, 0.90792, -0.155194
0.0394109, 0.688227, -0.212151
0.030626, 0.802952, -0.289381
0.0341177, 0.597936, -0.432158
0.0326271, 0.754794, -0.540051
0.0366219, 0.862411, -0.155827
0.0477032, 0.961038, -0.495818
0.0343663, 0.916524, -0.138868
0.0379799, 0.703863, -0.701623
0.0283869, 0.634204, -0.377037
0.0288689, 0.648197, -0.0823247
0.0326148, 0.607216, -0.318701
0.0269441, 0.520433, -0.601789
0.0295917, 0.534033, -1.04782
0.0207134, 0.760193, -0.641433
