alpha, beta, delta, gamma 
0.00480766, 5.56093e-05, 3.08884e-05, 0.00391351
0.00262814, 0.00130007, 0.000447276, 0.00334628
0.00196278, 0.00136163, 0.000903312, 0.00801643
0.00397386, 0.00191795, 0.00199472, 0.00995334
0.0239271, 0.00258605, 0.00214635, 0.016509
0.0152885, 0.00169335, 0.002348, 0.0225358
0.0100405, 0.00191345, 0.00414208, 0.0284801
0.0192545, 0.00228397, 0.0045589, 0.0334419
0.0145333, 0.00318621, 0.00599486, 0.0269373
0.0249909, 0.00513838, 0.00509866, 0.0426524
0.0401899, 0.00567348, 0.00650892, 0.062898
0.0532097, 0.00607708, 0.00618998, 0.0440767
0.0410968, 0.00708009, 0.00686677, 0.0443287
0.0503499, 0.00819622, 0.00445832, 0.0497218
0.0439665, 0.00874256, 0.00493593, 0.0514962
0.0608604, 0.00771314, 0.006804, 0.0539658
0.0630829, 0.00713649, 0.00850138, 0.0540747
0.0453097, 0.00762725, 0.00676376, 0.0379579
0.065499, 0.00583569, 0.00702269, 0.0442381
0.0481076, 0.00568896, 0.00617288, 0.0644004
0.0391224, 0.00793174, 0.006357, 0.064023
0.0488017, 0.00685047, 0.00699915, 0.0592065
0.0431416, 0.00758884, 0.00639117, 0.0836312
0.0583566, 0.00898034, 0.00689622, 0.0625061
0.0470053, 0.0090252, 0.0069868, 0.0749322
0.058049, 0.0084842, 0.0077826, 0.0787162
0.0646729, 0.00906134, 0.00947669, 0.0665133
0.0617419, 0.00780587, 0.00772905, 0.0703642
0.0551627, 0.00901673, 0.00650394, 0.0809663
0.050799, 0.00805344, 0.00800361, 0.0773401
0.0529154, 0.00803547, 0.0088498, 0.0632807
0.0767182, 0.0105162, 0.00834375, 0.0717539
0.0722755, 0.00865384, 0.00932258, 0.0639637
0.0840656, 0.0104615, 0.0076132, 0.0765239
0.081221, 0.0126348, 0.00729412, 0.0791065
0.0833018, 0.0121787, 0.00780621, 0.0793238
0.0878898, 0.0115998, 0.0125835, 0.0770979
0.0999465, 0.0121192, 0.00972116, 0.0933342
0.104399, 0.0144448, 0.0102253, 0.0953773
0.103111, 0.0110278, 0.0116771, 0.110741
0.0969736, 0.0142008, 0.0127023, 0.105984
0.117336, 0.0126719, 0.0137326, 0.138772
0.118822, 0.013107, 0.0142493, 0.119809
0.10898, 0.013269, 0.0152651, 0.148685
0.080482, 0.00889528, 0.0120752, 0.127097
0.0675506, 0.00956632, 0.0157673, 0.156266
0.0756372, 0.0091893, 0.019655, 0.134901
0.0891832, 0.00883645, 0.0168719, 0.155028
0.0644518, 0.009704, 0.0133466, 0.127419
0.0738661, 0.00938405, 0.0127601, 0.129838
0.0777537, 0.0100835, 0.0116711, 0.136355
0.0663911, 0.0083865, 0.0119103, 0.110637
0.0615969, 0.00777098, 0.0140175, 0.102172
0.0703678, 0.00829146, 0.0131504, 0.159998
0.0673105, 0.00744167, 0.0136149, 0.136326
0.0495816, 0.0081929, 0.0120113, 0.127485
0.0635754, 0.010152, 0.0159523, 0.15153
0.076089, 0.00744085, 0.0169564, 0.148723
0.0568111, 0.00741805, 0.0182425, 0.154051
0.0534319, 0.00671706, 0.0171884, 0.155682
0.0598844, 0.0069752, 0.013205, 0.122474
0.0766762, 0.00855758, 0.0109735, 0.0932452
0.0915636, 0.0106829, 0.0100316, 0.0976705
0.0921898, 0.0127777, 0.0109242, 0.0957977
0.0835553, 0.010055, 0.0109801, 0.0937594
0.0841249, 0.00964661, 0.0103483, 0.0841661
0.0848083, 0.0107114, 0.00977738, 0.0891974
0.0713905, 0.0114643, 0.0109378, 0.0928902
0.0939599, 0.009318, 0.0115809, 0.102841
0.0651733, 0.00876207, 0.0126356, 0.109741
0.0760721, 0.00797286, 0.0133135, 0.113316
0.0646765, 0.00949083, 0.0108047, 0.124042
0.082509, 0.0110931, 0.0103115, 0.124517
0.0670521, 0.0107234, 0.0127754, 0.101506
0.0796006, 0.00976115, 0.00998795, 0.0948935
0.0722508, 0.00849119, 0.00978919, 0.100056
0.061045, 0.00943417, 0.0103097, 0.0938053
0.0627698, 0.00938117, 0.0130386, 0.132373
0.0720175, 0.00740797, 0.0145923, 0.111833
0.0821829, 0.00748515, 0.0115875, 0.127169
0.0537792, 0.00840817, 0.0143964, 0.105118
0.0627166, 0.0076985, 0.0109464, 0.124686
0.0522159, 0.00751779, 0.0116282, 0.136591
0.0507887, 0.00797216, 0.0143083, 0.117808
0.0618858, 0.00731733, 0.0124504, 0.137544
0.0469035, 0.00508198, 0.0115663, 0.111244
0.0495648, 0.00559552, 0.0134206, 0.107444
0.0674342, 0.00800688, 0.0127473, 0.110517
0.0755642, 0.00753412, 0.0148469, 0.131904
0.0715637, 0.00722354, 0.0121948, 0.115695
0.0549512, 0.00736714, 0.0136946, 0.109518
0.0662517, 0.00836611, 0.0146987, 0.134004
0.0577022, 0.00799672, 0.0131326, 0.129776
0.0606152, 0.0076764, 0.01358, 0.141815
0.0709628, 0.00872448, 0.0163918, 0.107575
0.0599435, 0.00675158, 0.0142071, 0.147789
0.0525533, 0.00773529, 0.0148598, 0.129385
0.0529476, 0.00635624, 0.014643, 0.124119
0.0517486, 0.00624885, 0.013568, 0.118585
0.0555023, 0.00773831, 0.0124512, 0.134909
0.0511445, 0.00756163, 0.0143419, 0.123828
0.0577282, 0.00761428, 0.0114171, 0.117081
0.0581243, 0.0071751, 0.00917118, 0.112494
0.060751, 0.00746386, 0.0103978, 0.0802926
0.0583104, 0.00764828, 0.0100734, 0.0889915
0.0699527, 0.00943337, 0.0131106, 0.114306
0.0811529, 0.00998419, 0.013486, 0.14101
0.0729479, 0.0102404, 0.0124462, 0.137503
0.0721943, 0.00840001, 0.0155662, 0.11849
0.0813379, 0.00911927, 0.0146359, 0.122033
0.0695221, 0.00967298, 0.0132545, 0.144264
0.0944945, 0.0101217, 0.013724, 0.135498
0.103152, 0.0100993, 0.0143418, 0.136753
0.0833565, 0.0108572, 0.0147888, 0.152173
0.0915936, 0.00999586, 0.0153467, 0.138731
0.0798895, 0.00924261, 0.0139438, 0.104641
0.0700724, 0.00912597, 0.0122642, 0.127384
0.0744583, 0.0114234, 0.0129466, 0.161044
0.0872242, 0.00839695, 0.0127939, 0.127919
0.0904556, 0.00914327, 0.0139272, 0.129101
0.0851059, 0.0102148, 0.0146825, 0.140251
0.097478, 0.00892246, 0.0117761, 0.122898
0.0960353, 0.0109107, 0.0141726, 0.103687
0.101248, 0.0104563, 0.00900649, 0.100701
0.129233, 0.0125236, 0.00942185, 0.128782
0.136956, 0.0142825, 0.0118261, 0.116559
0.107929, 0.0178842, 0.012115, 0.114008
0.117286, 0.01705, 0.012336, 0.119549
0.164484, 0.0164062, 0.014957, 0.141927
0.119861, 0.0172644, 0.0124417, 0.133735
0.130683, 0.0143765, 0.011616, 0.0979501
0.108727, 0.0160996, 0.0120779, 0.0972578
0.140479, 0.0134592, 0.0132702, 0.115827
0.11126, 0.01326, 0.0129688, 0.136967
0.114574, 0.0119436, 0.0130597, 0.123874
0.1067, 0.0106575, 0.0115897, 0.135938
0.108824, 0.0121056, 0.0159496, 0.133462
0.114527, 0.0131145, 0.0142927, 0.144825
0.10105, 0.0119826, 0.0145252, 0.158003
0.113023, 0.0122143, 0.014198, 0.17661
0.107559, 0.0123244, 0.0191446, 0.147177
0.109275, 0.0117962, 0.0186346, 0.17338
0.108173, 0.0119165, 0.0177291, 0.15251
0.107632, 0.0126633, 0.0185428, 0.149242
0.116925, 0.0128113, 0.0166846, 0.167564
0.110617, 0.0144114, 0.0153275, 0.168928
0.126812, 0.0130411, 0.0157401, 0.148722
0.11543, 0.0114034, 0.0152294, 0.14105
0.120801, 0.0112646, 0.0138132, 0.171163
0.105265, 0.00975558, 0.0170963, 0.189111
0.0912744, 0.0115417, 0.0172185, 0.168678
0.0947623, 0.0109551, 0.0188726, 0.192439
0.0880331, 0.0104017, 0.0170144, 0.183623
0.129128, 0.0109139, 0.0181376, 0.202508
0.123885, 0.0115795, 0.0166707, 0.195562
0.112224, 0.0122634, 0.0161149, 0.163179
0.13356, 0.0146611, 0.0154073, 0.13939
0.103688, 0.010416, 0.0147719, 0.160872
0.083373, 0.0111899, 0.0148331, 0.15788
0.112561, 0.0123614, 0.0157221, 0.164876
0.09259, 0.0107236, 0.0161678, 0.151642
0.085539, 0.00924598, 0.0154743, 0.154975
0.0865067, 0.011623, 0.0162713, 0.158476
0.0927947, 0.0106246, 0.018024, 0.151022
0.0935021, 0.0103799, 0.0147345, 0.152912
0.09229, 0.0121556, 0.016311, 0.144627
0.107214, 0.012111, 0.0131179, 0.126561
0.110442, 0.0121231, 0.0111411, 0.103852
0.0982439, 0.0111137, 0.0122651, 0.105231
0.101654, 0.011624, 0.010159, 0.113314
0.0959682, 0.0112871, 0.0106501, 0.0996888
0.0886592, 0.00966603, 0.00985145, 0.0984661
0.0964017, 0.0104851, 0.00976666, 0.10867
0.1029, 0.0114638, 0.00960331, 0.0945547
0.092079, 0.0102792, 0.00898158, 0.0739832
0.118209, 0.0113029, 0.00786233, 0.0775462
0.106258, 0.0121406, 0.00733235, 0.0608599
0.0877371, 0.00960716, 0.00709109, 0.0820318
0.0965938, 0.00983739, 0.00797928, 0.082629
0.0894027, 0.010978, 0.00820726, 0.0716035
0.0935336, 0.0119026, 0.0116786, 0.111694
0.085917, 0.0116268, 0.0114264, 0.104936
0.113327, 0.0104155, 0.0106735, 0.113347
