alpha, beta, delta, gamma 
0.11291, 0.0116548, 0.0107229, 0.116234
0.0949384, 0.0109872, 0.00986462, 0.104994
0.0947513, 0.010451, 0.0108685, 0.103096
0.133585, 0.0120447, 0.0120366, 0.126998
0.088512, 0.0135173, 0.0158642, 0.103435
0.125298, 0.0111544, 0.0119302, 0.122369
0.125282, 0.0124631, 0.0130635, 0.115055
0.124055, 0.0127422, 0.012397, 0.12157
0.126766, 0.0110686, 0.0131546, 0.11769
0.0983705, 0.0102366, 0.0126774, 0.131608
0.113379, 0.00947206, 0.0131894, 0.107186
0.102502, 0.0113598, 0.0145433, 0.127874
0.0930399, 0.00907287, 0.0112008, 0.117995
0.099875, 0.00830407, 0.0113198, 0.107403
0.11474, 0.0122109, 0.0102281, 0.135137
0.125744, 0.0126638, 0.0112753, 0.121614
0.114264, 0.0106099, 0.0116957, 0.109129
0.0976136, 0.0133215, 0.0122626, 0.12391
0.101375, 0.00760104, 0.0119733, 0.123459
0.0989886, 0.0108324, 0.0110375, 0.0943104
0.0886193, 0.00941475, 0.01109, 0.0939581
0.0820371, 0.0093128, 0.0107326, 0.0854463
0.0703167, 0.0076727, 0.0109119, 0.103549
0.0614203, 0.0082106, 0.0115433, 0.119121
0.05226, 0.00732004, 0.0101827, 0.090786
0.0635434, 0.00589272, 0.00882234, 0.0891199
0.0506881, 0.00921347, 0.00964536, 0.082702
0.0548525, 0.00701765, 0.00936718, 0.0817957
0.0663128, 0.00754729, 0.0108003, 0.097137
0.0536118, 0.00914669, 0.0108653, 0.0862594
0.0792691, 0.00701553, 0.00927552, 0.0946249
0.0688159, 0.0117412, 0.00960372, 0.0711774
0.0961216, 0.00890522, 0.0092414, 0.0768154
0.0888451, 0.00950899, 0.00783398, 0.0700107
0.0860254, 0.00877837, 0.0068444, 0.0723976
0.0649499, 0.010023, 0.00612436, 0.0692109
0.0605542, 0.00774059, 0.00962751, 0.0631372
0.069528, 0.0071259, 0.00854999, 0.0770472
0.069667, 0.00847231, 0.0102079, 0.072821
0.0768703, 0.00819149, 0.00750272, 0.0667119
0.0853925, 0.010624, 0.00957807, 0.0742642
0.110271, 0.0105425, 0.00841901, 0.0871217
0.0895774, 0.0105464, 0.00819101, 0.0726837
0.0913232, 0.0114538, 0.0082704, 0.0645881
0.111115, 0.00998173, 0.00763181, 0.0725953
0.0978672, 0.0103372, 0.00795572, 0.0625922
0.102312, 0.0101019, 0.00887463, 0.0785184
0.0780472, 0.00950962, 0.00858541, 0.0673108
0.0646171, 0.00937527, 0.00628298, 0.0787002
0.0815542, 0.0113133, 0.0094647, 0.0761641
0.090446, 0.0110453, 0.00858473, 0.111467
0.0794448, 0.00885314, 0.00927973, 0.0898211
0.0721047, 0.0103081, 0.00848453, 0.082978
0.0839546, 0.00914596, 0.00942571, 0.0791352
0.0820083, 0.00878799, 0.00829636, 0.0733441
0.0847656, 0.0111449, 0.00850041, 0.0729518
0.0753903, 0.0101593, 0.00801322, 0.0949581
0.0753496, 0.0106719, 0.0101706, 0.0700942
0.0731269, 0.00778479, 0.0087134, 0.0738234
0.0709989, 0.0086957, 0.00773278, 0.0706561
0.0477221, 0.00684597, 0.00885684, 0.0771936
0.0478616, 0.00677561, 0.0100323, 0.0907911
0.0544534, 0.00676914, 0.0100031, 0.0814626
0.0585027, 0.00637944, 0.00905161, 0.0573884
0.0406142, 0.00665319, 0.00967239, 0.104555
0.0439871, 0.00599082, 0.0102794, 0.0961494
0.0383318, 0.00562014, 0.0086575, 0.097781
0.0391103, 0.00466835, 0.00799919, 0.0920393
0.0424314, 0.00694257, 0.00730319, 0.0940208
0.0478835, 0.00612445, 0.00956265, 0.0823074
0.0443785, 0.00585774, 0.00886813, 0.0992581
0.0506234, 0.00569969, 0.0104467, 0.100052
0.052862, 0.00619189, 0.00759904, 0.0922147
0.0634645, 0.00990598, 0.00813011, 0.076995
0.0649352, 0.0083103, 0.0091853, 0.067462
0.0660771, 0.0091155, 0.00735833, 0.0672211
0.0726553, 0.00802289, 0.0067079, 0.0568508
0.0536434, 0.0104678, 0.00634075, 0.0612836
0.0688141, 0.00789039, 0.00661073, 0.0509918
0.0611739, 0.00750534, 0.00779478, 0.0671765
0.063725, 0.00783878, 0.00691595, 0.0639041
0.0566423, 0.00571267, 0.0075762, 0.0727159
0.0537625, 0.00921006, 0.00962776, 0.0838789
0.0653749, 0.00765234, 0.00886803, 0.0879416
0.0680988, 0.00671656, 0.00886179, 0.0742809
0.0651636, 0.00722528, 0.00938531, 0.0977403
0.0740951, 0.00741838, 0.00823266, 0.0660769
0.0357581, 0.00871332, 0.00904275, 0.0927041
0.0538151, 0.00544287, 0.00983902, 0.0901771
0.0541445, 0.00534086, 0.0124493, 0.11322
0.0511501, 0.00698997, 0.0119775, 0.114077
0.0514097, 0.00722019, 0.0110648, 0.104813
0.0665935, 0.00696634, 0.009172, 0.108746
0.0481986, 0.00858063, 0.0115888, 0.124021
0.0667834, 0.0076512, 0.0102616, 0.0991344
0.068433, 0.00986165, 0.00955655, 0.121673
0.076055, 0.00883273, 0.0112026, 0.0909464
0.0977665, 0.00900232, 0.0116586, 0.0845
0.090247, 0.0100991, 0.0112615, 0.0771468
0.0728127, 0.00959868, 0.0106578, 0.107721
0.0756364, 0.0107877, 0.0104914, 0.0741218
0.0841683, 0.0101808, 0.00934905, 0.10289
0.0749143, 0.00927947, 0.0107169, 0.107003
0.0721443, 0.00848521, 0.0120458, 0.115015
0.0669479, 0.00959319, 0.0101299, 0.117093
0.0657422, 0.00924183, 0.0112169, 0.12029
0.0879212, 0.00879929, 0.0115113, 0.138768
0.108375, 0.010874, 0.0121338, 0.107366
0.0913547, 0.0101762, 0.0118239, 0.121401
0.115386, 0.0102098, 0.0106006, 0.120883
0.1084, 0.0107317, 0.0124149, 0.0891289
0.108242, 0.0123347, 0.007838, 0.0968411
0.0994567, 0.0120903, 0.00777415, 0.0864402
0.12187, 0.0123007, 0.00767448, 0.0799527
0.112736, 0.0127381, 0.00794479, 0.091003
0.118395, 0.0134055, 0.00857021, 0.0786209
0.113131, 0.0108363, 0.0100976, 0.10182
0.124078, 0.0134042, 0.0108657, 0.0989801
0.117967, 0.0110032, 0.0120969, 0.107463
0.0872918, 0.0120934, 0.0119802, 0.0979621
0.0857456, 0.012055, 0.0119394, 0.0909888
0.0949184, 0.0123583, 0.0118095, 0.0855198
0.122022, 0.0107801, 0.0115197, 0.110553
0.106561, 0.0121616, 0.0142557, 0.129279
0.0804967, 0.0128344, 0.014772, 0.113729
0.10296, 0.0125483, 0.0130855, 0.109121
0.102284, 0.0123726, 0.00989077, 0.0887912
0.107488, 0.0144479, 0.0102586, 0.0966253
0.10892, 0.0139449, 0.0116205, 0.103921
0.0928608, 0.0122844, 0.00987268, 0.102445
0.0927873, 0.0111562, 0.0115929, 0.0980456
0.0919925, 0.0124298, 0.0109038, 0.0967609
0.101932, 0.011322, 0.0110137, 0.109489
0.0837487, 0.0120658, 0.00973913, 0.0794266
0.0947335, 0.0115268, 0.0112541, 0.0952252
0.102288, 0.0117225, 0.0135258, 0.0819077
0.0894471, 0.0104371, 0.0113075, 0.0979912
0.0944114, 0.0130317, 0.0101181, 0.095488
0.105707, 0.0148319, 0.0103085, 0.149333
0.0923257, 0.0117527, 0.0125018, 0.114879
0.113041, 0.0122451, 0.0113881, 0.108871
0.118736, 0.0114047, 0.0109729, 0.109134
0.100801, 0.0162043, 0.013789, 0.105116
0.105597, 0.0128066, 0.0130057, 0.091703
0.0909629, 0.0116013, 0.0112105, 0.122875
0.0709005, 0.012556, 0.0124551, 0.116272
0.0850004, 0.0110945, 0.00974282, 0.0928426
0.0796731, 0.0126153, 0.0105349, 0.0927252
0.0706927, 0.0102381, 0.0120162, 0.104849
0.0620409, 0.0107382, 0.0124425, 0.110385
0.0787805, 0.0127738, 0.0139291, 0.106749
0.11418, 0.0135114, 0.0115673, 0.105986
0.124402, 0.0132342, 0.00990874, 0.110408
0.10925, 0.0139484, 0.0105896, 0.0780787
0.11056, 0.0137542, 0.0095135, 0.109512
0.100472, 0.0141755, 0.0101638, 0.0958078
0.105669, 0.013147, 0.0140614, 0.0919896
0.0898044, 0.0147014, 0.0124573, 0.115932
0.102086, 0.0134314, 0.0137817, 0.104049
0.0998053, 0.0120297, 0.0134819, 0.146325
0.110473, 0.0113211, 0.0160081, 0.112035
0.0944532, 0.0117098, 0.012764, 0.107524
0.101129, 0.0119882, 0.0134461, 0.120529
0.0836346, 0.0116166, 0.0139346, 0.119787
0.0854368, 0.00876688, 0.0153474, 0.121013
0.0814421, 0.0121942, 0.0129212, 0.127371
0.0736841, 0.00875632, 0.0146693, 0.144609
0.0886835, 0.0110585, 0.0149017, 0.136129
0.107773, 0.0105892, 0.0147877, 0.160945
0.0917992, 0.0110915, 0.0127574, 0.113687
0.0901217, 0.0107968, 0.0138804, 0.139699
0.0995794, 0.0111888, 0.0157329, 0.110051
0.0960059, 0.00935049, 0.0112794, 0.126411
0.0816099, 0.00978391, 0.0124755, 0.142519
0.0605215, 0.00986393, 0.0137339, 0.126687
0.0557603, 0.0123183, 0.0112315, 0.0928448
0.0851519, 0.00918226, 0.0109634, 0.120642
0.0603027, 0.00906432, 0.011138, 0.0994355
0.0806245, 0.00769534, 0.0135958, 0.110364
0.0670038, 0.00852203, 0.0109741, 0.12342
0.0785481, 0.00843509, 0.0122596, 0.0911457
0.0878688, 0.0101904, 0.0121791, 0.100344
0.0842328, 0.0104896, 0.012509, 0.0810147
0.0767694, 0.00988885, 0.00985848, 0.0810404
0.0769568, 0.0115126, 0.0105752, 0.0873121
0.0834185, 0.0114115, 0.0111836, 0.0977682
0.0680874, 0.0092812, 0.0113635, 0.0948773
0.0801553, 0.00963353, 0.00980943, 0.104835
0.0980181, 0.0102012, 0.0120762, 0.103025
0.0679632, 0.0100412, 0.0113757, 0.0997534
0.0838216, 0.00793199, 0.0101904, 0.0968251
0.0957521, 0.00986657, 0.00962688, 0.0998372
0.0866724, 0.0105496, 0.00968542, 0.0619722
0.108036, 0.0127301, 0.00772311, 0.0737078
0.1037, 0.0122311, 0.00779989, 0.077886
0.0750536, 0.0122886, 0.00798731, 0.0974956
0.0915153, 0.0101543, 0.00937565, 0.0758685
0.0879352, 0.0120344, 0.00937417, 0.071357
0.0917065, 0.0113656, 0.00773597, 0.0673094
0.0875988, 0.0125396, 0.00812992, 0.0844955
0.0877149, 0.0125465, 0.0101201, 0.0784561
0.0897004, 0.00905516, 0.00960951, 0.085237
0.0782449, 0.0103149, 0.0101878, 0.0973529
0.0692679, 0.0110017, 0.00954259, 0.0896981
0.0603138, 0.0106934, 0.0107189, 0.104313
0.0825467, 0.00752607, 0.0121873, 0.0976573
0.0928164, 0.0106196, 0.00928256, 0.0754917
0.0960742, 0.0113235, 0.00860583, 0.0727605
0.0763189, 0.0107812, 0.00862538, 0.0830978
0.0802754, 0.00888367, 0.00783401, 0.0682218
0.0691143, 0.0103373, 0.00891561, 0.0854335
0.0819259, 0.00908424, 0.00771081, 0.102807
0.0676708, 0.0123407, 0.0078752, 0.0650574
0.0779038, 0.0123003, 0.0100509, 0.0841497
0.0638247, 0.00970434, 0.00891486, 0.0783956
0.0728812, 0.00721798, 0.0100944, 0.0814663
0.0562524, 0.00587145, 0.0103586, 0.0888358
0.0441041, 0.00862099, 0.00761381, 0.0840054
0.045047, 0.006404, 0.00800008, 0.104885
0.0515503, 0.006255, 0.0107311, 0.0987716
0.040655, 0.00655785, 0.00919315, 0.117206
0.0419579, 0.00622283, 0.0121498, 0.123842
0.0404533, 0.00575351, 0.0114556, 0.131039
0.04618, 0.006396, 0.0143999, 0.111219
0.0566532, 0.00642006, 0.0107248, 0.117652
0.0470578, 0.00678369, 0.00814297, 0.0891059
0.057389, 0.00689015, 0.0107335, 0.0865787
0.0498395, 0.0067699, 0.00764375, 0.0876019
0.0434446, 0.00692983, 0.0077847, 0.0761311
0.0399955, 0.00614825, 0.00799743, 0.0805607
0.0435434, 0.00767371, 0.00917768, 0.0654471
0.0767148, 0.00675808, 0.00753846, 0.0694798
0.0761207, 0.00823375, 0.00831607, 0.0766926
0.0811529, 0.00741628, 0.00818085, 0.0863108
0.08676, 0.00991981, 0.00797343, 0.0781382
0.0901889, 0.00697417, 0.0082025, 0.0774323
0.0694447, 0.00787757, 0.00668667, 0.051406
0.0713347, 0.00829026, 0.00728449, 0.0824215
0.0635775, 0.00621911, 0.00679658, 0.0807007
0.051945, 0.0072033, 0.00717001, 0.0820479
0.055426, 0.00514705, 0.00754495, 0.0733441
0.0508808, 0.00688722, 0.00804975, 0.0753643
0.0477125, 0.00938562, 0.00661984, 0.0764432
0.0515344, 0.00662273, 0.00720948, 0.0677943
0.0467517, 0.0065154, 0.00909463, 0.0666909
0.0407916, 0.00562604, 0.00725745, 0.0741616
0.0409195, 0.00638479, 0.00865893, 0.0509459
0.0461999, 0.00789686, 0.00755538, 0.0637293
0.0414505, 0.00771832, 0.00941574, 0.0653383
0.0485675, 0.00593005, 0.00790668, 0.0687347
0.0404356, 0.00815422, 0.00930322, 0.0784647
0.0542445, 0.00757972, 0.00654323, 0.0648794
0.0724397, 0.00886816, 0.00813452, 0.0661434
0.0785654, 0.00918695, 0.00863632, 0.0841271
0.0898767, 0.0086928, 0.00980352, 0.0745382
0.0652931, 0.00957181, 0.0092533, 0.0818979
0.0706558, 0.00694941, 0.00827447, 0.0829467
0.0655403, 0.00678778, 0.00834821, 0.0853281
0.0740137, 0.00727773, 0.0088276, 0.0666236
0.0724526, 0.00778793, 0.00851308, 0.088125
0.0879617, 0.00835671, 0.00833484, 0.0764185
0.0631743, 0.00937298, 0.00735221, 0.0845625
0.0884019, 0.0100269, 0.00832555, 0.0941732
0.0760853, 0.00953947, 0.00961856, 0.0888735
0.0797146, 0.0100984, 0.00992863, 0.0833882
0.0863875, 0.0118624, 0.009269, 0.104806
0.107809, 0.0146459, 0.0084873, 0.0886222
0.0994398, 0.0135991, 0.00882912, 0.0722338
0.101304, 0.0123008, 0.00902206, 0.066541
0.11009, 0.0137504, 0.00850745, 0.074506
0.111741, 0.0124184, 0.00973361, 0.0681943
0.111057, 0.011908, 0.0108894, 0.0838468
0.0937624, 0.0120293, 0.0126743, 0.10944
0.0985257, 0.0104683, 0.0109708, 0.110628
0.0814023, 0.0103228, 0.0107804, 0.103342
0.0843611, 0.011213, 0.0111937, 0.0835623
0.0919251, 0.0109311, 0.0119595, 0.0937966
0.0981167, 0.013699, 0.00947666, 0.0944444
0.117911, 0.0123674, 0.00940623, 0.0931295
0.0992242, 0.0150507, 0.00631945, 0.0865858
0.104668, 0.0160369, 0.00938182, 0.0835732
0.123298, 0.0163184, 0.00865161, 0.0764054
0.124093, 0.0150618, 0.00951181, 0.0889475
0.141239, 0.0135096, 0.00996172, 0.102625
0.133329, 0.0161684, 0.00960117, 0.0898698
0.149359, 0.014831, 0.00926782, 0.106928
0.134901, 0.0155053, 0.011119, 0.101916
0.173597, 0.0167548, 0.0112056, 0.109521
0.17943, 0.01912, 0.0123365, 0.0867325
0.152058, 0.0190528, 0.0119339, 0.13453
0.158834, 0.0164387, 0.0125501, 0.13182
0.132475, 0.0131973, 0.0157545, 0.143784
0.128519, 0.0140603, 0.0122663, 0.133914
0.132645, 0.0146823, 0.0119947, 0.130108
0.114918, 0.0150458, 0.0121495, 0.114549
0.122048, 0.0148824, 0.0118696, 0.13507
0.127791, 0.014442, 0.0110641, 0.127297
0.145113, 0.0157901, 0.0107746, 0.0926855
0.161798, 0.0169672, 0.00985054, 0.0942247
0.160447, 0.0169274, 0.0114884, 0.0839302
0.158402, 0.0178053, 0.00806472, 0.106662
0.178419, 0.0166994, 0.00979678, 0.100664
0.144929, 0.0185622, 0.0121634, 0.108128
0.185407, 0.0186198, 0.0106121, 0.10225
0.141258, 0.0170763, 0.0103949, 0.102234
0.130779, 0.0164696, 0.0112634, 0.0949473
0.148515, 0.016642, 0.0102661, 0.105788
0.131197, 0.0166565, 0.0125629, 0.118104
0.113043, 0.0170207, 0.011986, 0.128023
0.121168, 0.0153619, 0.0110899, 0.103636
0.131758, 0.0168062, 0.00933283, 0.0886341
0.14911, 0.0178675, 0.0071145, 0.0702412
0.151809, 0.017058, 0.00827072, 0.0882568
0.158277, 0.018165, 0.00806904, 0.0844593
0.151263, 0.0164396, 0.00869418, 0.0977889
0.148268, 0.0145727, 0.00917521, 0.0941382
0.120345, 0.01482, 0.0082464, 0.0906522
0.115116, 0.0137333, 0.0119221, 0.0847408
0.11496, 0.0121086, 0.0114667, 0.115057
0.130076, 0.0114575, 0.0110828, 0.103186
0.108019, 0.0127261, 0.00999636, 0.115768
0.109395, 0.0112698, 0.0100393, 0.102275
0.109506, 0.00979122, 0.0105977, 0.101264
0.116187, 0.0111738, 0.0119593, 0.118414
0.0987907, 0.0104194, 0.013753, 0.121154
0.112946, 0.0104267, 0.0129866, 0.176873
0.0895364, 0.0139255, 0.0148606, 0.126884
0.12011, 0.0140061, 0.0134899, 0.122959
0.130752, 0.0158527, 0.0115908, 0.112635
0.136887, 0.0146071, 0.00968783, 0.107478
0.133259, 0.0131641, 0.0124443, 0.0927341
0.13738, 0.0139301, 0.0101454, 0.105677
0.116307, 0.0142971, 0.0100245, 0.10055
0.119072, 0.0148004, 0.00942154, 0.10899
0.112532, 0.0149924, 0.0107321, 0.0729979
0.10296, 0.0151629, 0.0094906, 0.115291
0.112068, 0.0120541, 0.0123432, 0.104318
0.10222, 0.01127, 0.0113037, 0.130346
0.103607, 0.0104177, 0.0108397, 0.100012
0.0900025, 0.0119556, 0.0116334, 0.0916952
0.120561, 0.0109518, 0.0117224, 0.106446
0.113694, 0.0129992, 0.010998, 0.125917
0.104782, 0.0118068, 0.0107644, 0.102153
0.117785, 0.00993652, 0.0112387, 0.127399
0.0903134, 0.0123134, 0.0134795, 0.12919
0.101113, 0.00996802, 0.0155241, 0.133764
0.107645, 0.00987343, 0.0154624, 0.143226
0.0879209, 0.0112662, 0.0167177, 0.173073
0.0839308, 0.0107708, 0.0151025, 0.142016
0.0910363, 0.0104007, 0.0175039, 0.134103
0.0886746, 0.0113926, 0.0154847, 0.179892
0.0748635, 0.0115846, 0.0160687, 0.180309
0.0766766, 0.0123297, 0.0146195, 0.165001
0.0772563, 0.0092712, 0.0159424, 0.185007
0.0749113, 0.00954078, 0.016253, 0.155264
