alpha, beta, delta, gamma 
0.00214304, 3.4057e-05, 7.53116e-05, 0.00136445
0.0018257, 0.000659411, 0.00129675, 0.00567418
0.00207018, 0.000867105, 0.00135978, 0.00742171
0.0110428, 0.00166378, 0.0022262, 0.0144299
0.00846539, 0.00271505, 0.00264782, 0.02122
0.0174153, 0.00331318, 0.00417148, 0.0306429
0.0166866, 0.00370991, 0.0032256, 0.0318174
0.0231951, 0.00399108, 0.00439753, 0.034896
0.0194528, 0.00504883, 0.00509409, 0.0433739
0.0268453, 0.00466457, 0.0055507, 0.0361224
0.0193124, 0.005186, 0.00472678, 0.0585348
0.0218843, 0.00407901, 0.00662256, 0.0537855
0.0186676, 0.00277099, 0.00682225, 0.0610544
0.0137605, 0.00378901, 0.00710268, 0.0601317
0.0185448, 0.00315147, 0.00553376, 0.0566673
0.0183437, 0.00493027, 0.00757074, 0.0548335
0.0329103, 0.00585512, 0.0073096, 0.0576355
0.0558494, 0.00443297, 0.00636926, 0.0649549
0.0396697, 0.00514566, 0.00652245, 0.0507153
0.0452577, 0.00630986, 0.00756056, 0.063593
0.0475612, 0.0053445, 0.0060305, 0.0572897
0.0548397, 0.00587793, 0.00786375, 0.0642545
0.0561901, 0.00754431, 0.00776689, 0.0669181
0.0658916, 0.00881137, 0.00720419, 0.0739531
0.0505254, 0.00823497, 0.00593598, 0.0548508
0.0622457, 0.00696993, 0.00580136, 0.0646758
0.0686373, 0.00791001, 0.00547777, 0.0527027
0.0729537, 0.00904631, 0.00665365, 0.0533807
0.0745455, 0.00828347, 0.00622125, 0.0601041
0.0737258, 0.00785412, 0.00610423, 0.054793
0.049237, 0.00799565, 0.00530172, 0.0603706
0.0585883, 0.00623374, 0.00711965, 0.0585589
0.0404294, 0.00660151, 0.0086235, 0.0839161
0.0476443, 0.00806585, 0.00941156, 0.0743458
0.0532421, 0.00747809, 0.00969253, 0.0758432
0.0668541, 0.00746338, 0.00828466, 0.0855744
0.0716682, 0.0100772, 0.00772667, 0.0739816
0.0705299, 0.00908128, 0.00904286, 0.0688257
0.0669959, 0.00889389, 0.0101321, 0.0675488
0.0855936, 0.00870303, 0.00961658, 0.0749064
0.10176, 0.0109191, 0.00599445, 0.0799791
0.0972841, 0.0106315, 0.00740409, 0.062062
0.0782885, 0.008809, 0.00563304, 0.0782449
0.0595255, 0.0106736, 0.00732642, 0.055899
0.0845008, 0.00989223, 0.00661902, 0.051575
0.0823905, 0.0102606, 0.00624991, 0.0528589
0.0812391, 0.00884605, 0.00536053, 0.0530026
0.0867428, 0.0125395, 0.00729411, 0.0611314
0.0875209, 0.0116898, 0.0065416, 0.0659073
0.0835964, 0.0121871, 0.00759903, 0.0761474
0.0679229, 0.0122658, 0.00647476, 0.0516075
0.0776993, 0.0101799, 0.00903114, 0.0572936
0.0653284, 0.00804177, 0.00668595, 0.0647769
0.0597165, 0.00934861, 0.00693449, 0.0610251
0.0720521, 0.00960634, 0.00957099, 0.0808902
0.0784037, 0.00909036, 0.00915014, 0.0923508
0.0737161, 0.010716, 0.00827006, 0.0942819
0.0878995, 0.0104574, 0.00849395, 0.095076
0.0996818, 0.00968573, 0.00808901, 0.074973
0.082636, 0.0103525, 0.00893031, 0.072224
0.0799062, 0.0131059, 0.00819721, 0.0798025
0.0777049, 0.00965991, 0.0114423, 0.0818408
0.058131, 0.00924156, 0.0100404, 0.0667143
0.0722542, 0.00826072, 0.00987462, 0.0946909
0.0722748, 0.00809816, 0.0092009, 0.0834162
0.071253, 0.0101057, 0.00825995, 0.0730847
0.0792544, 0.00915547, 0.00626063, 0.0555014
0.0867735, 0.0109887, 0.00720817, 0.0671624
0.080447, 0.00754416, 0.0110649, 0.0716185
0.0679361, 0.0105065, 0.00840708, 0.0841629
0.0931759, 0.00741771, 0.0103464, 0.0764052
0.0546061, 0.0071813, 0.0121535, 0.107013
0.0607202, 0.00772216, 0.0118715, 0.124721
0.0649777, 0.00957051, 0.0142081, 0.114352
0.0595988, 0.00823168, 0.0114872, 0.130808
0.0628258, 0.00877227, 0.0102102, 0.109728
0.0674149, 0.00852997, 0.011368, 0.129241
0.0804628, 0.00815227, 0.0113782, 0.0993864
0.068366, 0.00989314, 0.0102129, 0.103868
0.0734721, 0.0073765, 0.0101597, 0.0861545
0.0884785, 0.0100205, 0.00902574, 0.0971062
0.0846008, 0.0112434, 0.0123144, 0.102556
0.0789739, 0.00896772, 0.0113989, 0.100845
0.0775961, 0.00949571, 0.0140792, 0.0944604
0.0724878, 0.00870379, 0.0132101, 0.111401
0.0602674, 0.00788401, 0.0107668, 0.115914
0.0829084, 0.00843418, 0.010321, 0.114738
0.0821422, 0.0114117, 0.00922971, 0.100402
0.0879132, 0.00882038, 0.0095068, 0.0861072
0.0860352, 0.0102013, 0.00872606, 0.109723
0.0745784, 0.00819148, 0.00987273, 0.113597
0.0719589, 0.00983407, 0.0116422, 0.0943967
0.0590469, 0.008178, 0.0127137, 0.0932481
0.0687716, 0.00935012, 0.0103038, 0.0964394
0.0727177, 0.0098352, 0.0118982, 0.093209
0.0678751, 0.0114118, 0.0116551, 0.0772631
0.0984056, 0.0102294, 0.0105799, 0.0966018
0.0875192, 0.00913526, 0.0091658, 0.0995831
0.0704295, 0.00903756, 0.0107852, 0.105733
0.103286, 0.0133028, 0.00942775, 0.109881
0.102702, 0.0135014, 0.0115899, 0.0867425
0.102069, 0.0132899, 0.00899966, 0.103314
0.110067, 0.0132937, 0.0100631, 0.113937
0.101148, 0.0122784, 0.012997, 0.0925447
0.0995022, 0.0121586, 0.0101506, 0.0812141
0.120197, 0.0139091, 0.0111296, 0.100768
0.105532, 0.0132273, 0.0108986, 0.130207
0.113699, 0.0141972, 0.0104483, 0.117412
0.114129, 0.0161581, 0.0106495, 0.102538
0.108182, 0.0165666, 0.0102889, 0.100007
0.133257, 0.0135601, 0.0111325, 0.102949
0.166521, 0.0150371, 0.0123016, 0.121703
0.133051, 0.016179, 0.0132393, 0.118839
0.144434, 0.0159262, 0.0116675, 0.122806
0.12266, 0.0169661, 0.0166865, 0.142899
0.135535, 0.0172905, 0.0126364, 0.118134
0.126102, 0.0162005, 0.0172709, 0.12296
0.131234, 0.0141397, 0.0121831, 0.128874
0.120291, 0.0161763, 0.014625, 0.151337
0.120938, 0.0161311, 0.0147346, 0.158214
0.114041, 0.0160526, 0.0144436, 0.137
0.126051, 0.0176635, 0.0138697, 0.133326
0.131766, 0.0144868, 0.0136593, 0.129596
0.129407, 0.0131304, 0.0162563, 0.114556
0.125307, 0.0162187, 0.0158165, 0.118692
0.131697, 0.0149151, 0.0134437, 0.130482
0.155512, 0.0142412, 0.0134014, 0.124696
0.140227, 0.0146317, 0.0114677, 0.100477
0.131508, 0.0138643, 0.0123406, 0.124534
0.113646, 0.0146377, 0.012086, 0.108373
0.118504, 0.0142897, 0.0136922, 0.110608
0.117287, 0.0127004, 0.0128691, 0.10426
0.117044, 0.0146154, 0.0105597, 0.120868
0.153849, 0.0156952, 0.0112866, 0.0988915
0.150781, 0.0181037, 0.0103787, 0.084751
0.130114, 0.013963, 0.00766747, 0.0963007
0.138419, 0.018544, 0.0096261, 0.109701
0.117873, 0.0133801, 0.0105571, 0.0993163
0.13035, 0.0168572, 0.0104786, 0.0997527
0.118716, 0.0133766, 0.0104958, 0.105529
0.135644, 0.0142688, 0.0114381, 0.101337
0.123026, 0.0156828, 0.0110239, 0.111023
0.111243, 0.0120989, 0.0122361, 0.0966703
0.112795, 0.013126, 0.0101969, 0.0977475
0.0927809, 0.014467, 0.0097607, 0.114049
0.124306, 0.0115384, 0.00945239, 0.119296
0.0962578, 0.0108964, 0.00874233, 0.092904
0.0975422, 0.0117728, 0.0106134, 0.0869933
0.10435, 0.00968339, 0.00921058, 0.112355
0.0921572, 0.0096904, 0.0105177, 0.0986387
0.101165, 0.0090344, 0.0112305, 0.0855227
0.0869954, 0.0089569, 0.0124943, 0.102387
0.10419, 0.00882766, 0.0111455, 0.0970811
0.107337, 0.0123348, 0.00860926, 0.103278
0.126933, 0.011031, 0.00985691, 0.103982
