alpha, beta, delta, gamma 
0.00566554, 0.000124894, 0.000419356, 3.34868e-05
0.000523642, 0.000502682, 0.00100055, 0.00769814
0.000805508, 0.00167226, 0.0011436, 0.00462293
0.00556994, 0.00206895, 0.00237283, 0.00575846
0.00526594, 0.00267465, 0.00299107, 0.0202478
0.0130501, 0.00352716, 0.00388796, 0.0145081
0.0123141, 0.00439403, 0.00317262, 0.0234862
0.016633, 0.00399564, 0.00237518, 0.0211838
0.0243804, 0.00427168, 0.0026123, 0.0190125
0.0243019, 0.00481135, 0.0059789, 0.0296426
0.0299776, 0.00445537, 0.00499601, 0.0446485
0.0317136, 0.00688923, 0.00507782, 0.0444784
0.0341097, 0.00624587, 0.00548336, 0.0454062
0.0503676, 0.00614914, 0.00517807, 0.047574
0.0503474, 0.00543092, 0.00733959, 0.0659769
0.0544509, 0.00682663, 0.00611575, 0.0576092
0.0488689, 0.00706269, 0.00672006, 0.0567655
0.0585531, 0.00698565, 0.00571564, 0.0473886
0.0709305, 0.00797269, 0.00566346, 0.0561334
0.0537866, 0.00840241, 0.00745098, 0.0612521
0.0577685, 0.00803749, 0.00719095, 0.0582772
0.0605613, 0.00864253, 0.00779812, 0.0723688
0.0587503, 0.00660794, 0.00754575, 0.0606915
0.0476523, 0.00656661, 0.00905266, 0.0701961
0.0435509, 0.00565328, 0.00966864, 0.0920985
0.0306278, 0.0047811, 0.0086353, 0.0754389
0.0507464, 0.00649632, 0.0106212, 0.101571
0.0543331, 0.00677128, 0.00869637, 0.0762077
0.0502678, 0.00835172, 0.00904845, 0.0782966
0.0525228, 0.00928324, 0.0107866, 0.100975
0.0735954, 0.0089945, 0.00984125, 0.085945
0.0669682, 0.0103539, 0.00847814, 0.0853034
0.0816939, 0.0108857, 0.00838475, 0.0829275
0.0863321, 0.0109691, 0.00867312, 0.0920085
0.0850626, 0.0100097, 0.00888499, 0.0813935
0.0614032, 0.00956031, 0.00896095, 0.0682124
0.089861, 0.00904582, 0.00836032, 0.0712702
0.104089, 0.00984699, 0.00835224, 0.0609569
0.125435, 0.0108249, 0.00674251, 0.0545348
0.0962617, 0.0154754, 0.00686373, 0.0452127
0.107524, 0.0128455, 0.00753829, 0.0520286
0.102718, 0.0126976, 0.00754404, 0.0668115
0.100279, 0.0112679, 0.00758546, 0.076767
0.109545, 0.0125542, 0.00663017, 0.0697727
0.105091, 0.0122733, 0.00609593, 0.0756383
0.0924709, 0.013829, 0.00672574, 0.0643494
0.120727, 0.00982455, 0.00699469, 0.0664663
0.0929979, 0.0100994, 0.00677744, 0.0698399
0.0984759, 0.0103288, 0.00759917, 0.0732583
0.073149, 0.00807805, 0.00853836, 0.0750439
