alpha, beta, delta, gamma 
0.0482801, 0.00915392, 0.0146846, 0.138936
0.0582632, 0.00885271, 0.0110075, 0.126118
0.0734971, 0.00850292, 0.0107465, 0.104474
0.0699337, 0.00880308, 0.0115082, 0.11679
0.0660095, 0.00917835, 0.0129057, 0.115844
0.0792098, 0.00765702, 0.0109069, 0.111382
0.0787148, 0.00888862, 0.0109539, 0.114798
0.0766544, 0.00903425, 0.0131423, 0.114232
0.0831567, 0.00882656, 0.0134375, 0.120392
0.0893232, 0.00902787, 0.013912, 0.1056
0.104935, 0.0125127, 0.0133931, 0.120387
0.0857648, 0.0100398, 0.0116461, 0.118376
0.073928, 0.00976838, 0.0134243, 0.125997
0.0888861, 0.010029, 0.0134138, 0.117818
0.0667923, 0.00907624, 0.0150976, 0.112881
0.0720745, 0.00882167, 0.0140101, 0.125771
0.0657835, 0.0073878, 0.0140029, 0.126208
0.0641677, 0.0073348, 0.0106721, 0.105743
0.0557199, 0.00667896, 0.0126323, 0.128144
0.0746761, 0.00860728, 0.00978584, 0.102282
0.0978284, 0.00903242, 0.0102527, 0.104567
0.0715451, 0.0107638, 0.00944219, 0.0894102
0.0799978, 0.00716628, 0.011634, 0.0979911
0.0468738, 0.00840426, 0.0109618, 0.103615
0.0558458, 0.00961713, 0.0111207, 0.0962103
0.0718714, 0.00772946, 0.0121801, 0.10856
0.0532481, 0.00611123, 0.0116067, 0.119074
0.0508557, 0.00653476, 0.0135575, 0.128778
0.0669217, 0.00624068, 0.0135625, 0.135018
0.0508166, 0.0057745, 0.0125525, 0.122628
0.0581867, 0.00748112, 0.0120237, 0.112927
0.0576661, 0.00853189, 0.0124283, 0.103102
0.0641204, 0.00778189, 0.0119962, 0.090271
0.0651167, 0.00851601, 0.0104166, 0.120539
0.0669162, 0.00906329, 0.0104449, 0.121814
0.0750083, 0.00828988, 0.0124861, 0.117735
0.0688083, 0.0103243, 0.0120353, 0.142525
0.0725433, 0.00886975, 0.0137075, 0.148582
0.0706496, 0.00957683, 0.0151032, 0.143988
0.0689185, 0.00818207, 0.0117186, 0.120952
0.0791987, 0.0104448, 0.0119562, 0.139066
0.0832634, 0.0100684, 0.0120366, 0.129793
0.0913699, 0.0105193, 0.0120976, 0.119571
0.0892196, 0.0118103, 0.0127145, 0.12426
0.0952919, 0.0107634, 0.0115395, 0.109173
0.111602, 0.00989957, 0.0105514, 0.110938
0.0850294, 0.012913, 0.0102075, 0.0996346
0.107221, 0.0100323, 0.0105281, 0.130223
0.101334, 0.0122429, 0.0084821, 0.0780086
0.120856, 0.0111526, 0.00858725, 0.0926621
0.119671, 0.0128057, 0.00887956, 0.121473
0.126865, 0.012686, 0.0110093, 0.105408
0.0923097, 0.01399, 0.0111025, 0.113853
0.0929524, 0.0139335, 0.0122045, 0.128914
0.124494, 0.0123695, 0.0138512, 0.122049
0.0896736, 0.0120929, 0.0141292, 0.127989
0.11281, 0.0116356, 0.0141837, 0.138055
0.0965817, 0.0117323, 0.0123823, 0.130742
0.12763, 0.0126852, 0.0134496, 0.146338
0.123918, 0.0130342, 0.0116449, 0.139907
0.108928, 0.01515, 0.0115444, 0.103445
0.117264, 0.0121798, 0.0115671, 0.1173
0.114221, 0.0104931, 0.0124646, 0.128218
0.120407, 0.0122164, 0.0142098, 0.140483
0.126575, 0.0125086, 0.0159995, 0.149343
0.0972728, 0.0127911, 0.0151162, 0.165478
0.141371, 0.0151391, 0.0161515, 0.12853
0.114329, 0.0154393, 0.0159102, 0.170317
0.117388, 0.0121138, 0.0159716, 0.167938
