alpha, beta, delta, gamma 
0.0927396, 0.0142498, 0.0131234, 0.0790403
0.114141, 0.0154645, 0.0116189, 0.10372
0.103394, 0.013799, 0.0109184, 0.103284
0.125959, 0.0121308, 0.00925633, 0.0717202
0.119169, 0.0150009, 0.00894685, 0.093572
0.109568, 0.0135037, 0.00960733, 0.0908783
0.113939, 0.0146702, 0.0101522, 0.0847782
0.106348, 0.0150628, 0.00981911, 0.102734
0.115448, 0.0122431, 0.0100742, 0.0863749
0.110392, 0.0113597, 0.00956225, 0.0912339
0.11235, 0.0115535, 0.00853724, 0.104536
0.112685, 0.0125651, 0.00968981, 0.0813684
0.11768, 0.0150694, 0.0118818, 0.097739
0.0963026, 0.0155596, 0.00908088, 0.0967925
0.100829, 0.013529, 0.0110287, 0.0852394
0.098462, 0.0138933, 0.00826211, 0.0865829
0.112747, 0.0145508, 0.00864037, 0.0878913
0.100104, 0.0127961, 0.0113359, 0.0900218
0.104615, 0.00993246, 0.0101226, 0.108102
0.0904708, 0.00999544, 0.0110752, 0.108965
0.0724977, 0.00930659, 0.0109149, 0.100066
0.0821008, 0.00932211, 0.00955761, 0.103778
0.0747527, 0.00736547, 0.0115234, 0.106858
0.0748075, 0.0109968, 0.0134072, 0.0911409
0.058158, 0.00936287, 0.0121429, 0.0986843
0.0622587, 0.00733807, 0.0136921, 0.101238
0.0597562, 0.00787049, 0.00996559, 0.0858536
0.0500335, 0.00815215, 0.0102657, 0.0966724
0.0846904, 0.00787713, 0.014488, 0.103918
0.0538418, 0.00649118, 0.0126412, 0.111376
0.0623389, 0.00737783, 0.0145181, 0.13225
0.062424, 0.00899196, 0.0138615, 0.117179
0.0827531, 0.00958947, 0.0136039, 0.124621
0.0784676, 0.0098743, 0.0110125, 0.128768
0.0798182, 0.0100181, 0.0119704, 0.106879
0.0855152, 0.00827422, 0.0111994, 0.116289
0.0785923, 0.0131478, 0.0112954, 0.120944
0.0992091, 0.010235, 0.0123555, 0.101124
0.0955802, 0.00988959, 0.0115866, 0.104255
0.0835329, 0.011772, 0.0105224, 0.105998
0.0881684, 0.0105241, 0.013342, 0.130527
0.0804356, 0.00980627, 0.0139637, 0.13255
0.0991899, 0.011717, 0.0140355, 0.149107
0.0932259, 0.0122192, 0.0133003, 0.119113
0.0924299, 0.00903611, 0.0109264, 0.142977
0.0772961, 0.0122069, 0.0134083, 0.127713
0.0771152, 0.00933803, 0.0123385, 0.126337
0.0761076, 0.0104747, 0.0110021, 0.109692
0.0865578, 0.0108805, 0.00950939, 0.102374
0.0770077, 0.0129567, 0.00972432, 0.109654
0.100836, 0.00956846, 0.0120705, 0.087534
0.0957747, 0.0103897, 0.0105836, 0.107448
0.0964866, 0.0117324, 0.0138627, 0.0936695
0.102357, 0.0143392, 0.0134034, 0.0845037
0.0901264, 0.0140241, 0.0138275, 0.0912082
0.105432, 0.0123953, 0.0132419, 0.0984654
0.0872121, 0.0111609, 0.0120819, 0.086577
0.0994964, 0.0125363, 0.00889418, 0.0858583
0.0982572, 0.0126497, 0.00916169, 0.094062
0.121545, 0.0111479, 0.0114255, 0.0918147
0.134477, 0.0140274, 0.0104032, 0.083548
0.116821, 0.0185834, 0.00840552, 0.110117
0.12865, 0.0136526, 0.00950041, 0.085617
0.119729, 0.0157392, 0.00964129, 0.10013
0.128197, 0.0147369, 0.0105906, 0.0931391
0.141712, 0.014086, 0.0115564, 0.0960358
0.142597, 0.0128789, 0.00815902, 0.0938462
0.149048, 0.0148363, 0.00953846, 0.0929736
0.13537, 0.0164428, 0.00900907, 0.0839343
0.118996, 0.0146945, 0.01078, 0.087692
0.139748, 0.0150006, 0.0108147, 0.0919407
0.166098, 0.0153117, 0.0120851, 0.0970315
0.143064, 0.0167764, 0.00986363, 0.085596
0.141443, 0.0145631, 0.0086409, 0.0835219
0.149444, 0.012881, 0.00958262, 0.0889496
0.119556, 0.0144643, 0.0110216, 0.0979602
0.114044, 0.0134424, 0.00959449, 0.0891429
0.114148, 0.0124716, 0.00837933, 0.0824453
0.116659, 0.0137145, 0.00793902, 0.0806746
0.132106, 0.0142178, 0.00724089, 0.0566238
0.125413, 0.0137615, 0.00813636, 0.0778191
0.132568, 0.0159884, 0.00970144, 0.0949228
0.128321, 0.0161817, 0.00824743, 0.084225
0.137127, 0.0161117, 0.00895107, 0.0938021
0.140312, 0.0125912, 0.00936653, 0.0927414
0.123274, 0.0125585, 0.0103701, 0.108171
0.10563, 0.0111069, 0.0136344, 0.0903088
0.10497, 0.0123119, 0.0116215, 0.116293
0.114248, 0.0117726, 0.0112134, 0.0985518
0.103788, 0.0123247, 0.00972398, 0.0896311
0.0925707, 0.0106385, 0.0110823, 0.0698453
0.0939491, 0.0107206, 0.00885156, 0.074531
0.0776888, 0.0126519, 0.0077967, 0.0977303
0.0837899, 0.0090784, 0.00859548, 0.0725353
0.0806256, 0.0117581, 0.0090333, 0.0887458
0.0923398, 0.0100812, 0.00842787, 0.0724285
0.0712296, 0.0115703, 0.00972804, 0.0864319
0.0957536, 0.0104292, 0.0101842, 0.0791074
0.0828886, 0.00949402, 0.0108858, 0.0779116
0.0957464, 0.00949835, 0.0102216, 0.0960316
0.0777394, 0.0104434, 0.0100006, 0.112513
0.0839678, 0.00982196, 0.0112772, 0.106835
0.061579, 0.0081873, 0.0114141, 0.0968554
0.0633284, 0.00882975, 0.012312, 0.109604
0.0807806, 0.00949463, 0.0098775, 0.0947401
0.0916853, 0.00988673, 0.0100273, 0.0992267
0.0732883, 0.00987634, 0.00834856, 0.10531
0.0891679, 0.00928146, 0.0100861, 0.0893265
0.0737487, 0.0100125, 0.00942591, 0.0864675
0.0809877, 0.0104116, 0.0129354, 0.0954051
0.100662, 0.0106397, 0.00937363, 0.0969698
0.0997168, 0.0100216, 0.0079046, 0.0844096
0.104041, 0.0113323, 0.0111174, 0.0989271
0.0963413, 0.00969258, 0.0102449, 0.0933513
0.106348, 0.0110518, 0.00954971, 0.0848193
0.114841, 0.0112955, 0.0102644, 0.0973242
0.116914, 0.0122434, 0.0114364, 0.0761415
0.115404, 0.0127831, 0.00875195, 0.0700714
0.128839, 0.0143705, 0.00872748, 0.0785024
0.132333, 0.0134663, 0.00765983, 0.0997876
0.118254, 0.0162983, 0.00794985, 0.0792258
0.117613, 0.0118012, 0.010384, 0.0906987
0.118365, 0.0123406, 0.0103901, 0.0823816
0.0954987, 0.0108956, 0.0129067, 0.106377
0.0990055, 0.0108832, 0.0133743, 0.136615
0.0958548, 0.00921251, 0.0152166, 0.118617
0.0798377, 0.010831, 0.0125755, 0.130614
0.0824361, 0.0115615, 0.0140486, 0.120147
0.0919897, 0.00938537, 0.0143606, 0.122834
0.103804, 0.0125883, 0.0133706, 0.126215
0.109569, 0.0132434, 0.012471, 0.107664
0.118264, 0.0133074, 0.0129972, 0.115535
0.103773, 0.0140233, 0.0130307, 0.116415
0.102593, 0.0125829, 0.0122438, 0.110402
0.106136, 0.0131409, 0.0143227, 0.114207
0.0953461, 0.0130098, 0.0152124, 0.120713
0.101688, 0.0106813, 0.0144, 0.113701
0.0794761, 0.0106445, 0.0130432, 0.110344
0.0757661, 0.0102456, 0.0129849, 0.121457
0.0964493, 0.0105205, 0.0128085, 0.128784
0.0841282, 0.0097243, 0.0133014, 0.123634
0.0941606, 0.0102683, 0.0122075, 0.113014
0.0732187, 0.00991875, 0.0115335, 0.115652
0.0756201, 0.0107443, 0.0117958, 0.116039
0.0800918, 0.00993109, 0.0136517, 0.0900414
0.076893, 0.0113818, 0.00993721, 0.110476
0.0877269, 0.0111981, 0.0109152, 0.100041
0.0817038, 0.0119814, 0.0101545, 0.0818018
0.130886, 0.0125827, 0.00888589, 0.093876
0.105285, 0.0125017, 0.0074455, 0.090493
0.121847, 0.0147973, 0.0079821, 0.0816271
0.0924516, 0.0135081, 0.00885923, 0.0851887
0.110487, 0.0138975, 0.00966788, 0.106147
0.112633, 0.011463, 0.0106631, 0.105435
0.109524, 0.0132117, 0.0110307, 0.0902468
0.0941862, 0.0109334, 0.00858237, 0.0824648
0.0958664, 0.011668, 0.0106333, 0.0856023
0.124308, 0.00886769, 0.00844445, 0.0837418
0.127834, 0.00985927, 0.00961842, 0.067556
0.105105, 0.0121382, 0.0102174, 0.0772712
0.0982714, 0.0103975, 0.0094541, 0.0818293
0.0927805, 0.00942721, 0.00903921, 0.0846203
0.0957835, 0.00861584, 0.0109765, 0.0928701
0.0859646, 0.010297, 0.0106346, 0.0882124
0.0990759, 0.0124496, 0.0159087, 0.130404
0.0727877, 0.00923396, 0.0135183, 0.110688
0.0851277, 0.0103024, 0.0129845, 0.133068
0.0940563, 0.0129359, 0.0121716, 0.108914
0.126677, 0.0109717, 0.00916769, 0.123027
0.0953137, 0.0107532, 0.0132228, 0.118412
0.106897, 0.00909262, 0.011469, 0.113678
0.0970186, 0.0124745, 0.0138625, 0.115324
0.0855698, 0.010182, 0.016419, 0.128042
0.0725817, 0.0141652, 0.0136533, 0.112396
0.0996755, 0.0112229, 0.0113054, 0.132378
0.0780482, 0.0110632, 0.0120616, 0.111888
0.0698299, 0.0093095, 0.012377, 0.133738
0.0808052, 0.00756723, 0.0171743, 0.0966875
0.0554201, 0.0100763, 0.0147211, 0.122103
0.0651693, 0.00708664, 0.0126341, 0.122409
0.0827151, 0.00836294, 0.012249, 0.107292
0.0653663, 0.00917296, 0.0137321, 0.109934
0.0701391, 0.00844738, 0.0135037, 0.138151
0.0612236, 0.00847125, 0.0139243, 0.112321
0.0671866, 0.00835543, 0.012222, 0.12528
0.0608625, 0.00902483, 0.0126014, 0.140503
0.0674808, 0.00814964, 0.0136493, 0.132438
0.0692725, 0.00989914, 0.0140518, 0.138621
0.0863284, 0.0103715, 0.0136373, 0.139268
0.0862091, 0.0122219, 0.00999697, 0.114102
0.0911304, 0.0105724, 0.0112087, 0.107314
0.0866503, 0.0101317, 0.0112793, 0.0988459
0.140996, 0.0130884, 0.012669, 0.104974
0.103941, 0.0125479, 0.00971934, 0.0743183
0.119609, 0.013064, 0.00997131, 0.0740849
0.106715, 0.0129442, 0.00905827, 0.088739
0.116646, 0.0109585, 0.00890341, 0.0805349
0.0864647, 0.0104311, 0.00882371, 0.0912393
0.0883064, 0.0106238, 0.0094135, 0.0856566
0.104534, 0.0131056, 0.0119246, 0.0760195
0.104316, 0.013035, 0.00802312, 0.092249
0.120826, 0.0118131, 0.00959832, 0.0817123
0.0927151, 0.0105661, 0.00895037, 0.0838895
0.08975, 0.010593, 0.00964803, 0.0954891
0.0680157, 0.0105717, 0.00961129, 0.093225
0.0848632, 0.0115412, 0.00979209, 0.114894
0.0796278, 0.0092384, 0.0124214, 0.0926571
0.108353, 0.0100766, 0.011326, 0.0857577
0.102676, 0.00919644, 0.00595461, 0.073682
0.0827254, 0.0111981, 0.00831397, 0.0883668
0.0937123, 0.0101933, 0.0110415, 0.0692202
0.0947069, 0.0090658, 0.0113432, 0.0840826
0.0862567, 0.00864721, 0.0118323, 0.115747
0.0610872, 0.00928247, 0.0124065, 0.107063
0.0933825, 0.0105365, 0.0112313, 0.0811632
0.0934723, 0.0107087, 0.0103898, 0.093445
0.0832111, 0.00976455, 0.0085496, 0.085395
0.0773004, 0.0108112, 0.00885339, 0.0767064
0.0870704, 0.0112328, 0.00832914, 0.0734936
0.0897209, 0.0101882, 0.00901288, 0.0716947
0.0716196, 0.00952323, 0.00933896, 0.0789786
0.0830591, 0.00799884, 0.00954827, 0.072113
0.0672612, 0.0110181, 0.0087693, 0.0706551
0.0869532, 0.00896231, 0.00944304, 0.102009
0.078198, 0.00871743, 0.00997884, 0.112085
0.0561341, 0.00962406, 0.0108209, 0.0930773
0.0597169, 0.0116401, 0.0123239, 0.110734
0.0599499, 0.0121642, 0.0133201, 0.128957
0.0582647, 0.00787781, 0.0126342, 0.133936
0.0599887, 0.0077449, 0.0113913, 0.096528
0.0770463, 0.0118749, 0.0118831, 0.0997552
0.0716726, 0.0100035, 0.010916, 0.0820539
0.0914189, 0.0102553, 0.0114879, 0.0823365
0.102337, 0.0118472, 0.00956583, 0.0795977
0.0797811, 0.0130418, 0.00773545, 0.0728877
0.0895597, 0.0125769, 0.00833226, 0.0879789
0.0804196, 0.0129002, 0.00842198, 0.100171
0.0907962, 0.0116341, 0.00985182, 0.0864826
0.0843835, 0.0093175, 0.00955946, 0.0901246
0.0776069, 0.0118782, 0.00857874, 0.101846
0.0898236, 0.0113921, 0.0109894, 0.0958961
0.0953159, 0.0112557, 0.00853889, 0.102388
0.106195, 0.0105155, 0.00910866, 0.0782088
0.109766, 0.0128318, 0.00905402, 0.0964302
0.105212, 0.0126151, 0.0097453, 0.089168
0.0954519, 0.0124946, 0.0118856, 0.097943
0.106784, 0.0121758, 0.0116793, 0.0992085
0.0892386, 0.0119395, 0.010084, 0.105822
0.102496, 0.0110691, 0.0114, 0.119518
0.0964262, 0.0124454, 0.0105578, 0.100712
0.116464, 0.0111584, 0.0106449, 0.106929
0.113749, 0.0112918, 0.00993937, 0.128413
0.0930887, 0.0112156, 0.00996459, 0.102358
0.0884748, 0.0106897, 0.011353, 0.0962973
0.0802884, 0.0113587, 0.0113017, 0.114421
0.0941468, 0.0131541, 0.00973715, 0.093095
0.0930555, 0.0124346, 0.0105069, 0.0958725
0.0918351, 0.012818, 0.00931258, 0.110056
0.105997, 0.0125702, 0.0104759, 0.120675
0.0901657, 0.0125203, 0.0120494, 0.133619
0.0847418, 0.0131813, 0.0132636, 0.115102
0.0809913, 0.0112646, 0.011315, 0.107539
0.0843091, 0.0117352, 0.0150161, 0.0981721
0.0828924, 0.0103247, 0.0113937, 0.135558
0.100206, 0.0115117, 0.0114607, 0.17665
0.0875442, 0.0103649, 0.0141397, 0.140435
0.0750411, 0.00988129, 0.0141396, 0.119519
0.0643725, 0.00851574, 0.0137227, 0.152624
0.079388, 0.00917917, 0.015471, 0.156468
0.0505755, 0.00834042, 0.014831, 0.140507
0.0648806, 0.00747319, 0.0132402, 0.148989
0.0667205, 0.00637053, 0.0127795, 0.13133
0.0557771, 0.00786184, 0.0113447, 0.123678
0.0445838, 0.00700287, 0.0119005, 0.112639
0.0682299, 0.00809464, 0.0112075, 0.113755
0.0461937, 0.00690248, 0.00939704, 0.0924895
0.0566887, 0.00632293, 0.00885969, 0.0688175
0.0469374, 0.00606793, 0.0116512, 0.0709227
0.0486357, 0.00721821, 0.0115088, 0.0645209
0.0538359, 0.00763704, 0.0093464, 0.0786439
0.0455568, 0.00704565, 0.00779968, 0.0635879
0.0653919, 0.00749091, 0.0081194, 0.0620709
0.0656489, 0.011457, 0.00934458, 0.0660319
0.0892698, 0.0105391, 0.00835286, 0.0629704
0.0765067, 0.0106963, 0.00771995, 0.0683177
0.0944608, 0.0110736, 0.00805855, 0.0716288
0.0724624, 0.0104175, 0.00693659, 0.0534847
0.0882818, 0.0105599, 0.00666593, 0.049415
0.0718785, 0.0113153, 0.00623617, 0.0357775
0.0851056, 0.010636, 0.00657226, 0.0581189
0.109059, 0.00903967, 0.00620795, 0.0727604
0.0602567, 0.0100611, 0.0061421, 0.0469725
0.0636205, 0.0103999, 0.00742547, 0.069706
0.0776601, 0.00845922, 0.00836132, 0.0544397
0.0795055, 0.0100319, 0.00780835, 0.0738628
0.0896218, 0.0104058, 0.00696162, 0.0568959
0.0969068, 0.0116583, 0.00798945, 0.0613879
0.0870395, 0.00847467, 0.00888859, 0.0839809
0.0668329, 0.00857331, 0.00918879, 0.104707
0.0880646, 0.00933652, 0.00728067, 0.0834841
0.0845453, 0.00936529, 0.00925863, 0.0755089
0.0888132, 0.00865792, 0.00960458, 0.0705661
0.0776073, 0.00952951, 0.0106815, 0.0817589
0.0615302, 0.00842221, 0.00899654, 0.103228
0.0520927, 0.00921764, 0.0106263, 0.104504
0.0518554, 0.00766338, 0.0110676, 0.0910126
0.061056, 0.0089667, 0.0122228, 0.103514
0.0661527, 0.00829675, 0.0115064, 0.115153
0.0602291, 0.0087238, 0.0109978, 0.120386
0.0712622, 0.00869249, 0.0123145, 0.108736
0.0698237, 0.0092268, 0.0122149, 0.104527
0.0690994, 0.00923755, 0.01183, 0.0965854
0.0847657, 0.0088092, 0.0124728, 0.108468
0.0806482, 0.00972644, 0.0107825, 0.083233
0.0683135, 0.00914295, 0.00891995, 0.0957286
0.0594705, 0.00787824, 0.00773879, 0.0799217
0.0653563, 0.00916834, 0.0100321, 0.0852809
0.0765341, 0.00892258, 0.00921618, 0.0875104
0.0782021, 0.00881687, 0.010675, 0.0893275
0.0664557, 0.00714361, 0.00963051, 0.0743646
0.0753482, 0.00891975, 0.0103678, 0.0859439
0.0585551, 0.00754278, 0.0093315, 0.109254
0.0706658, 0.00866858, 0.00991941, 0.0931464
0.0681297, 0.0101426, 0.0100409, 0.0825151
0.0558864, 0.00653655, 0.00987921, 0.084486
0.0546251, 0.0102506, 0.00963377, 0.0903834
0.0524745, 0.00719589, 0.0100811, 0.0983399
0.0621715, 0.00726476, 0.0105583, 0.0936186
0.0580312, 0.00615894, 0.0101126, 0.0884525
0.0648064, 0.00740454, 0.00896666, 0.10309
0.0574585, 0.00759046, 0.00992982, 0.0837686
0.0635949, 0.0079882, 0.0099586, 0.0861527
0.0659468, 0.00782454, 0.0122001, 0.0904537
0.0604699, 0.00648886, 0.00896157, 0.11944
0.0663925, 0.00596477, 0.00873333, 0.0938382
0.0771957, 0.00899088, 0.0103804, 0.0957184
0.0874983, 0.00831085, 0.0108781, 0.079949
0.082738, 0.00924654, 0.00892006, 0.0964265
0.0825923, 0.00938555, 0.00997253, 0.091599
0.0825303, 0.0111017, 0.0101914, 0.0872571
0.0941746, 0.0106672, 0.00932019, 0.0800849
0.105444, 0.00868788, 0.00872023, 0.0887258
0.106268, 0.0140108, 0.00942261, 0.0748518
0.0861534, 0.014066, 0.00858295, 0.0774659
0.110529, 0.0138613, 0.00763756, 0.0753514
0.107586, 0.0105831, 0.00731461, 0.0680673
0.109243, 0.00987428, 0.00762823, 0.095405
0.095156, 0.0105874, 0.00942396, 0.07749
0.100082, 0.0098316, 0.00686226, 0.0832044
0.0988393, 0.0105529, 0.00806713, 0.0899116
0.0935725, 0.0120638, 0.00659924, 0.0734984
0.0767931, 0.0104246, 0.00587818, 0.0647815
0.0766935, 0.00843867, 0.0059213, 0.0753324
0.0701343, 0.0117897, 0.00765485, 0.0831416
0.0897322, 0.00980674, 0.00744675, 0.0709295
0.0925839, 0.00987655, 0.00776882, 0.0746212
0.0907563, 0.0118608, 0.00861225, 0.0775849
0.0820464, 0.0107504, 0.0079754, 0.0929245
0.101228, 0.0100552, 0.00783387, 0.0798631
0.101805, 0.0121943, 0.00923713, 0.0850733
0.0909351, 0.0119811, 0.00777613, 0.0730564
0.101544, 0.0108331, 0.00703809, 0.0657058
0.0916447, 0.0117352, 0.00740134, 0.0673449
0.090616, 0.0117562, 0.00746318, 0.0749441
0.0815243, 0.0137308, 0.00620696, 0.0679501
0.135967, 0.0103981, 0.00723916, 0.0605958
0.0853876, 0.011445, 0.00754074, 0.0632686
0.0754426, 0.011441, 0.00648948, 0.0626863
0.0921746, 0.0134828, 0.00788433, 0.0673603
0.0996556, 0.0104874, 0.00741486, 0.0609971
0.092721, 0.0111518, 0.00859794, 0.0687139
0.0960595, 0.00993204, 0.00869879, 0.0713386
0.0779958, 0.00991354, 0.0101812, 0.0819769
0.0904101, 0.011605, 0.011329, 0.121962
0.0897303, 0.0106263, 0.00935947, 0.0765389
0.0878323, 0.0106832, 0.00977458, 0.102983
0.0803863, 0.0100248, 0.00927551, 0.0944511
0.09657, 0.0102868, 0.0123868, 0.121244
0.0828594, 0.00984264, 0.0130517, 0.0833574
0.068426, 0.0101317, 0.009031, 0.0734426
0.070323, 0.00922699, 0.0101262, 0.0876047
0.0909255, 0.00903044, 0.0102063, 0.0855804
0.0958671, 0.00766221, 0.00934066, 0.0896855
0.102796, 0.00876446, 0.00932864, 0.0930778
0.0953664, 0.0109675, 0.0108594, 0.0781961
0.101718, 0.0120377, 0.0094485, 0.0978166
0.116293, 0.0120036, 0.00993941, 0.0980254
0.0833645, 0.00996675, 0.00893586, 0.0866133
0.0795836, 0.00944965, 0.00768864, 0.0671469
0.093101, 0.0102502, 0.00674189, 0.0709441
0.0812153, 0.0094573, 0.00591089, 0.0651736
0.10104, 0.00830498, 0.0051041, 0.0667114
0.089649, 0.00951348, 0.00673354, 0.0563042
0.0755708, 0.00986358, 0.00762899, 0.0623508
0.0781218, 0.010352, 0.00696381, 0.0639008
0.0710044, 0.00872647, 0.00533674, 0.0652106
0.0855374, 0.00987607, 0.00688609, 0.0634721
0.0892214, 0.0102171, 0.00742436, 0.0879133
0.0882974, 0.010228, 0.00857787, 0.100097
0.080646, 0.00864652, 0.00876145, 0.100548
0.0947262, 0.0113103, 0.0102137, 0.0859118
0.0814196, 0.00921596, 0.00873645, 0.0855586
0.106067, 0.0113018, 0.00773939, 0.0962901
0.100457, 0.0127435, 0.0096115, 0.0726107
0.104603, 0.014681, 0.00899591, 0.104724
0.11432, 0.0129032, 0.00878409, 0.105602
0.107833, 0.0121944, 0.0100383, 0.0946926
0.116372, 0.0140979, 0.0117062, 0.0923144
0.116424, 0.0101332, 0.00868997, 0.098195
0.126593, 0.0162286, 0.0120033, 0.0779495
0.116375, 0.0137552, 0.0119213, 0.0870219
0.111577, 0.0148862, 0.00960129, 0.102355
0.0939196, 0.0132373, 0.00817145, 0.104534
0.088474, 0.0125869, 0.00870376, 0.103908
0.0990199, 0.0147167, 0.0111538, 0.103377
0.105319, 0.016277, 0.00960823, 0.0802597
0.13371, 0.0166102, 0.00787678, 0.0850957
0.116589, 0.0142141, 0.00831153, 0.089389
0.113941, 0.0132544, 0.00868661, 0.0788815
0.119694, 0.0163788, 0.00792868, 0.0794875
0.125424, 0.0177165, 0.00904023, 0.0891461
0.116422, 0.015788, 0.0095257, 0.091936
0.13085, 0.0150404, 0.00897422, 0.10536
0.129538, 0.0143759, 0.00746549, 0.0900177
0.126212, 0.0140177, 0.00978699, 0.0780879
0.122564, 0.0140844, 0.0105268, 0.10139
0.114541, 0.0158533, 0.0099671, 0.119613
0.120158, 0.013527, 0.0111089, 0.0926882
0.101754, 0.0132912, 0.0104712, 0.103194
0.108444, 0.0111358, 0.0104271, 0.110225
0.100243, 0.0108297, 0.00998095, 0.104495
0.106183, 0.0110113, 0.00876405, 0.111904
0.113307, 0.012207, 0.0082599, 0.0905414
0.113907, 0.0136518, 0.0113147, 0.0929448
0.0932216, 0.0117314, 0.01004, 0.102517
0.116405, 0.0110175, 0.00908159, 0.0820913
0.11388, 0.0149873, 0.00885209, 0.0993347
0.106186, 0.0116763, 0.00980359, 0.0926984
0.0990232, 0.01206, 0.0107717, 0.0881396
0.0892743, 0.0123155, 0.010083, 0.0990647
0.109366, 0.0125097, 0.0109458, 0.107165
0.0952416, 0.0133935, 0.0125095, 0.0933206
0.104961, 0.0129426, 0.0109242, 0.112814
0.117523, 0.0118585, 0.0109545, 0.101011
0.10946, 0.0133666, 0.0112154, 0.094123
0.117456, 0.0118806, 0.0107498, 0.102872
0.109087, 0.0115877, 0.0110884, 0.114849
0.11927, 0.011174, 0.0119604, 0.105091
0.097215, 0.0115983, 0.0118702, 0.0797794
0.126291, 0.0129887, 0.0125069, 0.0937894
0.113124, 0.0163095, 0.0106605, 0.0939858
0.129797, 0.014642, 0.010695, 0.0973555
0.122155, 0.0133977, 0.009295, 0.0790645
0.0964798, 0.0143129, 0.0106868, 0.0962693
0.110577, 0.0118563, 0.00920158, 0.072127
0.101417, 0.0131458, 0.00795476, 0.0597191
0.101101, 0.0140515, 0.00704147, 0.0570259
0.0980455, 0.0107582, 0.00461884, 0.0763776
0.12132, 0.0125825, 0.0081675, 0.0499397
0.134257, 0.0144916, 0.00682607, 0.0648803
0.132806, 0.0121626, 0.00712925, 0.0655813
0.0950089, 0.0119031, 0.00931688, 0.0763388
0.0872479, 0.0121411, 0.00948921, 0.092714
0.0861247, 0.0116425, 0.00885894, 0.0836222
0.0782206, 0.0120774, 0.0104138, 0.0696232
0.102344, 0.0133529, 0.00994659, 0.0787146
0.0989048, 0.0111662, 0.00877725, 0.0788155
0.0748576, 0.0111918, 0.0108084, 0.0901459
0.0824334, 0.0112511, 0.00985393, 0.0984497
0.0967102, 0.00981473, 0.0118917, 0.0892277
0.0694551, 0.00804946, 0.0106148, 0.0901868
0.110801, 0.00796284, 0.011497, 0.0895044
0.0940305, 0.00954854, 0.010252, 0.102135
0.0844999, 0.0117808, 0.0113848, 0.0872144
0.0961303, 0.0121486, 0.0106269, 0.0977949
0.0998542, 0.013556, 0.0106355, 0.0915208
0.113039, 0.0129921, 0.00798467, 0.0667999
0.0992111, 0.0110721, 0.00682241, 0.094556
0.0915098, 0.00911132, 0.0114823, 0.0928824
0.0761754, 0.00956437, 0.011723, 0.115386
0.0622045, 0.00871109, 0.0123827, 0.11336
0.0600778, 0.00910385, 0.0116872, 0.12848
0.0640772, 0.00831115, 0.0115433, 0.101628
0.059714, 0.00821136, 0.0124992, 0.100459
0.0691789, 0.00746553, 0.011884, 0.124534
0.0665942, 0.00849567, 0.0128856, 0.125208
0.0626645, 0.00996159, 0.0103561, 0.108462
0.0661172, 0.00786747, 0.0120059, 0.137427
0.061457, 0.00886504, 0.0108945, 0.105718
0.0614949, 0.00904252, 0.0123031, 0.107135
0.0650586, 0.00773991, 0.0136332, 0.118198
0.0639327, 0.00788636, 0.0141909, 0.145651
0.0384795, 0.00924888, 0.0140708, 0.131141
0.0515795, 0.0066163, 0.0142344, 0.138284
