alpha, beta, delta, gamma 
0.000645326, 0.000378531, 5.14341e-05, 0.00385736
0.00409014, 0.00106988, 0.000830941, 0.00395186
0.0065175, 0.00128221, 0.00181891, 0.0116157
0.00799315, 0.00232204, 0.00235563, 0.00869138
0.00692216, 0.00326914, 0.00250818, 0.0115277
0.00833274, 0.00249131, 0.00338771, 0.0189866
0.0164466, 0.00437646, 0.00411628, 0.0363768
0.0193731, 0.00387983, 0.0040107, 0.019357
0.0265683, 0.00392707, 0.00381091, 0.0297272
0.0138795, 0.0036106, 0.00432031, 0.0287418
0.0191956, 0.00336994, 0.00326212, 0.0400256
0.0272692, 0.0043318, 0.00529686, 0.0354181
0.0279928, 0.00382302, 0.00516389, 0.0326532
0.0336573, 0.00511031, 0.00532268, 0.05997
0.0315461, 0.00526545, 0.00565882, 0.0425818
0.0369595, 0.00395882, 0.00488625, 0.0388856
0.0245645, 0.00446806, 0.00602868, 0.0501806
0.0295026, 0.00468733, 0.00587436, 0.0401952
0.0524927, 0.00533222, 0.00613711, 0.0542955
0.0551719, 0.0060934, 0.00622392, 0.050183
0.0432114, 0.00649375, 0.0065403, 0.055312
0.0457356, 0.00618059, 0.00544707, 0.0702115
0.0369941, 0.00536862, 0.00743521, 0.0792175
0.0317832, 0.00551467, 0.00723552, 0.0854697
0.0468637, 0.00621408, 0.0108104, 0.0683676
0.0311443, 0.00841194, 0.00857972, 0.0708018
0.0340243, 0.00684833, 0.00884843, 0.0831568
0.0487207, 0.00679346, 0.00830436, 0.0852033
0.0685682, 0.00946539, 0.00738276, 0.0742137
0.0648694, 0.00868354, 0.00950845, 0.0839862
0.07145, 0.00760573, 0.0105021, 0.0868886
0.0791631, 0.0097311, 0.00837514, 0.0747242
0.0823163, 0.00897955, 0.0083605, 0.0722867
0.0709737, 0.012979, 0.00900986, 0.0910496
0.093182, 0.011372, 0.0124913, 0.0866919
0.103796, 0.0129726, 0.0105674, 0.081917
0.108439, 0.0124931, 0.0084456, 0.0997985
0.105637, 0.0107894, 0.0089653, 0.0864575
0.0993944, 0.0130257, 0.00857738, 0.0816798
0.110463, 0.0138355, 0.00930338, 0.0844184
0.112678, 0.0138554, 0.0107888, 0.0830445
