alpha, beta, delta, gamma 
0.0765932, 0.0107415, 0.00864917, 0.0904262
0.0769233, 0.00991425, 0.00957754, 0.0828443
0.065723, 0.00818332, 0.00854174, 0.100454
0.0741474, 0.00979516, 0.00968121, 0.0756787
0.0816697, 0.00959377, 0.00913229, 0.0924521
0.0730785, 0.00858284, 0.00930248, 0.0769151
0.0783891, 0.0118615, 0.00769214, 0.0706753
0.0832912, 0.0103977, 0.0115529, 0.0808985
0.0858411, 0.0093524, 0.00888579, 0.099356
0.0894279, 0.0106311, 0.00753845, 0.0757079
0.125679, 0.0135214, 0.00715873, 0.101332
0.128208, 0.0126754, 0.00813577, 0.083453
0.130113, 0.0166428, 0.00727629, 0.0848694
0.147548, 0.0157971, 0.00794999, 0.0686194
0.113623, 0.0132557, 0.0085717, 0.0605444
0.120193, 0.0142164, 0.00869511, 0.0961688
0.123806, 0.0118388, 0.00877456, 0.0747307
0.097887, 0.0117681, 0.00831675, 0.0977825
0.0939243, 0.0100473, 0.0111103, 0.093747
0.095897, 0.0121962, 0.0125036, 0.10797
0.092064, 0.0110742, 0.0120011, 0.0906106
0.094566, 0.0106359, 0.0105507, 0.0941145
0.0980098, 0.00995576, 0.010724, 0.118963
0.0822874, 0.0108963, 0.0108316, 0.0960292
0.067899, 0.0118716, 0.0129489, 0.0995485
0.115314, 0.0115463, 0.0130958, 0.0958293
0.114599, 0.0124074, 0.0107162, 0.0999979
0.111881, 0.0131148, 0.0110658, 0.0984381
0.121527, 0.0117763, 0.0107641, 0.108006
0.111721, 0.0115353, 0.011441, 0.0906656
0.101332, 0.0123115, 0.0120924, 0.123436
0.0951358, 0.00922919, 0.0122314, 0.123695
0.101469, 0.0107611, 0.0108008, 0.134894
0.0941619, 0.0102116, 0.0132039, 0.12149
0.0928656, 0.0108266, 0.0145912, 0.120455
0.0878842, 0.0103283, 0.0141544, 0.135726
0.0737002, 0.0100255, 0.0154623, 0.12948
0.0712582, 0.00897451, 0.015165, 0.145113
0.056536, 0.00793341, 0.0134195, 0.141487
0.0664747, 0.00802107, 0.014287, 0.123399
0.0597707, 0.0085596, 0.0166707, 0.159308
0.0590205, 0.00852055, 0.0187496, 0.179524
0.0715213, 0.00853447, 0.0176697, 0.190167
0.061149, 0.00981224, 0.017854, 0.15181
0.0657486, 0.00744827, 0.0141836, 0.176848
0.0588149, 0.0075393, 0.0165422, 0.147273
0.0730254, 0.00728249, 0.0159288, 0.165248
0.0920453, 0.00711283, 0.0161289, 0.170921
0.0599263, 0.00852418, 0.0142637, 0.153742
0.0737822, 0.00705155, 0.0150098, 0.15565
0.0799097, 0.00953875, 0.0133681, 0.10173
0.0991983, 0.010109, 0.0134376, 0.121654
0.111569, 0.0113349, 0.0169835, 0.14151
0.0929109, 0.0110525, 0.0140191, 0.135697
0.0903125, 0.00915759, 0.0166043, 0.158946
0.0670201, 0.0102697, 0.0149799, 0.148812
0.0650796, 0.00893681, 0.0157142, 0.148573
0.0873077, 0.00816911, 0.0126747, 0.134881
0.0805991, 0.00952019, 0.0154115, 0.114714
0.0673968, 0.00640541, 0.0164095, 0.123029
0.0549883, 0.00796455, 0.0153411, 0.147588
0.0680051, 0.00762069, 0.0156958, 0.135024
0.0743038, 0.0089658, 0.0118533, 0.127708
0.0679976, 0.00874344, 0.0113304, 0.11218
0.0834127, 0.0102528, 0.00926025, 0.0962513
0.0851399, 0.0107158, 0.00907612, 0.0998158
0.0769975, 0.00981975, 0.0111096, 0.085975
0.0642917, 0.00970692, 0.0117798, 0.0829826
0.0700458, 0.00808976, 0.0102745, 0.0982691
0.0731407, 0.00984971, 0.0100548, 0.0836204
0.0732817, 0.00707134, 0.00942573, 0.0972859
0.0720331, 0.0102026, 0.00944273, 0.0943887
0.065636, 0.00931134, 0.00950074, 0.079202
0.0742644, 0.00789989, 0.00832455, 0.101484
0.0618951, 0.00799183, 0.00955548, 0.105702
0.0560192, 0.00906581, 0.0101661, 0.106502
0.0749322, 0.00953637, 0.010697, 0.111585
0.0754813, 0.00872624, 0.00952178, 0.0893712
0.067781, 0.00630582, 0.00944176, 0.077157
0.0624952, 0.0100762, 0.0118922, 0.0855738
0.0709873, 0.010573, 0.010885, 0.125789
0.0623944, 0.00813439, 0.0118347, 0.124146
0.0702027, 0.00694797, 0.0111752, 0.104701
0.0627467, 0.00724763, 0.0125119, 0.118303
0.0671861, 0.00681608, 0.0129155, 0.10809
0.0623707, 0.00944404, 0.0118075, 0.107126
0.0613741, 0.0116019, 0.012188, 0.0935645
0.0774804, 0.0079197, 0.0112166, 0.12801
0.0617572, 0.00916125, 0.0109277, 0.110302
0.0762927, 0.00859865, 0.0112307, 0.110217
0.0677716, 0.00806321, 0.0127375, 0.111415
0.0765298, 0.0095647, 0.0107828, 0.103336
0.0665142, 0.010144, 0.0134323, 0.127906
0.0724037, 0.00917369, 0.0142065, 0.11892
0.0568271, 0.0107329, 0.00869583, 0.15425
0.0877407, 0.0111129, 0.0108281, 0.0952407
0.0780969, 0.0122213, 0.0123158, 0.0902105
0.0916292, 0.00989696, 0.0104334, 0.0823395
0.075607, 0.00982664, 0.0107675, 0.0821889
0.0636392, 0.00924503, 0.00916326, 0.0957878
0.100241, 0.0091273, 0.0105081, 0.0679481
0.0793981, 0.0108928, 0.00967718, 0.0752308
0.0604738, 0.00875782, 0.0103805, 0.0526606
0.0707857, 0.00965599, 0.0086686, 0.0744492
0.0841857, 0.0120847, 0.0101254, 0.0915533
0.0788274, 0.0117369, 0.010169, 0.082574
0.103297, 0.0110309, 0.0105641, 0.0776255
0.0989016, 0.0114138, 0.00967497, 0.0800092
0.0972723, 0.011955, 0.00838094, 0.0722622
0.0866235, 0.0113443, 0.00964169, 0.061835
0.109264, 0.0091212, 0.008574, 0.0724063
0.0944068, 0.0133716, 0.00664904, 0.07563
0.104758, 0.0105741, 0.0090222, 0.0690693
0.0907994, 0.0103112, 0.00763754, 0.0880068
0.0937204, 0.00981085, 0.00829671, 0.0735116
0.0846658, 0.0135271, 0.00703395, 0.0833875
0.0932968, 0.0133109, 0.0107818, 0.0645257
0.0923115, 0.0103157, 0.00922726, 0.0714818
0.0919326, 0.0120816, 0.00816027, 0.0758478
0.114115, 0.0137484, 0.00775612, 0.0727458
0.0968151, 0.0124315, 0.00870983, 0.0788691
0.116072, 0.0133044, 0.00762876, 0.0876392
0.109633, 0.0136943, 0.00905631, 0.0688327
0.132804, 0.0170092, 0.00854326, 0.0734438
0.131862, 0.0161991, 0.00781353, 0.0736005
0.13681, 0.0164027, 0.00656295, 0.0564923
0.155258, 0.0157573, 0.00521369, 0.0495304
0.123963, 0.0181322, 0.0066946, 0.0641001
0.130411, 0.0157681, 0.0070263, 0.0579562
0.163621, 0.0138436, 0.00580021, 0.0512064
0.150219, 0.0173664, 0.00705551, 0.0495899
0.139423, 0.0172356, 0.00541439, 0.0791619
0.126316, 0.0129539, 0.00771306, 0.0657844
0.11659, 0.0131375, 0.00714024, 0.0606298
0.10612, 0.013755, 0.00679215, 0.062635
0.110813, 0.0134634, 0.00765155, 0.0787073
0.11912, 0.014478, 0.00726496, 0.0751867
0.11979, 0.0145061, 0.00618542, 0.0602427
0.124384, 0.0121253, 0.00546282, 0.0571386
0.111186, 0.0118839, 0.00659142, 0.0679302
0.108988, 0.00994348, 0.0055168, 0.0674517
0.110252, 0.0129761, 0.00638498, 0.0621638
0.11865, 0.0148238, 0.00606149, 0.0728758
0.109914, 0.0118136, 0.00664094, 0.0693999
0.0948416, 0.0111603, 0.00864124, 0.07286
0.096739, 0.0111157, 0.0091638, 0.082878
0.090996, 0.010667, 0.00915196, 0.0856324
0.101203, 0.0102815, 0.00761976, 0.0809969
0.101721, 0.0107493, 0.00888494, 0.0685176
0.0993975, 0.0127401, 0.00958631, 0.069984
0.10603, 0.0108077, 0.0101468, 0.0819739
0.0969529, 0.0126075, 0.00895167, 0.0850746
0.104905, 0.0132811, 0.0109493, 0.0919398
0.12266, 0.012059, 0.01177, 0.0994121
0.125305, 0.0124291, 0.00934768, 0.0776746
0.103367, 0.0146523, 0.0106132, 0.0851161
0.1049, 0.0122388, 0.0094168, 0.0900401
0.0977715, 0.0126661, 0.0111619, 0.089524
0.10374, 0.0127919, 0.00937404, 0.0885965
0.110085, 0.00984906, 0.0109949, 0.104208
0.108503, 0.0110858, 0.00904813, 0.0918958
0.0821937, 0.0105772, 0.0110233, 0.0987402
0.0800418, 0.012254, 0.0102007, 0.0933918
0.101373, 0.0112599, 0.0109168, 0.102663
0.114684, 0.0110782, 0.00922319, 0.0916488
0.134359, 0.0118597, 0.0101469, 0.0816819
0.114617, 0.0139798, 0.00702405, 0.096561
0.127915, 0.0127462, 0.0102059, 0.0897806
0.106104, 0.0136976, 0.0107897, 0.0780566
0.111608, 0.0152703, 0.00865591, 0.0920624
0.101704, 0.012216, 0.0100327, 0.0959132
0.0869032, 0.0128987, 0.00938418, 0.11459
0.10037, 0.0107713, 0.0100473, 0.101137
0.0994548, 0.011813, 0.0103059, 0.103729
0.106773, 0.0110892, 0.0100283, 0.0973693
0.114099, 0.00992102, 0.00884687, 0.123621
0.0840015, 0.0100044, 0.011977, 0.0851074
0.101846, 0.0113102, 0.0130338, 0.127058
0.0915248, 0.0101919, 0.0115768, 0.138107
0.0874442, 0.0104341, 0.0100774, 0.111731
0.082564, 0.0124102, 0.0133662, 0.135987
0.0882688, 0.0111149, 0.0132243, 0.135446
0.0938162, 0.010513, 0.0133516, 0.138228
0.0803646, 0.0125702, 0.0135222, 0.124873
0.0877047, 0.0127217, 0.0126821, 0.121456
0.121652, 0.0123178, 0.013728, 0.119381
0.104308, 0.0116198, 0.0132624, 0.151367
0.113693, 0.0102182, 0.0136099, 0.133106
0.083396, 0.0115847, 0.0120581, 0.110957
0.0875028, 0.0107613, 0.0120261, 0.111196
0.0662434, 0.00943453, 0.0146005, 0.124937
0.0636895, 0.0068739, 0.0155044, 0.131013
0.0518478, 0.00914866, 0.0154537, 0.16557
0.0454793, 0.00773563, 0.0158366, 0.163354
0.0467006, 0.00757755, 0.0148412, 0.15096
0.0632006, 0.00677027, 0.0136802, 0.145862
0.0523033, 0.00750947, 0.0134212, 0.153479
0.0628332, 0.00838192, 0.0132532, 0.161062
0.0633225, 0.00805802, 0.0129593, 0.132256
0.0915604, 0.0084638, 0.0150479, 0.144474
0.076564, 0.010816, 0.0135946, 0.142995
0.0793952, 0.00919872, 0.0135189, 0.149046
0.0984492, 0.0111038, 0.0156983, 0.146965
0.147461, 0.00933182, 0.0154022, 0.147464
0.0891041, 0.0104927, 0.0148204, 0.169444
0.0810761, 0.0106464, 0.0149755, 0.16257
0.0868093, 0.00978891, 0.0152369, 0.163096
0.0904739, 0.0101088, 0.0149926, 0.185497
0.0848605, 0.0116317, 0.018077, 0.182644
0.0778383, 0.010688, 0.0161926, 0.166258
0.104406, 0.0123397, 0.0179961, 0.179514
0.0839572, 0.0104834, 0.0168375, 0.170944
0.0815409, 0.0106083, 0.0168021, 0.158016
0.0696866, 0.0103387, 0.016808, 0.155174
0.0709777, 0.0106124, 0.014558, 0.183279
0.0550062, 0.0081976, 0.0147068, 0.152399
0.0662977, 0.00692164, 0.0150445, 0.163186
0.068499, 0.00954088, 0.0167572, 0.147986
0.0631588, 0.0077122, 0.0179381, 0.111869
0.0659113, 0.00779872, 0.0146472, 0.150686
0.0600414, 0.00893527, 0.0147257, 0.163322
0.0676093, 0.00972573, 0.0139428, 0.126609
0.0946564, 0.00686708, 0.0134148, 0.133607
0.0786873, 0.00943605, 0.0137661, 0.143713
0.0795217, 0.0106206, 0.0143782, 0.131568
0.0691597, 0.00922493, 0.0150023, 0.110923
0.0679065, 0.0097398, 0.0108489, 0.119585
0.0621162, 0.00795718, 0.0115845, 0.113304
0.0757412, 0.00900352, 0.0108145, 0.110292
0.0701282, 0.00949933, 0.011931, 0.0928011
0.0753757, 0.0090926, 0.0134575, 0.0934676
0.0697192, 0.00905359, 0.0143469, 0.114888
0.0956358, 0.0081189, 0.0150665, 0.11079
0.0777294, 0.00954112, 0.0120674, 0.131714
0.0786264, 0.0110767, 0.0129655, 0.126308
0.0777304, 0.0103746, 0.0140177, 0.135475
0.0840107, 0.0107924, 0.0133636, 0.129739
0.0703946, 0.00985494, 0.0153773, 0.141664
0.0731999, 0.00899959, 0.0147318, 0.120651
0.0803834, 0.0127525, 0.0116986, 0.140602
0.0828185, 0.0120905, 0.0123413, 0.105843
0.0860371, 0.0119275, 0.0129253, 0.119303
0.0698058, 0.0117711, 0.0122805, 0.118324
0.0846365, 0.0113897, 0.012624, 0.110709
0.0909908, 0.010964, 0.0102702, 0.112367
0.0924191, 0.0125782, 0.0116685, 0.107116
0.0727727, 0.00967469, 0.0122403, 0.126991
0.0833687, 0.00893368, 0.0114695, 0.134851
0.086971, 0.00966216, 0.0123473, 0.090252
0.0770243, 0.00914722, 0.0104104, 0.0952504
0.102009, 0.00962644, 0.00995115, 0.0924653
0.086234, 0.00957164, 0.0136836, 0.0999251
0.0949805, 0.00924156, 0.0125877, 0.12385
0.0749486, 0.00911282, 0.015872, 0.140484
0.0719147, 0.00875086, 0.0126713, 0.148111
0.0648025, 0.00763755, 0.0141923, 0.158496
0.0581396, 0.00747113, 0.011418, 0.135533
0.0625033, 0.00829502, 0.014374, 0.127182
0.0698464, 0.00866311, 0.0129422, 0.116764
0.063681, 0.00768465, 0.0140391, 0.113448
0.0564042, 0.00611993, 0.0131087, 0.100867
0.0663406, 0.00691242, 0.0109993, 0.117213
0.0562441, 0.00709279, 0.0148105, 0.124496
0.0501901, 0.00607005, 0.0117656, 0.100977
0.0651061, 0.00756301, 0.00946405, 0.106405
0.0540556, 0.0120224, 0.0110462, 0.0970569
0.0705434, 0.0102037, 0.00898837, 0.0912815
0.0767805, 0.00884895, 0.00963792, 0.0765509
0.0747749, 0.0114352, 0.0106093, 0.0854093
0.103623, 0.0109567, 0.010428, 0.10844
0.100415, 0.0120846, 0.013462, 0.120497
0.0814937, 0.010703, 0.0108818, 0.102295
0.0804389, 0.00870895, 0.0103834, 0.124459
0.0852926, 0.0108835, 0.0123678, 0.113549
0.0925418, 0.0109213, 0.0138677, 0.134412
0.0676571, 0.0112535, 0.0135101, 0.0916045
0.0778138, 0.0112929, 0.013911, 0.0969748
0.0812255, 0.0112077, 0.0129952, 0.10055
0.0908151, 0.0123146, 0.0119504, 0.108272
0.107896, 0.0119056, 0.0107073, 0.0938663
0.0841943, 0.0128103, 0.00981186, 0.10484
0.0911304, 0.0131528, 0.0129189, 0.0982519
0.100579, 0.0131687, 0.00961453, 0.089081
0.116043, 0.0127478, 0.0100348, 0.088439
0.100495, 0.0142787, 0.0113409, 0.0904433
0.114241, 0.0151028, 0.0114861, 0.0917204
0.121424, 0.0162342, 0.0128871, 0.1018
0.115184, 0.0131276, 0.0141271, 0.116786
0.100219, 0.01451, 0.0147194, 0.115699
0.129367, 0.0135235, 0.0109405, 0.128157
0.135041, 0.0138341, 0.014436, 0.105106
0.127814, 0.0131933, 0.0133259, 0.123918
0.0933676, 0.0126037, 0.0152874, 0.126242
0.113846, 0.0139502, 0.0137829, 0.112386
0.110096, 0.0130209, 0.0142501, 0.12274
0.103151, 0.0140883, 0.0152051, 0.13692
0.104125, 0.014292, 0.0162031, 0.122761
0.103167, 0.0160242, 0.0136938, 0.15316
0.160372, 0.0161685, 0.0143785, 0.122402
0.172439, 0.0172598, 0.014198, 0.107583
0.132938, 0.0190163, 0.0113111, 0.111511
0.144725, 0.0159914, 0.0115068, 0.106138
0.127721, 0.0180869, 0.012658, 0.10938
0.114967, 0.0169909, 0.0114076, 0.106677
0.158071, 0.0126366, 0.0136956, 0.11269
0.140184, 0.0130662, 0.0112198, 0.105737
0.109508, 0.0134751, 0.0119057, 0.0678212
0.109342, 0.0112438, 0.0133207, 0.11754
0.0944069, 0.0107392, 0.0118737, 0.107478
0.0867519, 0.0117054, 0.00958929, 0.100161
0.0772941, 0.00941397, 0.0115642, 0.113612
0.0729219, 0.00841213, 0.0140681, 0.119643
0.0689658, 0.0112451, 0.0140511, 0.101047
0.0772457, 0.00850995, 0.0126522, 0.117903
0.0706916, 0.0106966, 0.0130469, 0.108854
0.0798976, 0.00789249, 0.0122377, 0.112345
0.0786941, 0.00823475, 0.00894646, 0.12759
0.0851073, 0.00969963, 0.0122205, 0.110141
0.0706643, 0.00936455, 0.00854701, 0.077965
0.0859641, 0.00921895, 0.00961446, 0.0825494
0.0755398, 0.00952342, 0.0109315, 0.0858004
0.0936222, 0.00831285, 0.00900828, 0.0722346
0.0960174, 0.0117855, 0.0106984, 0.0680283
0.107291, 0.0123006, 0.00780481, 0.0964331
0.0875298, 0.00906924, 0.00865237, 0.0881855
0.0942763, 0.0105735, 0.00785573, 0.0815831
0.0871481, 0.0117147, 0.00577566, 0.0774797
0.0906281, 0.0128587, 0.00766168, 0.0667559
0.0763787, 0.0107882, 0.00813083, 0.065485
0.0759921, 0.0113502, 0.00692571, 0.0586644
0.085269, 0.0120173, 0.00528461, 0.0552556
0.100264, 0.00950041, 0.0080229, 0.0511584
0.0799665, 0.0119452, 0.00552344, 0.0680625
0.0812532, 0.0107487, 0.00689456, 0.0681854
0.0965121, 0.0120409, 0.00818384, 0.085754
0.101365, 0.0115929, 0.00779735, 0.073514
0.0952651, 0.00837611, 0.00846256, 0.0803157
0.0829543, 0.0110848, 0.0110335, 0.0838596
0.0781521, 0.00981042, 0.00766687, 0.0735426
0.0769858, 0.00824221, 0.00720185, 0.0662252
0.0908183, 0.0113863, 0.00781131, 0.0834127
0.0911065, 0.010119, 0.00559528, 0.0744314
0.0686215, 0.00893505, 0.00750568, 0.0700772
0.0861728, 0.00990449, 0.0103616, 0.0730953
0.108561, 0.00972562, 0.00856766, 0.0700325
0.0745405, 0.00928573, 0.0090936, 0.075806
0.0902253, 0.00923709, 0.0109609, 0.0932545
0.0644699, 0.00912892, 0.0105922, 0.0840807
0.0766783, 0.00859481, 0.0116873, 0.104725
0.0772263, 0.00948878, 0.00997001, 0.101123
0.0700371, 0.0097177, 0.011528, 0.0946058
0.0686111, 0.00971923, 0.00804692, 0.0930643
0.093139, 0.00953347, 0.00980043, 0.0878635
0.0665287, 0.0109845, 0.00750132, 0.0766948
0.0638603, 0.00989767, 0.00854541, 0.0807969
0.0706342, 0.00809053, 0.00856922, 0.0916211
0.0624256, 0.00845489, 0.0102036, 0.0834065
0.0670154, 0.0106704, 0.00993428, 0.103268
0.0771331, 0.00936304, 0.00967067, 0.108024
0.0734738, 0.00947155, 0.0118418, 0.11436
0.0548866, 0.00746286, 0.0122188, 0.127626
0.0681868, 0.00746261, 0.0125773, 0.097469
0.0598262, 0.00845401, 0.0116626, 0.100536
0.0421343, 0.00563452, 0.0126323, 0.0868036
0.0398221, 0.00596338, 0.012701, 0.120343
0.0380663, 0.00540459, 0.0118253, 0.122062
0.0458022, 0.00507974, 0.0146742, 0.12748
0.0397243, 0.00550358, 0.0133226, 0.130914
0.0374907, 0.00526724, 0.0128949, 0.129529
0.0441098, 0.00441747, 0.012445, 0.0942267
0.0429303, 0.00361193, 0.010301, 0.0940793
0.0414291, 0.00591382, 0.00908585, 0.111693
0.053865, 0.00497741, 0.00971216, 0.0971814
0.0391184, 0.00687471, 0.01073, 0.0840101
0.0449112, 0.00787106, 0.00965883, 0.101725
0.0506669, 0.00546701, 0.0103253, 0.120648
0.036361, 0.00669436, 0.011659, 0.0934596
0.0420771, 0.00620605, 0.00939195, 0.0886757
0.0547082, 0.00632327, 0.0095799, 0.0946178
0.075773, 0.00859901, 0.0122887, 0.0824073
0.0660226, 0.00860301, 0.0108642, 0.0964976
0.0636298, 0.00768437, 0.0104919, 0.0925899
0.0771772, 0.00858396, 0.0106165, 0.100338
0.0744626, 0.00866188, 0.0107256, 0.131086
0.050231, 0.00810393, 0.0106705, 0.0911997
0.0739571, 0.00732298, 0.0094168, 0.11474
0.0766661, 0.00920361, 0.00976288, 0.0946883
0.0670426, 0.00711341, 0.0106092, 0.110732
0.0765684, 0.00885877, 0.010785, 0.105655
0.0799678, 0.00964775, 0.0110604, 0.100687
0.0767011, 0.00942029, 0.0126535, 0.0971351
0.0786586, 0.0069233, 0.0131455, 0.131046
0.0565131, 0.0077287, 0.0128777, 0.115421
0.0556633, 0.00694289, 0.0124017, 0.118448
0.0544457, 0.00686637, 0.0130665, 0.10969
0.0459027, 0.00622178, 0.010875, 0.100895
0.060743, 0.0079671, 0.0117111, 0.117512
0.0639698, 0.00661488, 0.0108602, 0.107746
0.0522718, 0.00558807, 0.0115258, 0.112421
0.0442772, 0.00778898, 0.0122135, 0.105651
0.0611395, 0.00678019, 0.0134403, 0.11405
0.050054, 0.00757675, 0.0131397, 0.107466
0.0615103, 0.00645451, 0.0133508, 0.112686
0.0609408, 0.0068055, 0.0104062, 0.0850654
0.0712609, 0.00886152, 0.00919716, 0.104097
0.0746082, 0.00978067, 0.0104953, 0.102117
0.0622497, 0.00779884, 0.00884416, 0.100569
0.073772, 0.00973423, 0.0100565, 0.0762333
0.0863356, 0.00960649, 0.00890308, 0.0871146
0.0709522, 0.00846818, 0.0116394, 0.0902615
0.0633758, 0.00785358, 0.0125905, 0.120299
0.0674564, 0.00955222, 0.0157634, 0.0843884
0.0634617, 0.00775291, 0.00913224, 0.10372
0.0670668, 0.00682386, 0.0109882, 0.0871111
0.0704597, 0.00950883, 0.0107381, 0.0992944
0.0595459, 0.0105662, 0.00757313, 0.0861451
0.0733529, 0.0103079, 0.00873089, 0.0843749
0.0581337, 0.00993231, 0.00842064, 0.0697969
0.0792758, 0.0110052, 0.00693299, 0.0870462
0.0627627, 0.0101793, 0.00864543, 0.0910641
0.0617161, 0.0110335, 0.0104999, 0.0670362
0.100411, 0.0103405, 0.00918394, 0.0850398
0.0667005, 0.00984177, 0.00913439, 0.0981593
0.0619367, 0.00739401, 0.00769284, 0.0922411
0.0613203, 0.00673266, 0.00844134, 0.0741465
0.0569991, 0.00708995, 0.00901613, 0.0620993
0.0631825, 0.00988898, 0.00860668, 0.0733596
0.0702016, 0.00803012, 0.00859811, 0.0604217
0.0605878, 0.00850454, 0.00845678, 0.0703465
0.0557295, 0.00888726, 0.00815009, 0.0814402
0.0664532, 0.00829111, 0.00785096, 0.0725686
0.064719, 0.00860032, 0.0102357, 0.0918361
0.0521315, 0.00814653, 0.0118505, 0.0935919
0.0811472, 0.00899141, 0.0105599, 0.0948163
0.0622339, 0.00802734, 0.0102384, 0.0978733
0.0673631, 0.0086858, 0.0107982, 0.106911
0.075288, 0.00956182, 0.01234, 0.114341
0.0727591, 0.00833183, 0.0130658, 0.125376
0.073507, 0.00866502, 0.0145968, 0.104759
0.071694, 0.00991769, 0.0107657, 0.0867917
0.07297, 0.0123517, 0.0114328, 0.108275
0.0993053, 0.0122982, 0.0108537, 0.11336
0.0912146, 0.010991, 0.0119202, 0.106231
0.0947515, 0.00953196, 0.0105615, 0.0924995
0.112321, 0.0128016, 0.0117296, 0.0871207
0.118006, 0.0124027, 0.0101455, 0.0894495
0.100539, 0.0142554, 0.0109869, 0.0957274
0.119448, 0.013182, 0.011171, 0.0875046
0.128719, 0.0113346, 0.010268, 0.112679
0.119828, 0.0159029, 0.0136957, 0.107526
0.114217, 0.0169297, 0.0115448, 0.127881
0.115319, 0.0155064, 0.0104558, 0.120018
0.136904, 0.0139346, 0.0112249, 0.125804
0.116177, 0.0152466, 0.0123462, 0.140859
0.131604, 0.0140793, 0.0141294, 0.122271
0.113793, 0.0129697, 0.0129725, 0.136487
0.113146, 0.0133005, 0.0138456, 0.13404
0.0893842, 0.0109977, 0.0149354, 0.123149
0.0792636, 0.013024, 0.0146074, 0.129918
0.133593, 0.0136547, 0.0177119, 0.166406
0.109859, 0.0146673, 0.016712, 0.154299
0.108068, 0.013639, 0.0171828, 0.132754
0.142863, 0.0119936, 0.0170507, 0.131213
0.11374, 0.0147997, 0.0130029, 0.14775
0.0904796, 0.0136574, 0.0187795, 0.127525
0.0969529, 0.0122151, 0.0173663, 0.148822
0.0894633, 0.0103317, 0.0170222, 0.142056
0.0840121, 0.0108886, 0.0181379, 0.126226
0.100659, 0.0093837, 0.0155242, 0.14792
0.0935815, 0.00964889, 0.0168364, 0.130772
0.102653, 0.0117292, 0.0141861, 0.138303
0.124909, 0.00875043, 0.0146473, 0.148014
0.0909989, 0.0101496, 0.0126087, 0.138398
0.0799024, 0.00819964, 0.0133592, 0.125806
0.0772665, 0.00926316, 0.0159619, 0.119996
0.0626885, 0.00933575, 0.0156569, 0.149359
0.0638099, 0.00782238, 0.0123417, 0.139251
0.0934002, 0.0102528, 0.0108885, 0.101613
0.10094, 0.0103248, 0.0146393, 0.100369
0.0672281, 0.00878188, 0.0134649, 0.115114
