alpha, beta, delta, gamma 
0.00568495, 0.000115367, 7.21183e-05, 0.00134273
0.00358169, 0.00100161, 0.000818192, 0.00875163
0.00387912, 0.00128374, 0.00168422, 0.0112551
0.00863541, 0.00221243, 0.000987433, 0.0201935
0.00778577, 0.00187263, 0.00260495, 0.0124726
0.00796024, 0.00323736, 0.00255552, 0.0242267
0.0108419, 0.00297694, 0.00284186, 0.0284191
0.0225425, 0.00382088, 0.00354676, 0.026487
0.0180798, 0.00496983, 0.00394071, 0.0529933
0.0196355, 0.00453285, 0.00435519, 0.0390774
0.0270243, 0.00439446, 0.00583921, 0.0459324
0.0397545, 0.00461972, 0.0047501, 0.0545833
0.0346807, 0.00501626, 0.00606627, 0.0701654
0.034754, 0.0057716, 0.00600418, 0.0761473
0.026845, 0.00431306, 0.00587232, 0.0530268
0.0411236, 0.00550025, 0.00760326, 0.0384982
0.0363098, 0.00589511, 0.00878084, 0.0494455
0.0537102, 0.00762904, 0.00685889, 0.0591386
0.0667182, 0.00671997, 0.00730687, 0.0550858
0.0695408, 0.00961403, 0.00799869, 0.0587901
0.0759189, 0.00792508, 0.00771743, 0.0773654
0.0464129, 0.00692074, 0.00951153, 0.0804633
0.0499594, 0.00586005, 0.00911933, 0.081906
0.050798, 0.00815641, 0.00787729, 0.0879283
0.0588926, 0.00735705, 0.00771274, 0.0817343
0.0577982, 0.00821733, 0.00774855, 0.0750145
0.0644325, 0.0076527, 0.00817643, 0.0715239
0.0645518, 0.00805118, 0.00887461, 0.0726807
0.05083, 0.00576367, 0.00561237, 0.0933682
0.0433688, 0.00741703, 0.00739606, 0.0747583
0.0551651, 0.00693701, 0.00938261, 0.0609072
0.0672646, 0.0100989, 0.00734544, 0.0722716
0.0580013, 0.00895756, 0.0096322, 0.0702025
0.0511915, 0.00806469, 0.00904409, 0.0642529
0.0564628, 0.00707046, 0.00874198, 0.0597065
0.0681249, 0.0102449, 0.00692193, 0.0513307
0.0678057, 0.0109421, 0.00512114, 0.0505655
0.066315, 0.00696228, 0.00599101, 0.0720885
0.0524463, 0.00846349, 0.00824187, 0.0649444
0.0531841, 0.00523194, 0.00750505, 0.0713681
0.0514871, 0.00496362, 0.00754914, 0.0605808
0.0416552, 0.00577423, 0.00582447, 0.0648807
0.05634, 0.00682297, 0.00877306, 0.0716404
0.0441965, 0.00856199, 0.0109305, 0.0942318
0.0528941, 0.00736739, 0.00916403, 0.0803519
0.0487027, 0.00530042, 0.0105902, 0.0856237
0.0421885, 0.00654909, 0.00988267, 0.0765265
0.0438042, 0.00801396, 0.00733319, 0.0800153
0.0690113, 0.00680691, 0.00695499, 0.0833125
0.055778, 0.00877535, 0.0093929, 0.0677639
0.0823148, 0.00897851, 0.00858696, 0.0758861
0.0870952, 0.0111562, 0.00596283, 0.0602967
0.0838679, 0.0085125, 0.00736121, 0.0528445
0.100144, 0.0112441, 0.00681077, 0.0661375
0.0882342, 0.0122914, 0.00604007, 0.0581117
0.0780985, 0.0129077, 0.00936743, 0.0614025
