alpha, beta, delta, gamma 
0.000948787, 1.87393e-05, 1.41012e-05, 0.000746515
0.00116453, 0.00102249, 0.000667862, 0.00545387
0.00408865, 0.00192312, 0.0014497, 0.0122048
0.0130814, 0.00183339, 0.00216207, 0.0127259
0.0103696, 0.00174758, 0.00356441, 0.0211011
0.0142447, 0.0034354, 0.00332331, 0.0247196
0.018228, 0.00311565, 0.0027391, 0.0228986
0.0169991, 0.00329234, 0.00353512, 0.0312314
0.0167368, 0.00381005, 0.00442684, 0.0391465
0.0190009, 0.00323085, 0.00555374, 0.045391
0.0282424, 0.00346583, 0.00538347, 0.0549212
0.0243405, 0.00468497, 0.0058692, 0.0580612
0.0429118, 0.00587214, 0.00447342, 0.0535222
0.0379706, 0.00648348, 0.00465278, 0.0546725
0.0532756, 0.00497299, 0.00544328, 0.0466452
0.0429474, 0.00702208, 0.00582378, 0.0610783
0.047598, 0.00778941, 0.00574687, 0.050172
0.0378558, 0.00675823, 0.00780105, 0.0509527
0.0399894, 0.00582646, 0.00663868, 0.0528653
0.0413327, 0.00554631, 0.00741558, 0.0700209
0.0380006, 0.00739579, 0.00841998, 0.0632015
0.0517973, 0.0062253, 0.00725447, 0.0492494
0.0514593, 0.00753092, 0.00817591, 0.0610002
0.0580173, 0.00739508, 0.00807371, 0.0735819
0.0617092, 0.00814506, 0.0078688, 0.0589708
0.0452554, 0.00697655, 0.00874764, 0.0586926
0.0516722, 0.00634166, 0.00713409, 0.0646104
0.0571201, 0.00846609, 0.00910359, 0.0638476
0.0692614, 0.00780023, 0.0103454, 0.0701705
0.0692126, 0.00697161, 0.00908366, 0.081374
0.0524162, 0.00889178, 0.0123927, 0.099171
0.0458729, 0.00625122, 0.0109894, 0.116433
0.0481101, 0.00721507, 0.0105331, 0.106111
0.0534844, 0.00543923, 0.0111195, 0.105311
0.0697784, 0.0054801, 0.00914612, 0.0960979
0.0584707, 0.00769321, 0.00914354, 0.0848037
0.0470594, 0.00752989, 0.0105338, 0.119865
0.0624511, 0.00609785, 0.0118122, 0.102297
0.0437709, 0.00488018, 0.00927941, 0.119739
0.0416388, 0.00854976, 0.00875406, 0.109301
0.0452985, 0.00858836, 0.00893822, 0.0804292
0.0662315, 0.00765426, 0.0100767, 0.079323
0.0572095, 0.00592784, 0.00810668, 0.0665456
0.0649913, 0.00621521, 0.00822677, 0.0918327
0.0561175, 0.0059089, 0.00845192, 0.0692485
0.0606269, 0.00757283, 0.00762816, 0.0718409
0.0718981, 0.00596228, 0.0082425, 0.0916296
0.0565851, 0.00789659, 0.00689419, 0.0798628
0.0643265, 0.00573884, 0.00845635, 0.0977799
0.0478205, 0.00665044, 0.00855322, 0.0982039
