alpha, beta, delta, gamma 
0.00011553, 5.90366e-05, 0.000248026, 0.000530981
0.00350994, 0.00053936, 0.000579499, 0.00787154
0.00630373, 0.00152252, 0.0020413, 0.00903995
0.00599756, 0.00319917, 0.00198352, 0.0137408
0.011583, 0.00256003, 0.00285503, 0.0194091
0.015474, 0.00326359, 0.00393521, 0.0276987
0.0159825, 0.00291833, 0.00371584, 0.0229069
0.0237836, 0.00337026, 0.00413135, 0.0254496
0.0319144, 0.00443455, 0.00298549, 0.026823
0.0481284, 0.00602267, 0.0040071, 0.0245311
0.0438272, 0.00746742, 0.00331651, 0.0378353
0.0544608, 0.00606476, 0.00519434, 0.036184
0.0536199, 0.00812926, 0.00717912, 0.0605212
0.0416559, 0.00763775, 0.00815201, 0.058523
0.0498855, 0.00860147, 0.00505024, 0.058824
0.0643469, 0.0100742, 0.00561527, 0.0539473
0.0905452, 0.00774911, 0.00647637, 0.056343
0.0671363, 0.00888005, 0.00607694, 0.0366702
0.0824973, 0.00999765, 0.00536654, 0.0410524
0.0701419, 0.00854544, 0.00546521, 0.0573047
0.0756434, 0.00818653, 0.00684827, 0.0563649
0.0601576, 0.00938459, 0.00631012, 0.0506271
0.0602955, 0.0105532, 0.00767547, 0.0539648
0.0701312, 0.00960807, 0.00583576, 0.0539518
0.0609972, 0.0102706, 0.00581237, 0.0462196
0.0732555, 0.00806318, 0.0059787, 0.0509527
0.0834449, 0.0068787, 0.00703598, 0.0581214
0.0846264, 0.0106815, 0.00541293, 0.0517675
0.0675216, 0.00863165, 0.00585612, 0.0307588
0.0708886, 0.00875486, 0.006027, 0.0415427
0.0882032, 0.00773704, 0.00597536, 0.0423907
0.0675624, 0.0071224, 0.00736256, 0.0524651
0.055734, 0.0053778, 0.0075485, 0.0612276
0.0594682, 0.00633012, 0.00728416, 0.0575672
0.0500903, 0.00586619, 0.00761176, 0.0686392
0.0489498, 0.00916176, 0.00924364, 0.076694
0.058127, 0.00757558, 0.00862629, 0.089498
0.0662146, 0.00682381, 0.0078679, 0.0895477
0.0647081, 0.00796066, 0.0115808, 0.0870618
0.0699583, 0.00772205, 0.0105403, 0.0823771
0.0743347, 0.00950682, 0.00942634, 0.0951747
0.093182, 0.0100966, 0.00988603, 0.0958299
0.079747, 0.00977431, 0.00841633, 0.0889181
0.0799708, 0.0100191, 0.0102405, 0.0982776
0.0622964, 0.0083243, 0.0108312, 0.0861149
0.071118, 0.0101353, 0.00921299, 0.104313
0.094709, 0.00843862, 0.0110681, 0.0918106
0.081512, 0.00732218, 0.0118887, 0.105003
0.067696, 0.00904112, 0.0115123, 0.0940698
0.0708623, 0.0118267, 0.0124357, 0.0908147
0.082363, 0.0104265, 0.00959588, 0.0857938
0.126728, 0.0101659, 0.00933566, 0.102599
0.114749, 0.0136308, 0.0121167, 0.0905807
0.107605, 0.0154938, 0.0103256, 0.0821517
0.14166, 0.0143007, 0.0101625, 0.0726327
0.137515, 0.0147799, 0.00866411, 0.0922659
0.105082, 0.0143388, 0.0104273, 0.067269
0.110713, 0.0122211, 0.00884706, 0.0629012
0.103263, 0.0144105, 0.00832164, 0.0750856
0.0912101, 0.0120017, 0.00963095, 0.0920818
0.0886566, 0.0122248, 0.007449, 0.0740986
0.0935236, 0.0105421, 0.00840937, 0.0721668
0.0769352, 0.0121863, 0.009806, 0.0732769
0.0740061, 0.00889112, 0.00717159, 0.0740483
0.0580239, 0.00876234, 0.00771349, 0.0780203
0.0781438, 0.00860489, 0.0103308, 0.073483
0.0675792, 0.00992048, 0.0127221, 0.0730835
0.0728178, 0.00791905, 0.00942224, 0.079863
0.0593399, 0.00683654, 0.00902646, 0.0955383
0.0472648, 0.00742748, 0.00987884, 0.0727718
0.0710453, 0.00770095, 0.00784762, 0.0468315
0.0708856, 0.0100834, 0.00973159, 0.0708152
0.0806385, 0.0104069, 0.00849893, 0.0851393
0.058518, 0.00673573, 0.00968157, 0.075816
0.0636663, 0.00700418, 0.0109992, 0.0957012
0.0567083, 0.00674523, 0.00874706, 0.111117
0.0592806, 0.00735985, 0.00848395, 0.0873467
0.0798943, 0.00732584, 0.00856605, 0.0891361
0.0525109, 0.008158, 0.00873467, 0.100179
0.0531268, 0.00795915, 0.00839209, 0.0739048
0.0709077, 0.00780678, 0.0096096, 0.0896894
0.0768106, 0.00862564, 0.00878947, 0.0972879
0.0712986, 0.00849797, 0.00929876, 0.0886706
0.0709164, 0.00811046, 0.00996886, 0.0782068
0.0837887, 0.00908994, 0.00932624, 0.0949415
0.0646291, 0.00916456, 0.00880904, 0.112726
0.0620867, 0.00998712, 0.0105468, 0.090243
0.0621291, 0.0089871, 0.0127808, 0.0996342
0.0644229, 0.0077983, 0.0109818, 0.103059
0.0762941, 0.0066331, 0.00866162, 0.107709
0.0616934, 0.0100188, 0.00864591, 0.0790235
0.076436, 0.00983677, 0.00912008, 0.0792694
0.0687401, 0.0082174, 0.00891346, 0.105046
